ID	name	angle[rad]	betax[m]	betay[m]	halfgap[m]	Material	Length[m]	sigx[m]	sigy[m]	tilt1[rad]	tilt2[rad]	nsig
63	TCL.4R1.B1	0	757.668853	2112.512006	0.0061870439	CU	1	0.0006187	0.0010331	0	0	10
64	TCL.5R1.B1	0	213.3038154	1270.96342	0.0032827877	CU	1	0.00032828	0.00080133	0	0	10
65	TCL.6R1.B1	0	14.64695799	459.309021	0.0008602352	W	1	0.000086024	0.00048172	0	0	10
57	TCTH.4L2.B1	0	46.71445106	48.2550209	0.0023044133	W	1	0.00015363	0.00015614	0	0	15
61	TCTVA.4L2.B1	1.571	48.05043695	46.40518971	0.0022967727	W	1	0.00015581	0.00015312	0	0	15
75	TDI.4L2.B1	1.571	108.6478171	44.13440906	0.1491755474	CU	4	0.00023429	0.00014932	0	0	999
69	TCLIA.4R2	1.571	51.98736976	128.0627854	0.2541092273	C	1	0.00016207	0.00025436	0	0	999
70	TCLIB.6R2.B1	1.571	257.2338431	38.68004175	0.1396537131	C	1	0.0003605	0.00013979	0	0	999
1	TCP.6L3.B1	0	131.5206241	144.6940238	0.0038666216	C	0.6	0.00025777	0.00027038	0	0	15
2	TCSG.5L3.B1	0	54.60461298	298.6239351	0.0029897209	C	1	0.0001661	0.00038842	0	0	18
4	TCSG.4R3.B1	0	26.2097132	395.1963028	0.0020713196	C	1	0.00011507	0.00044684	0	0	18
6	TCSG.A5R3.B1	2.98102	35.86769148	344.1113264	0.0026760322	C	1	0.00013462	0.00041696	0	0	18
8	TCSG.B5R3.B1	0.1989675347	45.53781995	312.6775332	0.0030269921	C	1	0.00015168	0.00039746	0	0	18
46	TCLA.A5R3.B1	1.571	142.5293436	176.0130706	0.005964114	W	1	0.00026835	0.00029821	0	0	20
47	TCLA.B5R3.B1	0	151.6147831	168.6870398	0.0055353394	W	1	0.00027677	0.00029193	0	0	20
48	TCLA.6R3.B1	0	129.4357523	168.7063981	0.0051144696	W	1	0.00025572	0.00029195	0	0	20
49	TCLA.7R3.B1	0	67.38944047	89.39802019	0.0036903657	W	1	0.00018452	0.00021252	0	0	20
58	TCTH.4L5.B1	0	2124.37156	816.4015827	0.0091167783	W	1	0.001036	0.00064224	0	0	8.8
59	TCTVA.4L5.B1	1.571	2133.429577	862.510013	0.0058090918	W	1	0.0010382	0.00066012	0	0	8.8
66	TCL.4R5.B1	0	757.6688555	2112.511997	0.0061870439	CU	1	0.0006187	0.0010331	0	0	10
67	TCL.5R5.B1	0	213.6070407	1277.083822	0.0032851202	CU	1	0.00032851	0.00080325	0	0	10
68	TCL.6R5.B1	0	10.98834868	438.118638	0.0007450917	W	1	0.000074509	0.00047048	0	0	10
71	TCDQA.A4R6.B	0	484.2939262	161.3857398	0.0043529198	C	3	0.00049465	0.00028555	0	0	8.8
72	TCDQA.B4R6.B	0	495.2540907	165.4562411	0.0044019002	C	3	0.00050022	0.00028912	0	0	8.8
73	TCDQA.C4R6.B	0	506.3883588	169.7317022	0.0044511067	C	3	0.00050581	0.00029284	0	0	8.8
74	TCSG.4R6.B1	0	518.8532179	174.6779219	0.0042495587	C	1	0.000512	0.00029707	0	0	8.3
10	TCP.D6L7.B1	1.571	158.8661791	78.26267905	0.001093663	C	0.6	0.00028331	0.00019885	0	0	5.5
11	TCP.C6L7.B1	0	150.5239864	82.76243225	0.0015167326	C	0.6	0.00027577	0.00020448	0	0	5.5
12	TCP.B6L7.B1	2.215	142.4585035	87.48737055	0.0012806619	C	0.6	0.00026828	0.00021024	0	0	5.5
16	TCSG.A6L7.B1	2.46266	39.87155551	226.9212039	0.0017970304	C	1	0.00014193	0.0003386	0	0	7.5
18	TCSG.B5L7.B1	2.50455	160.0139531	166.5130212	0.0021477411	C	1	0.00028433	0.00029005	0	0	7.5
20	TCSG.A5L7.B1	0.71035	185.9930862	145.9293082	0.0021912522	C	1	0.00030654	0.00027153	0	0	7.5
22	TCSG.D4L7.B1	1.5708	332.9599926	68.86047498	0.0013989099	C	1	0.00041015	0.00018652	0	0	7.5
26	TCSG.B4L7.B1	0	139.7578902	130.9955098	0.001992934	C	1	0.00026572	0.00025726	0	0	7.5
28	TCSG.A4L7.B1	2.34921	128.6710872	141.2954174	0.0019592348	C	1	0.00025497	0.00026718	0	0	7.5
30	TCSG.A4R7.B1	0.80809	118.281074	152.2203393	0.0019661066	C	1	0.00024446	0.00027732	0	0	7.5
36	TCSG.B5R7.B1	2.46964	121.8533075	267.5806525	0.0022511918	C	1	0.00024812	0.00036768	0	0	7.5
40	TCSG.D5R7.B1	0.8971	213.8851112	158.5529556	0.0022622942	C	1	0.00032873	0.00028303	0	0	7.5
42	TCSG.E5R7.B1	2.27765	241.4085972	136.1173892	0.0022650392	C	1	0.00034924	0.00026224	0	0	7.5
44	TCSG.6R7.B1	0.00873	335.7666884	47.35650419	0.003088939	C	1	0.00041187	0.00015468	0	0	7.5
50	TCLA.A6R7.B1	1.571	297.0758485	48.15513335	0.001481796	W	1	0.00038742	0.00015598	0	0	9.5
51	TCLA.B6R7.B1	0	159.5043897	76.38768618	0.002696829	W	1	0.00028388	0.00019645	0	0	9.5
52	TCLA.C6R7.B1	1.571	68.61722736	151.8870106	0.0026316456	W	1	0.00018619	0.00027702	0	0	9.5
53	TCLA.D6R7.B1	0	65.04935078	157.915729	0.0017222198	W	1	0.00018129	0.00028246	0	0	9.5
54	TCLA.A7R7.B1	0	64.6338747	146.4538252	0.001716711	W	1	0.00018071	0.00027202	0	0	9.5
60	TCTH.4L8.B1	0	239.8241718	298.8851638	0.0052213309	W	1	0.00034809	0.00038859	0	0	15
62	TCTVA.4L8.B1	1.571	250.3653845	300.1496725	0.0058412215	W	1	0.00035566	0.00038941	0	0	15
55	TCTH.4L1.B1	0	2124.371567	816.4015862	0.0091167783	W	1	0.001036	0.00064224	0	0	8.8
56	TCTVA.4L1.B1	1.571	2133.429584	862.5100167	0.0058090918	W	1	0.0010382	0.00066012	0	0	8.8
