sigx[m]	Betax[m]	Name	tilt2[rad]	Betay[m]	Material	Angle[rad]	Thickness[m]	Halfgap[m]	tilt1[rad]	sigy[m]	Length[m]	ID	nsig
0.0006187	757.668853	TCL.4R1.B1	0	2112.512006	CU	0	0.025	0.0061870439	0	0.0010331	1	63	10
0.00032828	213.3038154	TCL.5R1.B1	0	1270.96342	CU	0	0.025	0.0032827877	0	0.00080133	1	64	10
0.000086024	14.64695799	TCL.6R1.B1	0	459.309021	W	0	0.025	0.0008602352	0	0.00048172	1	65	10
0.00015363	46.71445106	TCTH.4L2.B1	0	48.2550209	W	0	0.025	0.0023044133	0	0.00015614	1	57	15
0.00015581	48.05043695	TCTVA.4L2.B1	0	46.40518971	W	1.571	0.025	0.0022967727	0	0.00015312	1	61	15
0.00023429	108.6478171	TDI.4L2.B1.1	0	44.13440906	Ti_in_TDI	1.571	5e-06	0.1491755474	0	0.00014932	4	75	999
0.00023429	108.6478171	TDI.4L2.B1.1	0	44.13440906	HBN	1.571	0.054	0.1491755474	0	0.00014932	4	75	999
0.00023429	108.6478171	TDI.4L2.B1.2	0	44.13440906	CU300K_in_TDI	1.571	2e-06	0.1491755474	0	0.00014932	0.6	75	999
0.00023429	108.6478171	TDI.4L2.B1.2	0	44.13440906	Al	1.571	0.054	0.1491755474	0	0.00014932	0.6	75	999
0.00023429	108.6478171	TDI.4L2.B1.3	0	44.13440906	Cu	1.571	0.054	0.1491755474	0	0.00014932	0.7	75	999
0.00016207	51.98736976	TCLIA.4R2	0	128.0627854	C	1.571	0.033	0.2541092273	0	0.00025436	1	69	999
0.0003605	257.2338431	TCLIB.6R2.B1	0	38.68004175	CFC	1.571	0.025	0.1396537131	0	0.00013979	1	70	999
0.00025777	131.5206241	TCP.6L3.B1	0	144.6940238	CFC	0	0.025	0.0038666216	0	0.00027038	0.6	1	15
0.0001661	54.60461298	TCSG.5L3.B1	0	298.6239351	CFC	0	0.025	0.0029897209	0	0.00038842	1	2	18
0.00011507	26.2097132	TCSG.4R3.B1	0	395.1963028	CFC	0	0.025	0.0020713196	0	0.00044684	1	4	18
0.00013462	35.86769148	TCSG.A5R3.B1	0	344.1113264	CFC	2.98102	0.025	0.0026760322	0	0.00041696	1	6	18
0.00015168	45.53781995	TCSG.B5R3.B1	0	312.6775332	CFC	0.1989675347	0.025	0.0030269921	0	0.00039746	1	8	18
0.00026835	142.5293436	TCLA.A5R3.B1	0	176.0130706	W	1.571	0.025	0.005964114	0	0.00029821	1	46	20
0.00027677	151.6147831	TCLA.B5R3.B1	0	168.6870398	W	0	0.025	0.0055353394	0	0.00029193	1	47	20
0.00025572	129.4357523	TCLA.6R3.B1	0	168.7063981	W	0	0.025	0.0051144696	0	0.00029195	1	48	20
0.00018452	67.38944047	TCLA.7R3.B1	0	89.39802019	W	0	0.025	0.0036903657	0	0.00021252	1	49	20
0.001036	2124.37156	TCTH.4L5.B1	0	816.4015827	W	0	0.025	0.0091167783	0	0.00064224	1	58	8.8
0.0010382	2133.429577	TCTVA.4L5.B1	0	862.510013	W	1.571	0.025	0.0058090918	0	0.00066012	1	59	8.8
0.0006187	757.6688555	TCL.4R5.B1	0	2112.511997	CU	0	0.025	0.0061870439	0	0.0010331	1	66	10
0.00032851	213.6070407	TCL.5R5.B1	0	1277.083822	CU	0	0.025	0.0032851202	0	0.00080325	1	67	10
0.000074509	10.98834868	TCL.6R5.B1	0	438.118638	W	0	0.025	0.000893766631534	0	0.00047048	1	68	12
0.00049465	484.2939262	TCDQA.A4R6.B	0	161.3857398	CU300K_in_TDI	0	5e-06	0.0043529198	0	0.00028555	3	71	8.8
0.00049465	484.2939262	TCDQA.A4R6.B	0	161.3857398	C	0	0.035	0.0043529198	0	0.00028555	3	71	8.8
0.00049465	484.2939262	TCDQA.A4R6.B	0	161.3857398	CFC	0	0.04	0.0043529198	0	0.00028555	3	71	8.8
0.00050022	495.2540907	TCDQA.B4R6.B	0	165.4562411	CU300K_in_TDI	0	5e-06	0.0044019002	0	0.00028912	3	72	8.8
0.00050022	495.2540907	TCDQA.B4R6.B	0	165.4562411	C	0	0.035	0.0044019002	0	0.00028912	3	72	8.8
0.00050022	495.2540907	TCDQA.B4R6.B	0	165.4562411	CFC	0	0.04	0.0044019002	0	0.00028912	3	72	8.8
0.00050581	506.3883588	TCDQA.C4R6.B	0	169.7317022	CU300K_in_TDI	0	5e-06	0.0044511067	0	0.00029284	3	73	8.8
0.00050581	506.3883588	TCDQA.C4R6.B	0	169.7317022	C	0	0.035	0.0044511067	0	0.00029284	3	73	8.8
0.00050581	506.3883588	TCDQA.C4R6.B	0	169.7317022	CFC	0	0.04	0.0044511067	0	0.00029284	3	73	8.8
0.000512	518.8532179	TCSG.4R6.B1	0	174.6779219	CFC	0	0.025	0.0042495587	0	0.00029707	1	74	8.3
0.00028331	158.8661791	TCP.D6L7.B1	0	78.26267905	CFC	1.571	0.025	0.001093663	0	0.00019885	0.6	10	5.5
0.00027577	150.5239864	TCP.C6L7.B1	0	82.76243225	CFC	0	0.025	0.0015167326	0	0.00020448	0.6	11	5.5
0.00026828	142.4585035	TCP.B6L7.B1	0	87.48737055	CFC	2.215	0.025	0.0012806619	0	0.00021024	0.6	12	5.5
0.00014193	39.87155551	TCSG.A6L7.B1	0	226.9212039	CFC	2.46266	0.025	0.0017970304	0	0.0003386	1	16	7.5
0.00028433	160.0139531	TCSG.B5L7.B1	0	166.5130212	CFC	2.50455	0.025	0.0021477411	0	0.00029005	1	18	7.5
0.00030654	185.9930862	TCSG.A5L7.B1	0	145.9293082	CFC	0.71035	0.025	0.0021912522	0	0.00027153	1	20	7.5
0.00041015	332.9599926	TCSG.D4L7.B1	0	68.86047498	CFC	1.5708	0.025	0.0013989099	0	0.00018652	1	22	7.5
0.00026572	139.7578902	TCSG.B4L7.B1	0	130.9955098	CFC	0	0.025	0.001992934	0	0.00025726	1	26	7.5
0.00025497	128.6710872	TCSG.A4L7.B1	0	141.2954174	CFC	2.34921	0.025	0.0019592348	0	0.00026718	1	28	7.5
0.00024446	118.281074	TCSG.A4R7.B1	0	152.2203393	CFC	0.80809	0.025	0.0019661066	0	0.00027732	1	30	7.5
0.00024812	121.8533075	TCSG.B5R7.B1	0	267.5806525	CFC	2.46964	0.025	0.0022511918	0	0.00036768	1	36	7.5
0.00032873	213.8851112	TCSG.D5R7.B1	0	158.5529556	CFC	0.8971	0.025	0.0022622942	0	0.00028303	1	40	7.5
0.00034924	241.4085972	TCSG.E5R7.B1	0	136.1173892	CFC	2.27765	0.025	0.0022650392	0	0.00026224	1	42	7.5
0.00041187	335.7666884	TCSG.6R7.B1	0	47.35650419	CFC	0.00873	0.025	0.003088939	0	0.00015468	1	44	7.5
0.00038742	297.0758485	TCLA.A6R7.B1	0	48.15513335	W	1.571	0.025	0.001481796	0	0.00015598	1	50	9.5
0.00028388	159.5043897	TCLA.B6R7.B1	0	76.38768618	W	0	0.025	0.002696829	0	0.00019645	1	51	9.5
0.00018619	68.61722736	TCLA.C6R7.B1	0	151.8870106	W	1.571	0.025	0.0026316456	0	0.00027702	1	52	9.5
0.00018129	65.04935078	TCLA.D6R7.B1	0	157.915729	W	0	0.025	0.0017222198	0	0.00028246	1	53	9.5
0.00018071	64.6338747	TCLA.A7R7.B1	0	146.4538252	W	0	0.025	0.001716711	0	0.00027202	1	54	9.5
0.00034809	239.8241718	TCTH.4L8.B1	0	298.8851638	W	0	0.025	0.0052213309	0	0.00038859	1	60	15
0.00035566	250.3653845	TCTVA.4L8.B1	0	300.1496725	W	1.571	0.025	0.0058412215	0	0.00038941	1	62	15
0.001036	2124.371567	TCTH.4L1.B1	0	816.4015862	W	0	0.025	0.0091167783	0	0.00064224	1	55	8.8
0.0010382	2133.429584	TCTVA.4L1.B1	0	862.5100167	W	1.571	0.025	0.0058090918	0	0.00066012	1	56	8.8
