sigx[m]	Betax[m]	Name	tilt2[rad]	Angle[rad]	Material	Betay[m]	Thickness[m]	Halfgap[m]	tilt1[rad]	sigy[m]	Length[m]	ID	nsig
0.00015365	46.72778833	TCTPH.4L2.B1	0	0	W	48.6594187	0.025	0.0056850307	0	0.00015679	1	57	37
0.0001562	48.2947404	TCTPV.4L2.B1	0	1.571	W	46.49578239	0.025	0.0056709	0	0.00015327	1	61	37
0.00023462	108.9565048	TDI.4L2.B1.1	0	1.571	Cu300K_in_TDI	44.46075805	2e-06	0.149726066	0	0.00014988	2.826	75	999
0.00023462	108.9565048	TDI.4L2.B1.1	0	1.571	Ti	44.46075805	1e-07	0.149726066	0	0.00014988	2.826	75	999
0.00023462	108.9565048	TDI.4L2.B1.1	0	1.571	graphite	44.46075805	0.054	0.149726066	0	0.00014988	2.826	75	999
0.00023462	108.9565048	TDI.4L2.B1.2	0	1.571	Ti_in_TDI	44.46075805	1e-06	0.149726066	0	0.00014988	0.6	75	999
0.00023462	108.9565048	TDI.4L2.B1.2	0	1.571	Al	44.46075805	0.054	0.149726066	0	0.00014988	0.6	75	999
0.00023462	108.9565048	TDI.4L2.B1.3	0	1.571	CuCr1Zr	44.46075805	0.054	0.149726066	0	0.00014988	0.7	75	999
0.00016255	52.29672534	TCLIA.4R2	0	1.571	C	128.3592436	0.033	0.2544031816	0	0.00025466	1	69	999
0.00036087	257.7620531	TCLIB.6R2.B1	0	1.571	CFC	38.42292266	0.025	0.139188777	0	0.00013933	1	70	999
0.00025777	131.5206232	TCP.6L3.B1	0	0	CFC	144.6940227	0.025	0.0038666216	0	0.00027038	0.6	1	15
0.0001661	54.60461224	TCSG.5L3.B1	0	0	CFC	298.6239334	0.025	0.0029897209	0	0.00038842	1	2	18
0.00011507	26.20971337	TCSG.4R3.B1	0	0	CFC	395.1963066	0.025	0.0020713196	0	0.00044684	1	4	18
0.00013462	35.86769134	TCSG.A5R3.B1	0	2.98102	CFC	344.1113297	0.025	0.0026760322	0	0.00041696	1	6	18
0.00015168	45.53781961	TCSG.B5R3.B1	0	0.1989675347	CFC	312.6775361	0.025	0.0030269921	0	0.00039746	1	8	18
0.00026835	142.5293416	TCLA.A5R3.B1	0	1.571	W	176.0130722	0.025	0.005964114	0	0.00029821	1	46	20
0.00027677	151.614781	TCLA.B5R3.B1	0	0	W	168.6870413	0.025	0.0055353393	0	0.00029193	1	47	20
0.00025572	129.4357507	TCLA.6R3.B1	0	0	W	168.7063972	0.025	0.0051144696	0	0.00029195	1	48	20
0.00018452	67.38944137	TCLA.7R3.B1	0	0	W	89.39801935	0.025	0.0036903657	0	0.00021252	1	49	20
