ID	name	angle[rad]	betax[m]	betay[m]	halfgap[m]	Material	Length[m]	sigx[m]	sigy[m]	tilt1[rad]	tilt2[rad]	nsig
63	TCL.4R1.B1	0	613.9774346	1715.241657	0.0083543169	CU	1	0.00055695	0.00093091	0	0	15
64	TCL.5R1.B1	0	183.1794131	1010.79071	0.0045632375	CU	1	0.00030422	0.00071462	0	0	15
65	TCL.6R1.B1	0	17.9536079	358.8330034	0.0019047998	W	1	0.00009524	0.00042578	0	0	20
57	TCTPH.4L2.B1	0	46.72778833	48.6594187	0.0056850307	W	1	0.00015365	0.00015679	0	0	37
61	TCTPV.4L2.B1	1.571	48.2947404	46.49578239	0.0056709	W	1	0.0001562	0.00015327	0	0	37
75	TDI.4L2.B1	1.571	108.9565048	44.46075805	0.149726066	CU	4	0.00023462	0.00014988	0	0	999
69	TCLIA.4R2	1.571	52.29672534	128.3592436	0.2544031816	C	1	0.00016255	0.00025466	0	0	999
70	TCLIB.6R2.B1	1.571	257.7620531	38.42292266	0.139188777	C	1	0.00036087	0.00013933	0	0	999
1	TCP.6L3.B1	0	131.5206232	144.6940227	0.0038666216	C	0.6	0.00025777	0.00027038	0	0	15
2	TCSG.5L3.B1	0	54.60461224	298.6239334	0.0029897209	C	1	0.0001661	0.00038842	0	0	18
4	TCSG.4R3.B1	0	26.20971337	395.1963066	0.0020713196	C	1	0.00011507	0.00044684	0	0	18
6	TCSG.A5R3.B1	2.98102	35.86769134	344.1113297	0.0026760322	C	1	0.00013462	0.00041696	0	0	18
8	TCSG.B5R3.B1	0.1989675347	45.53781961	312.6775361	0.0030269921	C	1	0.00015168	0.00039746	0	0	18
46	TCLA.A5R3.B1	1.571	142.5293416	176.0130722	0.005964114	W	1	0.00026835	0.00029821	0	0	20
47	TCLA.B5R3.B1	0	151.614781	168.6870413	0.0055353393	W	1	0.00027677	0.00029193	0	0	20
48	TCLA.6R3.B1	0	129.4357507	168.7063972	0.0051144696	W	1	0.00025572	0.00029195	0	0	20
49	TCLA.7R3.B1	0	67.38944137	89.39801935	0.0036903657	W	1	0.00018452	0.00021252	0	0	20
58	TCTPH.4L5.B1	0	1724.232434	661.0627275	0.0093334324	W	1	0.00093334	0.00057792	0	0	10
59	TCTPV.4L5.B1	1.571	1731.100535	698.0187158	0.0059385037	W	1	0.0009352	0.00059385	0	0	10
66	TCL.4R5.B1	0	613.9774362	1715.24166	0.0083543169	CU	1	0.00055695	0.00093091	0	0	15
67	TCL.5R5.B1	0	183.6678919	1014.246685	0.0045693178	CU	1	0.00030462	0.00071584	0	0	15
68	TCL.6R5.B1	0	13.30107055	334.5053042	0.0016395202	W	1	0.000081976	0.0004111	0	0	20
71	TCDQA.A4R6.B	0	484.2939207	161.3884308	0.0041055948	C	3	0.00049465	0.00028555	0	0	8.3
73	TCDQA.C4R6.B	0	495.2540849	165.458926	0.0041517922	C	3	0.00050022	0.00028913	0	0	8.3
72	TCDQA.B4R6.B	0	506.3883527	169.7343774	0.0041982029	C	3	0.00050581	0.00029284	0	0	8.3
74	TCSP.A4R6.B1	0	518.8532114	174.6805824	0.0042495587	C	1	0.000512	0.00029707	0	0	8.3
10	TCP.D6L7.B1	1.571	158.8661773	78.26268013	0.001093663	C	0.6	0.00028331	0.00019885	0	0	5.5
11	TCP.C6L7.B1	0	150.5239848	82.76243337	0.0015167326	C	0.6	0.00027577	0.00020448	0	0	5.5
12	TCP.B6L7.B1	2.215	142.4585021	87.48737171	0.0012806619	C	0.6	0.00026828	0.00021024	0	0	5.5
16	TCSG.A6L7.B1	2.46266	39.8715562	226.9212056	0.0017970304	C	1	0.00014193	0.0003386	0	0	7.5
18	TCSG.B5L7.B1	2.50455	160.0139522	166.5130214	0.0021477411	C	1	0.00028433	0.00029005	0	0	7.5
