Betax[m]	Name	Betay[m]	Material	Angle[rad]	Nsigma	Thickness[m]	Halfgap[m]	Length[m]
1441.42223	TCTVA.4R1.B2	573.0272062	W	1.5708	9.6998119722	0.025	0.0066530279	1
1435.741217	TCTH.4R1.B2	542.5102587	W	0	8.6757500012	0.025	0.0094191893	1
215.7788753	TCTVA.4R2.B2	234.3416388	W	1.5708	11.5305280057	0.025	0.0050575751	1
205.3158002	TCTH.4R2.B2	231.7260041	W	0	12.3664382478	0.025	0.0050771995	1
65.86620496	TCLA.7L3.B2	94.37770964	W	0	17.5030325899	0.025	0.0040701745	1
132.1132343	TCLA.6L3.B2	166.7368079	W	0	17.3976275954	0.025	0.0057296963	1
149.3159092	TCLA.B5L3.B2	170.5015836	W	0	17.6931621558	0.025	0.0061947946	1
140.3140849	TCLA.A5L3.B2	177.8781365	W	1.5708	17.5343120879	0.025	0.0067006731	1
44.59702867	TCSG.B5L3.B2	315.3121905	CFC	0.189	15.6404073813	0.025	0.0032978153	1
35.17028982	TCSG.A5L3.B2	346.8928555	CFC	2.98	15.6734713879	0.025	0.0029530694	1
26.08123311	TCSG.4L3.B2	396.7098525	CFC	0	15.846997385	0.025	0.0023188863	1
54.90455925	TCSG.5R3.B2	297.8398155	CFC	0	15.5568501542	0.025	0.0033028913	1
131.5238813	TCP.6R3.B2	144.6934531	CFC	0	11.9795315458	0.025	0.0039365027	0.6
154.027973	TCL.5L5.B2	874.3154857	CU	0	70.2993869871	0.025	0.0249988338	1
1441.42126	TCTVA.4R5.B2	573.0273161	W	1.5708	9.6598086441	0.025	0.0066255906	1
1435.740258	TCTH.4R5.B2	542.5103632	W	0	8.6646645601	0.025	0.0094071508	1
521.7471581	TCSG.4L6.B2	173.0488637	CFC	0	7.1090287722	0.025	0.0046527394	1
499.5281301	TCDQA.A4L6.B2	165.4502127	C	0	7.637908772	0.075	0.0048912837	3
510.7769902	TCDQA.B4L6.B2	169.2330726	C	0	7.5533355696	0.075	0.0048912837	3
65.07886704	TCLA.A7L7.B2	145.2899043	W	0	8.3075014677	0.025	0.0019202547	1
65.92141723	TCLA.D6L7.B2	156.395936	W	0	8.236550425	0.025	0.0019161391	1
69.54312774	TCLA.C6L7.B2	150.4093283	W	1.5708	8.298784199	0.025	0.0029162199	1
161.3263942	TCLA.B6L7.B2	75.61064729	W	0	8.2071421975	0.025	0.0029868477	1
299.7305521	TCLA.A6L7.B2	48.02879577	W	1.5708	8.2132722738	0.025	0.0016309306	1
338.612135	TCSG.6L7.B2	47.37916487	CFC	0.00873	6.236773302	0.025	0.0032882543	1
237.875462	TCSG.E5L7.B2	138.8176236	CFC	2.28	6.2789566045	0.025	0.0024192949	1
210.577186	TCSG.D5L7.B2	161.4943754	CFC	0.897	6.2167252819	0.025	0.0023938287	1
119.4464461	TCSG.B5L7.B2	271.4868223	CFC	2.47	6.2617613051	0.025	0.0023958298	1
100.6779397	TCSG.A4L7.B2	174.3890968	CFC	0.735	6.2480355326	0.025	0.0020710013	1
141.1928065	TCSG.A4R7.B2	129.751914	CFC	2.31	6.2642567532	0.025	0.0020850464	1
153.0634966	TCSG.B4R7.B2	120.1551538	CFC	0	6.2334077558	0.025	0.0022096819	1
330.9508321	TCSG.D4R7.B2	69.76927635	CFC	1.5708	6.2399111452	0.025	0.0014934096	1
182.6305558	TCSG.A5R7.B2	148.4207405	CFC	0.71	6.3066972758	0.025	0.0023428695	1
156.9186147	TCSG.B5R7.B2	169.2003052	CFC	2.51	6.2716846836	0.025	0.0022815779	1
40.49673886	TCSG.A6R7.B2	224.6114687	CFC	2.47	6.3051483469	0.025	0.0019100655	1
142.4631298	TCP.B6R7.B2	87.48831735	CFC	2.23	4.2230387946	0.025	0.0012581421	0.6
150.5288526	TCP.C6R7.B2	82.76325108	CFC	0	4.1804448529	0.025	0.0014696056	0.6
158.8712894	TCP.D6R7.B2	78.26337469	CFC	1.5708	4.2304869605	0.025	0.0010723537	0.6
262.9365689	TCLIB.6L8.B2	12.19293167	CFC	1.5708	249.350613321	0.025	0.0249478384	1
333.5870631	TCLIA.4L8	522.4465712	C	1.5708	38.1802273335	0.033	0.0250050578	1
536.562823	TCTVB.4R8	335.1806214	W	1.5708	10.2535378721	0.025	0.005378753	1
465.1702823	TDI.4L2.B1.1	327.1039494	Ti_in_TDI	1.5708	106.095642154	5e-06	0.0549805209	4
465.1702823	TDI.4L2.B1.1	327.1039494	HBN	1.5708	106.095642154	0.054	0.0549805209	4
465.1702823	TDI.4L2.B1.2	327.1039494	CU300K_in_TDI	1.5708	106.095642154	2e-06	0.0549805209	0.6
465.1702823	TDI.4L2.B1.2	327.1039494	Al	1.5708	106.095642154	0.054	0.0549805209	0.6
465.1702823	TDI.4L2.B1.3	327.1039494	Cu	1.5708	106.095642154	0.054	0.0549805209	0.7
238.5609599	TCTH.4R8.B2	301.3990679	W	0	11.5243067478	0.025	0.0051001495	1
154.4461745	TCL.5L1.B2	877.1476539	CU	0	70.1347884662	0.025	0.0249741364	1
