name	Material	angle[rad]	Length[m]	betax[m]	betay[m]	halfgap[m]	Nsigma
TCTVA.4R1.B2	W	1.5708	1	1441.42223	573.0272062	0.0066530279	9.6998119722
TCTH.4R1.B2	W	0	1	1435.741217	542.5102587	0.0094191893	8.6757500012
TCTVA.4R2.B2	W	1.5708	1	215.7788753	234.3416388	0.0050575751	11.5305280057
TCTH.4R2.B2	W	0	1	205.3158002	231.7260041	0.0050771995	12.3664382478
TCLA.7L3.B2	W	0	1	65.86620496	94.37770964	0.0040701745	17.5030325899
TCLA.6L3.B2	W	0	1	132.1132343	166.7368079	0.0057296963	17.3976275954
TCLA.B5L3.B2	W	0	1	149.3159092	170.5015836	0.0061947946	17.6931621558
TCLA.A5L3.B2	W	1.5708	1	140.3140849	177.8781365	0.0067006731	17.5343120879
TCSG.B5L3.B2	CFC	0.189	1	44.59702867	315.3121905	0.0032978153	15.6404073813
TCSG.A5L3.B2	CFC	2.98	1	35.17028982	346.8928555	0.0029530694	15.6734713879
TCSG.4L3.B2	CFC	0	1	26.08123311	396.7098525	0.0023188863	15.846997385
TCSG.5R3.B2	CFC	0	1	54.90455925	297.8398155	0.0033028913	15.5568501542
TCP.6R3.B2	CFC	0	0.6	131.5238813	144.6934531	0.0039365027	11.9795315458
TCL.5L5.B2	CU	0	1	154.027973	874.3154857	0.0249988338	70.2993869871
TCTVA.4R5.B2	W	1.5708	1	1441.42126	573.0273161	0.0066255906	9.6598086441
TCTH.4R5.B2	W	0	1	1435.740258	542.5103632	0.0094071508	8.6646645601
TCSG.4L6.B2	CFC	0	1	521.7471581	173.0488637	0.0046527394	7.1090287722
TCDQA.A4L6.B2	C	0	3	499.5281301	165.4502127	0.0048912837	7.637908772
TCDQA.B4L6.B2	C	0	3	510.7769902	169.2330726	0.0048912837	7.5533355696
TCLA.A7L7.B2	W	0	1	65.07886704	145.2899043	0.0019202547	8.3075014677
TCLA.D6L7.B2	W	0	1	65.92141723	156.395936	0.0019161391	8.236550425
TCLA.C6L7.B2	W	1.5708	1	69.54312774	150.4093283	0.0029162199	8.298784199
TCLA.B6L7.B2	W	0	1	161.3263942	75.61064729	0.0029868477	8.2071421975
TCLA.A6L7.B2	W	1.5708	1	299.7305521	48.02879577	0.0016309306	8.2132722738
TCSG.6L7.B2	CFC	0.00873	1	338.612135	47.37916487	0.0032882543	6.236773302
TCSG.E5L7.B2	CFC	2.28	1	237.875462	138.8176236	0.0024192949	6.2789566045
TCSG.D5L7.B2	CFC	0.897	1	210.577186	161.4943754	0.0023938287	6.2167252819
TCSG.B5L7.B2	CFC	2.47	1	119.4464461	271.4868223	0.0023958298	6.2617613051
TCSG.A4L7.B2	CFC	0.735	1	100.6779397	174.3890968	0.0020710013	6.2480355326
TCSG.A4R7.B2	CFC	2.31	1	141.1928065	129.751914	0.0020850464	6.2642567532
TCSG.B4R7.B2	CFC	0	1	153.0634966	120.1551538	0.0022096819	6.2334077558
TCSG.D4R7.B2	CFC	1.5708	1	330.9508321	69.76927635	0.0014934096	6.2399111452
TCSG.A5R7.B2	CFC	0.71	1	182.6305558	148.4207405	0.0023428695	6.3066972758
TCSG.B5R7.B2	CFC	2.51	1	156.9186147	169.2003052	0.0022815779	6.2716846836
TCSG.A6R7.B2	CFC	2.47	1	40.49673886	224.6114687	0.0019100655	6.3051483469
TCP.B6R7.B2	CFC	2.23	0.6	142.4631298	87.48831735	0.0012581421	4.2230387946
TCP.C6R7.B2	CFC	0	0.6	150.5288526	82.76325108	0.0014696056	4.1804448529
TCP.D6R7.B2	CFC	1.5708	0.6	158.8712894	78.26337469	0.0010723537	4.2304869605
TCLIB.6L8.B2	CFC	1.5708	1	262.9365689	12.19293167	0.0249478384	249.350613321
TCLIA.4L8	C	1.5708	1	333.5870631	522.4465712	0.0250050578	38.1802273335
TCTVB.4R8	W	1.5708	1	536.562823	335.1806214	0.005378753	10.2535378721
TDI.4R8	HBN	1.5708	4.1	465.1702823	327.1039494	0.0549805209	106.095642154
TCTH.4R8.B2	W	0	1	238.5609599	301.3990679	0.0051001495	11.5243067478
TCL.5L1.B2	CU	0	1	154.4461745	877.1476539	0.0249741364	70.1347884662
