Name	Material	Thickness[m]	Angle[rad]	Halfgap[m]	Length[m]	Betax[m]	Betay[m]
TCL.5R1.B1	CU	2.50E-002	0	0.0035657734	1	154.5363773	816.4349228
TCTH.4L2.B1	W	2.50E-002	0	0.004936296	1	210.5104234	233.0279076
TDI.4L2.B1.1	Ti_in_TDI	5.00E-006	1.5708	0.0549346439	2.8	473.5866501	293.8738239
TDI.4L2.B1.1	HBN	5.40E-002	1.5708	0.0549346439	2.8	473.5866501	293.8738239
TDI.4L2.B1.2	Cu	2.00E-006	1.5708	0.0549346439	0.6	473.5866501	293.8738239
TDI.4L2.B1.2	Al	5.40E-002	1.5708	0.0549346439	0.6	473.5866501	293.8738239
TDI.4L2.B1.3	Cu	5.40E-002	1.5708	0.0549346439	0.7	473.5866501	293.8738239
TCTVA.4L2.B1	W	2.50E-002	1.5708	0.0052451878	1	221.1225252	235.668053
TCLIA.4R2	C	3.30E-002	1.5708	0.0279664272	1	302.0372168	510.9905492
TCLIB.6R2.B1	CFC	2.50E-002	1.5708	0.0249205917	1	347.8846895	17.25667973
TCP.6L3.B1	CFC	2.50E-002	0	0.0039481528	0.6	131.524016	144.6957057
TCSG.5L3.B1	CFC	2.50E-002	0	0.0046909827	1	54.3154276	299.4063453
TCSG.4R3.B1	CFC	2.50E-002	0	0.0023102803	1	26.35781537	393.6850067
TCSG.A5R3.B1	CFC	2.50E-002	2.98	0.0029578717	1	36.58803834	341.3431129
TCSG.B5R3.B1	CFC	2.50E-002	0.199	0.0033494546	1	46.50250124	310.0565062
TCLA.A5R3.B1	W	2.50E-002	1.5708	0.0066762694	1	144.774308	174.1627209
TCLA.B5R3.B1	W	2.50E-002	0	0.0061976983	1	153.9437954	166.8872504
TCLA.6R3.B1	W	2.50E-002	0	0.0057438719	1	126.7955592	170.6996242
TCLA.7R3.B1	W	2.50E-002	0	0.0041807313	1	68.32117856	88.24020281
TCTH.4L5.B1	W	2.50E-002	0	0.0097670539	1	1439.120627	560.5738845
TCTVA.4L5.B1	W	2.50E-002	1.5708	0.0062183547	1	1444.810645	591.5939048
TCL.5R5.B1	CU	2.50E-002	0	0.0035561853	1	154.9239917	819.3395407
TCDQA.A4R6.B1	C	7.50E-002	0	0.0042331516	3	495.2536583	165.4590727
TCDQA.B4R6.B1	C	7.50E-002	0	0.0042331516	3	506.3879224	169.7345346
TCSG.4R6.B1	CFC	2.50E-002	0	0.0046381193	1	520.4619794	175.3311897
TCP.D6L7.B1	CFC	2.50E-002	1.5708	0.0010748877	0.6	158.8713464	78.26341253
TCP.C6L7.B1	CFC	2.50E-002	0	0.0014772419	0.6	150.5289079	82.76328772
TCP.B6L7.B1	CFC	2.50E-002	2.22	0.0012527451	0.6	142.4631836	87.48835261
TCSG.A6L7.B1	CFC	2.50E-002	2.46	0.0019260138	1	39.26524645	229.2537021
TCSG.B5L7.B1	CFC	2.50E-002	2.5	0.0022879691	1	163.1459989	163.8588104
TCSG.A5L7.B1	CFC	2.50E-002	0.71	0.0023310661	1	189.3926407	143.4699683
TCSG.D4L7.B1	CFC	2.50E-002	1.5708	0.0014811797	1	334.9759425	67.96628229
TCSG.B4L7.B1	CFC	2.50E-002	0	0.002112512	1	138.333951	132.2487483
TCSG.A4L7.B1	CFC	2.50E-002	2.35	0.0020973692	1	127.3342545	142.626783
TCSG.A4R7.B1	CFC	2.50E-002	0.808	0.0021062424	1	117.0313472	153.6298324
TCSG.B5R7.B1	CFC	2.50E-002	2.47	0.0023923158	1	124.2955007	263.7084438
TCSG.D5R7.B1	CFC	2.50E-002	0.897	0.002415477	1	217.2325075	155.6444945
TCSG.E5R7.B1	CFC	2.50E-002	2.28	0.0024155242	1	244.982351	133.4498679
TCSG.6R7.B1	CFC	2.50E-002	0.00873	0.003310975	1	332.9465658	47.34300809
TCLA.A6R7.B1	W	2.50E-002	1.5708	0.0016233037	1	294.4448081	48.29115288
TCLA.B6R7.B1	W	2.50E-002	0	0.0029842841	1	157.7002644	77.17729857
TCLA.C6R7.B1	W	2.50E-002	1.5708	0.0029161893	1	67.70538279	153.3814082
TCLA.D6R7.B1	W	2.50E-002	0	0.0019039414	1	64.19118381	159.4525035
TCLA.A7R7.B1	W	2.50E-002	0	0.0018910008	1	65.4366499	144.4731738
TCTH.4L8.B1	W	2.50E-002	0	0.005326469	1	243.7670605	301.9913364
TCTVB.4L8	W	2.50E-002	1.5708	0.0062745052	1	536.5626974	335.1804571
TCTH.4L1.B1	W	2.50E-002	0	0.0097494978	1	1439.120128	560.5730965
TCTVA.4L1.B1	W	2.50E-002	1.5708	0.0062018556	1	1444.810144	591.5930782
