sigx[m]	Betax[m]	Name	tilt2[rad]	Angle[rad]	Material	Betay[m]	Thickness[m]	Halfgap[m]	tilt1[rad]	sigy[m]	Length[m]	ID	nsig
0.00043885	381.1964215	TCL.4R1.B1	0	0	CU	1059.5913	0.025	0.0065827771	0	0.00073167	1	63	15
0.00024104	114.9980184	TCL.5R1.B1	0	0	CU	629.1165558	0.025	0.0036155962	0	0.00056378	1	64	15
0.00015363	46.71444518	TCTH.4L2.B1	0	0	W	48.2550217	0.025	0.0061451016	0	0.00015614	1	57	40
0.00015581	48.0504308	TCTVA.4L2.B1	0	1.571	W	46.40519052	0.025	0.0061247272	0	0.00015312	1	61	40
0.00023429	108.6478075	TDI.4L2.B1.1	0	1.571	Ti_in_TDI	44.1344095	5e-06	0.1491755482	0	0.00014932	4	75	999
0.00023429	108.6478075	TDI.4L2.B1.1	0	1.571	HBN	44.1344095	0.054	0.1491755482	0	0.00014932	4	75	999
0.00023429	108.6478075	TDI.4L2.B1.2	0	1.571	CU300K_in_TDI	44.1344095	2e-06	0.1491755482	0	0.00014932	0.6	75	999
0.00023429	108.6478075	TDI.4L2.B1.2	0	1.571	Al	44.1344095	0.054	0.1491755482	0	0.00014932	0.6	75	999
0.00023429	108.6478075	TDI.4L2.B1.3	0	1.571	Cu	44.1344095	0.054	0.1491755482	0	0.00014932	0.7	75	999
0.00016207	51.98736832	TCLIA.4R2	0	1.571	C	128.0627847	0.033	0.2541092266	0	0.00025436	1	69	999
0.0003605	257.2338196	TCLIB.6R2.B1	0	1.571	CFC	38.68004268	0.025	0.1396537148	0	0.00013979	1	70	999
0.00025777	131.5206175	TCP.6L3.B1	0	0	CFC	144.6940225	0.025	0.0038666215	0	0.00027038	0.6	1	15
0.0001661	54.60460614	TCSG.5L3.B1	0	0	CFC	298.623934	0.025	0.0029897207	0	0.00038842	1	2	18
0.00011507	26.20971531	TCSG.4R3.B1	0	0	CFC	395.1963096	0.025	0.0020713197	0	0.00044684	1	4	18
0.00013462	35.86769092	TCSG.A5R3.B1	0	2.98102	CFC	344.1113321	0.025	0.0026760322	0	0.00041696	1	6	18
0.00015168	45.53781755	TCSG.B5R3.B1	0	0.1989675347	CFC	312.6775382	0.025	0.003026992	0	0.00039746	1	8	18
0.00026835	142.529326	TCLA.A5R3.B1	0	1.571	W	176.013073	0.025	0.005964114	0	0.00029821	1	46	20
0.00027677	151.6147642	TCLA.B5R3.B1	0	0	W	168.687042	0.025	0.005535339	0	0.00029193	1	47	20
0.00025572	129.435736	TCLA.6R3.B1	0	0	W	168.7063954	0.025	0.0051144693	0	0.00029195	1	48	20
0.00018452	67.38946372	TCLA.7R3.B1	0	0	W	89.39793081	0.025	0.0036903663	0	0.00021252	1	49	20
0.00073364	1065.327499	TCTH.4L5.B1	0	0	W	410.4420318	0.025	0.0100509154	0	0.00045538	1	58	13.7
0.00073515	1069.713375	TCTVA.4L5.B1	0	1.571	W	433.4065778	0.025	0.0064107938	0	0.00046794	1	59	13.7
0.00043885	381.1963294	TCL.4R5.B1	0	0	CU	1059.591302	0.025	0.0065827763	0	0.00073167	1	66	15
0.00024135	115.2920955	TCL.5R5.B1	0	0	CU	631.2221975	0.025	0.0036202162	0	0.00056472	1	67	15
0.00049465	484.2938691	TCDQA.A4R6.B	0	0	CU300K_in_TDI	161.3857436	5e-06	0.0045013145	0	0.00028555	3	71	9.1
0.00049465	484.2938691	TCDQA.A4R6.B	0	0	C	161.3857436	0.035	0.0045013145	0	0.00028555	3	71	9.1
