sigx[m]	Betax[m]	Name	tilt2[rad]	Angle[rad]	Material	Betay[m]	Thickness[m]	Halfgap[m]	tilt1[rad]	sigy[m]	Length[m]	ID	nsig
0.00044141	385.65179	TCL.4R1.B1	0	0	CU	1074.721736	0.025	999	0	0.00073687	1	63	999
0.00024618	119.9584519	TCL.5R1.B1	0	0	CU	634.3410681	0.025	999	0	0.00056612	1	64	999
0.00015365	46.7277887	TCTPH.4L2.B1	0	0	W	48.65941932	0.025	0.0056850308	0	0.00015679	1	57	37
0.0001562	48.29474082	TCTPV.4L2.B1	0	1.571	W	46.49578298	0.025	0.0056709	0	0.00015327	1	61	37
0.00023462	108.956506	TDI.4L2.B1.1	0	1.571	Ti_in_TDI	44.46075788	5e-06	0.1497260657	0	0.00014988	2.836	75	999
0.00023462	108.956506	TDI.4L2.B1.1	0	1.571	HBN	44.46075788	0.054	0.1497260657	0	0.00014988	2.836	75	999
0.00023462	108.956506	TDI.4L2.B1.2	0	1.571	CU300K_in_TDI	44.46075788	2e-06	0.1497260657	0	0.00014988	0.6	75	999
0.00023462	108.956506	TDI.4L2.B1.2	0	1.571	Al	44.46075788	0.054	0.1497260657	0	0.00014988	0.6	75	999
0.00023462	108.956506	TDI.4L2.B1.3	0	1.571	Cu	44.46075788	0.054	0.1497260657	0	0.00014988	0.7	75	999
0.00016255	52.29672573	TCLIA.4R2	0	1.571	C	128.3592422	0.033	0.2544031802	0	0.00025466	1	69	999
0.00036087	257.7620559	TCLIB.6R2.B1	0	1.571	CFC	38.42292308	0.025	0.1391887777	0	0.00013933	1	70	999
0.00025777	131.5206237	TCP.6L3.B1	0	0	CFC	144.694023	0.025	0.0038666216	0	0.00027038	0.6	1	15
0.0001661	54.60461194	TCSG.5L3.B1	0	0	CFC	298.6239351	0.025	0.0029897209	0	0.00038842	1	2	18
0.00011507	26.20971366	TCSG.4R3.B1	0	0	CFC	395.1963091	0.025	0.0020713196	0	0.00044684	1	4	18
0.00013462	35.86769157	TCSG.A5R3.B1	0	2.98102	CFC	344.1113317	0.025	0.0026760322	0	0.00041696	1	6	18
0.00015168	45.53781977	TCSG.B5R3.B1	0	0.1989675347	CFC	312.6775378	0.025	0.0030269921	0	0.00039746	1	8	18
0.00026835	142.5293409	TCLA.A5R3.B1	0	1.571	W	176.0130725	0.025	0.005964114	0	0.00029821	1	46	20
0.00027677	151.6147802	TCLA.B5R3.B1	0	0	W	168.6870416	0.025	0.0055353393	0	0.00029193	1	47	20
0.00025572	129.4357493	TCLA.6R3.B1	0	0	W	168.706395	0.025	0.0051144696	0	0.00029195	1	48	20
0.00018452	67.38944199	TCLA.7R3.B1	0	0	W	89.39801866	0.025	0.0036903657	0	0.00021252	1	49	20
0.00073874	1080.184578	TCTPH.4L5.B1	0	0	W	414.9821182	0.025	0.0101207579	0	0.00045789	1	58	13.7
