ID	name	angle[rad]	betax[m]	betay[m]	halfgap[m]	Material	Length[m]	sigx[m]	sigy[m]	tilt1[rad]	tilt2[rad]	nsig
63	TCL.4R1.B1	0	385.65179	1074.721736	0.0066211346	CU	1	0.00044141	0.00073687	0	0	15
64	TCL.5R1.B1	0	119.9584519	634.3410681	0.0036927522	CU	1	0.00024618	0.00056612	0	0	15
57	TCTPH.4L2.B1	0	46.7277887	48.65941932	0.0056850308	W	1	0.00015365	0.00015679	0	0	37
61	TCTPV.4L2.B1	1.571	48.29474082	46.49578298	0.0056709	W	1	0.0001562	0.00015327	0	0	37
75	TDI.4L2.B1	1.571	108.956506	44.46075788	0.1497260657	CU	4	0.00023462	0.00014988	0	0	999
69	TCLIA.4R2	1.571	52.29672573	128.3592422	0.2544031802	C	1	0.00016255	0.00025466	0	0	999
70	TCLIB.6R2.B1	1.571	257.7620559	38.42292308	0.1391887777	C	1	0.00036087	0.00013933	0	0	999
1	TCP.6L3.B1	0	131.5206237	144.694023	0.0038666216	C	0.6	0.00025777	0.00027038	0	0	15
2	TCSG.5L3.B1	0	54.60461194	298.6239351	0.0029897209	C	1	0.0001661	0.00038842	0	0	18
4	TCSG.4R3.B1	0	26.20971366	395.1963091	0.0020713196	C	1	0.00011507	0.00044684	0	0	18
6	TCSG.A5R3.B1	2.98102	35.86769157	344.1113317	0.0026760322	C	1	0.00013462	0.00041696	0	0	18
8	TCSG.B5R3.B1	0.1989675347	45.53781977	312.6775378	0.0030269921	C	1	0.00015168	0.00039746	0	0	18
46	TCLA.A5R3.B1	1.571	142.5293409	176.0130725	0.005964114	W	1	0.00026835	0.00029821	0	0	20
47	TCLA.B5R3.B1	0	151.6147802	168.6870416	0.0055353393	W	1	0.00027677	0.00029193	0	0	20
48	TCLA.6R3.B1	0	129.4357493	168.706395	0.0051144696	W	1	0.00025572	0.00029195	0	0	20
49	TCLA.7R3.B1	0	67.38944199	89.39801866	0.0036903657	W	1	0.00018452	0.00021252	0	0	20
58	TCTPH.4L5.B1	0	1080.184578	414.9821182	0.0101207579	W	1	0.00073874	0.00045789	0	0	13.7
59	TCTPV.4L5.B1	1.571	1084.36137	438.0068513	0.0064447268	W	1	0.00074017	0.00047042	0	0	13.7
66	TCL.4R5.B1	0	385.6517911	1074.721739	0.0066211346	CU	1	0.00044141	0.00073687	0	0	15
67	TCL.5R5.B1	0	120.2458739	636.5094229	0.0036971735	CU	1	0.00024648	0.00056708	0	0	15
71	TCDQA.A4R6.B	0	484.2939257	161.3884335	0.0045013148	C	3	0.00049465	0.00028555	0	0	9.1
73	TCDQA.C4R6.B	0	495.2540899	165.4589287	0.0045519649	C	3	0.00050022	0.00028913	0	0	9.1
72	TCDQA.B4R6.B	0	506.3883577	169.7343802	0.004602849	C	3	0.00050581	0.00029284	0	0	9.1
74	TCSP.A4R6.B1	0	518.8532164	174.6805852	0.0046591547	C	1	0.000512	0.00029707	0	0	9.1
10	TCP.D6L7.B1	1.571	158.8661738	78.26267987	0.001093663	C	0.6	0.00028331	0.00019885	0	0	5.5
11	TCP.C6L7.B1	0	150.5239815	82.76243303	0.0015167326	C	0.6	0.00027577	0.00020448	0	0	5.5
12	TCP.B6L7.B1	2.215	142.458499	87.48737129	0.0012806619	C	0.6	0.00026828	0.00021024	0	0	5.5
16	TCSG.A6L7.B1	2.46266	39.87155603	226.9212028	0.0019168324	C	1	0.00014193	0.0003386	0	0	8
18	TCSG.B5L7.B1	2.50455	160.0139545	166.5130188	0.0022909239	C	1	0.00028433	0.00029005	0	0	8
20	TCSG.A5L7.B1	0.71035	185.9930874	145.9293059	0.0023373357	C	1	0.00030654	0.00027153	0	0	8
22	TCSG.D4L7.B1	1.5708	332.9599924	68.86047349	0.0014921706	C	1	0.00041015	0.00018652	0	0	8
26	TCSG.B4L7.B1	0	139.7578868	130.9955097	0.0021257962	C	1	0.00026572	0.00025726	0	0	8
28	TCSG.A4L7.B1	2.34921	128.6710838	141.2954174	0.0020898504	C	1	0.00025497	0.00026718	0	0	8
30	TCSG.A4R7.B1	0.80809	118.2810707	152.2203396	0.0020971804	C	1	0.00024446	0.00027732	0	0	8
36	TCSG.B5R7.B1	2.46964	121.8533096	267.5806568	0.0024012713	C	1	0.00024812	0.00036768	0	0	8
40	TCSG.D5R7.B1	0.8971	213.8851166	158.5529586	0.0024131138	C	1	0.00032873	0.00028303	0	0	8
42	TCSG.E5R7.B1	2.27765	241.4086036	136.1173918	0.0024160419	C	1	0.00034924	0.00026224	0	0	8
44	TCSG.6R7.B1	0.00873	335.7666995	47.35650521	0.0032948683	C	1	0.00041187	0.00015468	0	0	8
50	TCLA.A6R7.B1	1.571	297.0758587	48.15513421	0.0021836994	W	1	0.00038742	0.00015598	0	0	14
51	TCLA.B6R7.B1	0	159.5043962	76.3876858	0.0039742744	W	1	0.00028388	0.00019645	0	0	14
52	TCLA.C6R7.B1	1.571	68.61723025	151.8870079	0.0038782145	W	1	0.00018619	0.00027702	0	0	14
53	TCLA.D6R7.B1	0	65.04935348	157.9157261	0.0025380081	W	1	0.00018129	0.00028246	0	0	14
54	TCLA.A7R7.B1	0	64.63387639	146.4538222	0.0025298899	W	1	0.00018071	0.00027202	0	0	14
60	TCTPH.4L8.B1	0	241.1571748	301.760653	0.0052358215	W	1	0.00034905	0.00039046	0	0	15
62	TCTPV.4L8.B1	1.571	251.6986793	302.9580861	0.0058684852	W	1	0.0003566	0.00039123	0	0	15
55	TCTPH.4L1.B1	0	1080.184583	414.9821172	0.0101207579	W	1	0.00073874	0.00045789	0	0	13.7
56	TCTPV.4L1.B1	1.571	1084.361374	438.0068502	0.0064447268	W	1	0.00074017	0.00047042	0	0	13.7
