sigx[m]	Betax[m]	Name	tilt2[rad]	Angle[rad]	Material	Betay[m]	Thickness[m]	Halfgap[m]	tilt1[rad]	sigy[m]	Length[m]	ID	nsig
0.00044141	385.6517907	TCL.4L1.B2	0	0	CU	1074.721721	0.025	0.0066211346	0	0.00073687	1	1	15
0.00024779	121.5265886	TCL.5L1.B2	0	0	CU	629.5261321	0.025	0.0037168103	0	0.00056396	1	2	15
0.00034905	241.1571696	TCTPH.4R8.B2	0	0	W	301.7606476	0.025	0.0052358215	0	0.00039046	1	4	15
0.0003566	251.6986739	TCTPV.4R8.B2	0	1.57079632	W	302.9580807	0.025	0.0058684852	0	0.00039123	1	6	15
0.00049295	480.9753483	TDI.4L2.B1.1	0	1.57079632	Ti_in_TDI	328.9238697	5e-06	0.4072458474	0	0.00040765	2.836	5	999
0.00049295	480.9753483	TDI.4L2.B1.1	0	1.57079632	HBN	328.9238697	0.054	0.4072458474	0	0.00040765	2.836	5	999
0.00049295	480.9753483	TDI.4L2.B1.2	0	1.57079632	CU300K_in_TDI	328.9238697	2e-06	0.4072458474	0	0.00040765	0.6	5	999
0.00049295	480.9753483	TDI.4L2.B1.2	0	1.57079632	Al	328.9238697	0.054	0.4072458474	0	0.00040765	0.6	5	999
0.00049295	480.9753483	TDI.4L2.B1.3	0	1.57079632	Cu	328.9238697	0.054	0.4072458474	0	0.00040765	0.7	5	999
0.00041153	335.2036451	TCLIA.4L8	0	1.57079632	C	536.5723144	0.033	0.5201434086	0	0.00052066	1	7	999
0.00019426	74.69206412	TCLIB.6L8.B2	0	1.57079632	CFC	9.765165948	0.025	0.0701695648	0	0.00007024	1	8	999
0.00028331	158.8661762	TCP.D6R7.B2	0	1.57079632	CFC	78.26267746	0.025	0.001093663	0	0.00019885	0.6	9	5.5
0.00027577	150.5239836	TCP.C6R7.B2	0	0	CFC	82.76243311	0.025	0.0015167326	0	0.00020448	0.6	10	5.5
0.00026828	142.4585009	TCP.B6R7.B2	0	2.22529479	CFC	87.487374	0.025	0.0012839103	0	0.00021024	0.6	11	5.5
0.00014193	39.87155508	TCSG.A6R7.B2	0	2.46615023	CFC	226.9212867	0.025	0.0019114473	0	0.0003386	1	15	8
0.00028433	160.0139558	TCSG.B5R7.B2	0	2.5062928	CFC	166.5131118	0.025	0.0022908477	0	0.00029005	1	17	8
0.00030654	185.9930892	TCSG.A5R7.B2	0	0.70860367	CFC	145.9293897	0.025	0.0023378143	0	0.00027153	1	19	8
0.00041015	332.9599975	TCSG.D4R7.B2	0	1.57079632	CFC	68.86051751	0.025	0.001492171	0	0.00018652	1	21	8
0.0002767	151.5414841	TCSG.B4R7.B2	0	0	CFC	121.3205931	0.025	0.0022136005	0	0.00024758	1	25	8
0.00026572	139.757891	TCSG.A4R7.B2	0	2.30557994	CFC	130.9954795	0.025	0.0020887866	0	0.00025726	1	27	8
0.00022431	99.59141729	TCSG.A4L7.B2	0	0.73478361	CFC	175.9451656	0.025	0.0020808483	0	0.00029815	1	29	8
0.00024812	121.8533064	TCSG.B5L7.B2	0	2.46964089	CFC	267.5805002	0.025	0.00240127	0	0.00036768	1	35	8
0.00032873	213.88511	TCSG.D5L7.B2	0	0.89709923	CFC	158.5528606	0.025	0.0024131137	0	0.00028303	1	39	8
0.00034924	241.408596	TCSG.E5L7.B2	0	2.27765467	CFC	136.1173066	0.025	0.0024160448	0	0.00026224	1	41	8
0.00041187	335.766688	TCSG.6L7.B2	0	0.00872664	CFC	47.35648474	0.025	0.0032948684	0	0.00015468	1	43	8
0.00038742	297.0758484	TCLA.A6L7.B2	0	1.57079632	W	48.15512095	0.025	0.0021836989	0	0.00015598	1	45	14
0.00028388	159.5043905	TCLA.B6L7.B2	0	0	W	76.38771428	0.025	0.0039742743	0	0.00019645	1	46	14
0.00018619	68.61722836	TCLA.C6L7.B2	0	1.57079632	W	151.8871001	0.025	0.0038782157	0	0.00027702	1	47	14
0.00018129	65.04935178	TCLA.D6L7.B2	0	0	W	157.9158227	0.025	0.0025380081	0	0.00028246	1	48	14
0.00018253	65.94264108	TCLA.A7L7.B2	0	0	W	143.1417533	0.025	0.0025553753	0	0.00026892	1	49	14
0.00049677	488.4544238	TCDQA.A4L6.B	0	0	CU300K_in_TDI	161.8607316	5e-06	0.0045206085	0	0.00028597	3	50	9.1
0.00049677	488.4544238	TCDQA.A4L6.B	0	0	CFC	161.8607316	0.035	0.0045206085	0	0.00028597	3	50	9.1
0.00049677	488.4544238	TCDQA.A4L6.B	0	0	graphite	161.8607316	0.04	0.0045206085	0	0.00028597	3	50	9.1
0.00050237	499.5281287	TCDQA.C4L6.B	0	0	CU300K_in_TDI	165.4501873	5e-06	0.0045715645	0	0.00028912	3	52	9.1
0.00050237	499.5281287	TCDQA.C4L6.B	0	0	CFC	165.4501873	0.035	0.0045715645	0	0.00028912	3	52	9.1
0.00050237	499.5281287	TCDQA.C4L6.B	0	0	graphite	165.4501873	0.04	0.0045715645	0	0.00028912	3	52	9.1
0.00050799	510.7769831	TCDQA.B4L6.B	0	0	CU300K_in_TDI	169.233048	5e-06	0.0046227513	0	0.00029241	3	51	9.1
0.00050799	510.7769831	TCDQA.B4L6.B	0	0	CFC	169.233048	0.035	0.0046227513	0	0.00029241	3	51	9.1
0.00050799	510.7769831	TCDQA.B4L6.B	0	0	graphite	169.233048	0.04	0.0046227513	0	0.00029241	3	51	9.1
0.00051422	523.3692588	TCSP.A4L6.B2	0	0	C	173.6233415	0.025	0.0046793872	0	0.00029617	1	53	9.1
0.00073874	1080.184579	TCTPH.4R5.B2	0	0	W	414.9821131	0.025	0.0101207579	0	0.00045789	1	54	13.7
0.00074017	1084.36137	TCTPV.4R5.B2	0	1.57079632	W	438.0068459	0.025	0.0064447266	0	0.00047042	1	55	13.7
0.00044141	385.6517886	TCL.4L5.B2	0	0	CU	1074.721729	0.025	0.0066211346	0	0.00073687	1	56	15
0.0002475	121.2456384	TCL.5L5.B2	0	0	CU	627.3258384	0.025	0.0037125115	0	0.00056298	1	57	15
