ID	name	angle[rad]	betax[m]	betay[m]	halfgap[m]	Material	Length[m]	sigx[m]	sigy[m]	tilt1[rad]	tilt2[rad]	nsig
57	TCTPH.4L2.B1	0	46.59203167	48.66507954	0.0056767665	W	1	0.00015343	0.0001568	0	0	37
61	TCTPV.4L2.B1	1.571	48.1548163	46.50401147	0.0056714018	W	1	0.00015598	0.00015328	0	0	37
75	TDI.4L2.B1	1.571	108.8142276	44.48982771	0.1497750055	CU	4	0.00023447	0.00014992	0	0	999
69	TCLIA.4R2	1.571	52.30567744	128.3955088	0.2544391172	C	1	0.00016256	0.00025469	0	0	999
70	TCLIB.6R2.B1	1.571	257.406733	38.44175866	0.1392228899	C	1	0.00036062	0.00013936	0	0	999
1	TCP.6L3.B1	0	131.5192136	144.6429623	0.0038666008	C	0.6	0.00025777	0.00027033	0	0	15
2	TCSG.5L3.B1	0	54.53888896	298.5034306	0.0029879211	C	1	0.000166	0.00038835	0	0	18
4	TCSG.4R3.B1	0	26.24594132	395.2521933	0.0020727507	C	1	0.00011515	0.00044687	0	0	18
6	TCSG.A5R3.B1	2.98102	35.88271894	344.1681018	0.0026765244	C	1	0.00013464	0.00041699	0	0	18
8	TCSG.B5R3.B1	0.1989675347	45.53589895	312.7333303	0.0030270011	C	1	0.00015168	0.00039749	0	0	18
46	TCLA.A5R3.B1	1.571	142.3642089	176.0604782	0.0059649171	W	1	0.00026819	0.00029825	0	0	20
47	TCLA.B5R3.B1	0	151.4345677	168.7337052	0.0055320486	W	1	0.0002766	0.00029197	0	0	20
48	TCLA.6R3.B1	0	129.227414	168.7473568	0.0051103519	W	1	0.00025552	0.00029199	0	0	20
49	TCLA.7R3.B1	0	67.4940878	89.38935127	0.0036932299	W	1	0.00018466	0.00021251	0	0	20
58	TCTPH.4L5.B1	0	157.7789551	78.76436053	0.0104464744	W	1	0.00028234	0.00019948	0	0	37
59	TCTPV.4L5.B1	1.571	155.3293371	78.9297231	0.007388657	W	1	0.00028014	0.00019969	0	0	37
71	TCDQA.A4R6.B	0	483.4921299	161.4093708	0.0041021948	C	3	0.00049424	0.00028557	0	0	8.3
73	TCDQA.C4R6.B	0	494.4210978	165.4845784	0.0041482992	C	3	0.0004998	0.00028915	0	0	8.3
72	TCDQA.B4R6.B	0	505.523762	169.7648307	0.0041946175	C	3	0.00050538	0.00029286	0	0	8.3
74	TCSP.A4R6.B1	0	517.9533409	174.7164254	0.004245872	C	1	0.00051155	0.00029711	0	0	8.3
10	TCP.D6L7.B1	1.571	158.1662449	78.30080751	0.0010939294	C	0.6	0.00028268	0.0001989	0	0	5.5
11	TCP.C6L7.B1	0	149.8626103	82.80403705	0.0015133968	C	0.6	0.00027516	0.00020454	0	0	5.5
12	TCP.B6L7.B1	2.215	141.8348245	87.53253457	0.0012794914	C	0.6	0.00026769	0.00021029	0	0	5.5
16	TCSG.A6L7.B1	2.46266	39.81587836	227.0536303	0.0017971767	C	1	0.00014183	0.00033869	0	0	7.5
18	TCSG.B5L7.B1	2.50455	160.5351631	166.5974591	0.0021501657	C	1	0.00028479	0.00029012	0	0	7.5
20	TCSG.A5L7.B1	0.71035	186.5722322	146.0010224	0.0021936073	C	1	0.00030702	0.00027159	0	0	7.5
22	TCSG.D4L7.B1	1.5708	333.8078445	68.88169085	0.0013991254	C	1	0.00041067	0.00018655	0	0	7.5
26	TCSG.B4L7.B1	0	139.7784523	130.9199919	0.0019930806	C	1	0.00026574	0.00025719	0	0	7.5
28	TCSG.A4L7.B1	2.34921	128.65598	141.2132775	0.0019588787	C	1	0.00025495	0.0002671	0	0	7.5
30	TCSG.A4R7.B1	0.80809	118.2332383	152.1314384	0.0019656057	C	1	0.00024441	0.00027724	0	0	7.5
36	TCSG.B5R7.B1	2.46964	121.7428277	267.452998	0.0022504523	C	1	0.00024801	0.00036759	0	0	7.5
40	TCSG.D5R7.B1	0.8971	213.8780706	158.4865434	0.0022620222	C	1	0.00032872	0.00028297	0	0	7.5
42	TCSG.E5R7.B1	2.27765	241.4383371	136.0634854	0.0022649224	C	1	0.00034926	0.00026219	0	0	7.5
44	TCSG.6R7.B1	0.00873	336.1184508	47.36441225	0.0030905566	C	1	0.00041209	0.00015469	0	0	7.5
50	TCLA.A6R7.B1	1.571	297.4440612	48.17072787	0.0017160416	W	1	0.00038766	0.000156	0	0	11
51	TCLA.B6R7.B1	0	159.8850127	76.43224241	0.0031263676	W	1	0.00028422	0.00019651	0	0	11
52	TCLA.C6R7.B1	1.571	68.90288651	151.9543524	0.003047844	W	1	0.00018658	0.00027708	0	0	11
53	TCLA.D6R7.B1	0	65.32572003	157.9841622	0.0019983809	W	1	0.00018167	0.00028252	0	0	11
54	TCLA.A7R7.B1	0	64.90791146	146.5037667	0.00199198	W	1	0.00018109	0.00027206	0	0	11
60	TCTPH.4L8.B1	0	46.86344413	48.31532845	0.0056932769	W	1	0.00015387	0.00015624	0	0	37
62	TCTPV.4L8.B1	1.571	48.44685423	46.18142755	0.0056516972	W	1	0.00015645	0.00015275	0	0	37
55	TCTPH.4L1.B1	0	158.442326	78.75227172	0.0104684121	W	1	0.00028293	0.00019947	0	0	37
56	TCTPV.4L1.B1	1.571	155.9816119	78.91770004	0.0073880942	W	1	0.00028072	0.00019968	0	0	37
