sigx[m]	Betax[m]	Name	tilt2[rad]	Angle[rad]	Material	Betay[m]	Thickness[m]	Halfgap[m]	tilt1[rad]	sigy[m]	Length[m]	ID	nsig
0.00019902   78.3967   TCL.4R1.B1   0   0   CU   160.6895   0.025   0.024981   0   0.00028493   1   63   999   
0.00027071   145.0485   TCL.5R1.B1   0   0   CU   129.0761   0.025   0.025001   0   0.00025537   1   64   999   
0.00023129   105.885   TCL.6R1.B1   0   0   W   146.6458   0.025   0.024959   0   0.00027219   1   65   999   
0.00015342   46.5886   TCTPH.4L2.B1   0   0   W   48.2673   0.025   0.0055957   0   0.00015616   1   57   37   
0.00015559   47.9176   TCTPV.4L2.B1   0   1.571   W   46.4196   0.025   0.0057148   0   0.00015314   1   61   37   
0.00023404   108.4118   TDI.4L2.B1.1   0   1.571   Ti_in_TDI   44.1638   5e-06   0.055093   0   0.00014937   4   75   999   
0.00023404   108.4118   TDI.4L2.B1.1   0   1.571   HBN   44.1638   0.054   0.055093   0   0.00014937   4   75   999   
0.00023404   108.4118   TDI.4L2.B1.2   0   1.571   CU300K_in_TDI   44.1638   2e-06   0.055093   0   0.00014937   0.6   75   999   
0.00023404   108.4118   TDI.4L2.B1.2   0   1.571   Al   44.1638   0.054   0.055093   0   0.00014937   0.6   75   999   
0.00023404   108.4118   TDI.4L2.B1.3   0   1.571   Cu   44.1638   0.054   0.055093   0   0.00014937   0.7   75   999   
0.00016199   51.9403   TCLIA.4R2   0   1.571   C   128.0874   0.033   0.027941   0   0.00025439   1   69   999   
0.0003601   256.6612   TCLIB.6R2.B1   0   1.571   CFC   38.7049   0.025   0.024831   0   0.00013984   1   70   999   
0.00025764   131.3874   TCP.6L3.B1   0   0   CFC   144.6387   0.025   0.0038702   0   0.00027032   0.6   1   15   
0.00016597   54.5214   TCSG.5L3.B1   0   0   CFC   298.5069   0.025   0.0029875   0   0.00038835   1   2   18   
0.0001151   26.2218   TCSG.4R3.B1   0   0   CFC   395.2928   0.025   0.0020758   0   0.00044689   1   4   18   
0.00013457   35.8435   TCSG.A5R3.B1   0   2.981   CFC   344.2016   0.025   0.0026818   0   0.00041701   1   6   18   
0.0001516   45.4907   TCSG.B5R3.B1   0   0.19897   CFC   312.7628   0.025   0.0030091   0   0.00039751   1   8   18   
0.00026814   142.3125   TCLA.A5R3.B1   0   1.571   W   176.0723   0.025   0.0059425   0   0.00029826   1   46   20   
0.00027656   151.3839   TCLA.B5R3.B1   0   0   W   168.7446   0.025   0.0055686   0   0.00029198   1   47   20   
0.00025557   129.2824   TCLA.6R3.B1   0   0   W   168.726   0.025   0.0051183   0   0.00029197   1   48   20   
0.00018465   67.4823   TCLA.7R3.B1   0   0   W   89.379   0.025   0.0037335   0   0.0002125   1   49   20   
0.00028137   156.6955   TCTPH.4L5.B1   0   0   W   78.4681   0.025   0.010469   0   0.00019911   1   58   37   
0.00027917   154.2592   TCTPV.4L5.B1   0   1.571   W   78.6285   0.025   0.0073507   0   0.00019931   1   59   37   
0.00019942   78.711   TCL.4R5.B1   0   0   CU   160.6301   0.025   0.02501   0   0.00028488   1   66   999   
0.00027083   145.1802   TCL.5R5.B1   0   0   CU   129.3709   0.025   0.02507   0   0.00025566   1   67   999   
0.00022369   99.0397   TCL.6R5.B1   0   0   W   152.821   0.025   0.024895   0   0.00027787   1   68   999   
0.00049415   483.3192   TCDQA.A4R6.B   0   0   C   161.4042   0.075   0.0027019   0   0.00028556   3   71   9.1   
