ID	name	angle[rad]	betax[m]	betay[m]	halfgap[m]	Material	Length[m]	sigx[m]	sigy[m]	tilt1[rad]	tilt2[rad]	nsig
1	TCL.4L1.B2	0	79.00060981	161.6032042	0.1995832962	CU	1	0.00019978	0.00028574	0	0	999
2	TCL.5L1.B2	0	144.0540692	131.9399319	0.2695080454	CU	1	0.00026978	0.00025819	0	0	999
3	TCL.6L1.B2	0	102.0719079	157.0769063	0.2268621718	W	1	0.00022709	0.00028171	0	0	999
4	TCTPH.4R8.B2	0	46.82260855	48.31636739	0.0056907959	W	1	0.00015381	0.00015624	0	0	37
6	TCTPV.4R8.B2	1.57079632	48.40652713	46.18663087	0.0056520155	W	1	0.00015639	0.00015276	0	0	37
5	TDI.4R8.B2	1.57079632	108.6240333	44.47353869	0.14974758	C	4	0.00023426	0.0001499	0	0	999
7	TCLIA.4L8	1.57079632	52.19809315	128.388282	0.2544319596	C	1	0.00016239	0.00025469	0	0	999
8	TCLIB.6L8.B2	1.57079632	221.7736907	14.92553573	0.0867508889	C	1	0.00033473	0.000086838	0	0	999
9	TCP.D6R7.B2	1.57079632	158.7855279	78.30363057	0.0010939491	C	0.6	0.00028324	0.0001989	0	0	5.5
10	TCP.C6R7.B2	0	150.4438354	82.80686778	0.0015163287	C	0.6	0.0002757	0.00020454	0	0	5.5
11	TCP.B6R7.B2	2.22529479	142.3789697	87.53536548	0.0012839146	C	0.6	0.0002682	0.0002103	0	0	5.5
15	TCSG.A6R7.B2	2.46615023	39.8281675	227.054932	0.0019116656	C	1	0.00014185	0.0003387	0	0	8
17	TCSG.B5R7.B2	2.5062928	160.1728625	166.5946498	0.0022917767	C	1	0.00028447	0.00029012	0	0	8
19	TCSG.A5R7.B2	0.70860367	186.1815125	145.9981997	0.0023387668	C	1	0.0003067	0.00027159	0	0	8
21	TCSG.D4R7.B2	1.57079632	333.3151321	68.87908167	0.0014923722	C	1	0.00041037	0.00018655	0	0	8
25	TCSG.B4R7.B2	0	151.699256	121.2490197	0.0022147525	C	1	0.00027684	0.0002475	0	0	8
27	TCSG.A4R7.B2	2.30557994	139.9006446	130.9176212	0.0020889514	C	1	0.00026586	0.00025718	0	0	8
29	TCSG.A4L7.B2	0.73478361	99.67906778	175.8410489	0.0020808596	C	1	0.00022441	0.00029806	0	0	8
35	TCSG.B5L7.B2	2.46964089	121.7226385	267.4587175	0.0024004133	C	1	0.00024799	0.0003676	0	0	8
39	TCSG.D5L7.B2	0.89709923	213.6687062	158.4910414	0.0024122963	C	1	0.00032856	0.00028297	0	0	8
41	TCSG.E5L7.B2	2.27765467	241.1679621	136.0676593	0.0024151734	C	1	0.00034906	0.00026219	0	0	8
43	TCSG.6L7.B2	0.00872664	335.4705246	47.3668375	0.0032934149	C	1	0.00041169	0.0001547	0	0	8
45	TCLA.A6L7.B2	1.57079632	296.822607	48.1730135	0.0021841046	W	1	0.00038725	0.00015601	0	0	14
46	TCLA.B6L7.B2	0	159.4043902	76.4326566	0.0039730283	W	1	0.00028379	0.00019651	0	0	14
47	TCLA.C6L7.B2	1.57079632	68.61986728	151.9504521	0.0038790244	W	1	0.0001862	0.00027707	0	0	14
48	TCLA.D6L7.B2	0	65.05609537	157.9799265	0.0025381396	W	1	0.0001813	0.00028252	0	0	14
49	TCLA.A7L7.B2	0	65.98871323	143.1853022	0.0025562678	W	1	0.00018259	0.00026896	0	0	14
