sigx[m]	Betax[m]	Name	tilt2[rad]	Angle[rad]	Material	Betay[m]	Thickness[m]	Halfgap[m]	tilt1[rad]	sigy[m]	Length[m]	ID	nsig
0.00019902	78.39668572	TCL.4R1.B1	0	0	CU	160.689548	0.025	0.1988189705	0	0.00028493	1	63	999
0.00027071	145.0484898	TCL.5R1.B1	0	0	CU	129.076075	0.025	0.270436667	0	0.00025537	1	64	999
0.00023129	105.884959	TCL.6R1.B1	0	0	W	146.6458484	0.025	0.231060711	0	0.00027219	1	65	999
0.00015342	46.588625	TCTH.4L2.B1	0	0	W	48.26728193	0.025	0.0056765589	0	0.00015616	1	57	37
0.00015559	47.91762178	TCTVA.4L2.B1	0	1.571	W	46.41956568	0.025	0.0056662501	0	0.00015314	1	61	37
0.00023404	108.4117954	TDI.4L2.B1.1	0	1.571	Ti_in_TDI	44.16380684	5e-06	0.1492252218	0	0.00014937	4	75	999
0.00023404	108.4117954	TDI.4L2.B1.1	0	1.571	HBN	44.16380684	0.054	0.1492252218	0	0.00014937	4	75	999
0.00023404	108.4117954	TDI.4L2.B1.2	0	1.571	CU300K_in_TDI	44.16380684	2e-06	0.1492252218	0	0.00014937	0.6	75	999
0.00023404	108.4117954	TDI.4L2.B1.2	0	1.571	Al	44.16380684	0.054	0.1492252218	0	0.00014937	0.6	75	999
0.00023404	108.4117954	TDI.4L2.B1.3	0	1.571	Cu	44.16380684	0.054	0.1492252218	0	0.00014937	0.7	75	999
0.00016199	51.94028542	TCLIA.4R2	0	1.571	C	128.0873685	0.033	0.2541336157	0	0.00025439	1	69	999
0.0003601	256.6611994	TCLIB.6R2.B1	0	1.571	CFC	38.70487194	0.025	0.1396985303	0	0.00013984	1	70	999
0.00025764	131.3873514	TCP.6L3.B1	0	0	CFC	144.6387127	0.025	0.003864662	0	0.00027032	0.6	1	15
0.00016597	54.52144614	TCSG.5L3.B1	0	0	CFC	298.5068782	0.025	0.0029874433	0	0.00038835	1	2	18
0.0001151	26.22184358	TCSG.4R3.B1	0	0	CFC	395.2927843	0.025	0.0020717989	0	0.00044689	1	4	18
0.00013457	35.84352366	TCSG.A5R3.B1	0	2.98102	CFC	344.2016363	0.025	0.0026753824	0	0.00041701	1	6	18
0.0001516	45.49067333	TCSG.B5R3.B1	0	0.1989675347	CFC	312.7627907	0.025	0.0030258569	0	0.00039751	1	8	18
0.00026814	142.3124974	TCLA.A5R3.B1	0	1.571	W	176.0722946	0.025	0.0059651173	0	0.00029826	1	46	20
0.00027656	151.383904	TCLA.B5R3.B1	0	0	W	168.7445806	0.025	0.0055311231	0	0.00029198	1	47	20
0.00025557	129.2824148	TCLA.6R3.B1	0	0	W	168.7259613	0.025	0.0051114393	0	0.00029197	1	48	20
0.00018465	67.48227349	TCLA.7R3.B1	0	0	W	89.37901736	0.025	0.0036929066	0	0.0002125	1	49	20
0.00028137	156.6954879	TCTH.4L5.B1	0	0	W	78.46806555	0.025	0.0104105446	0	0.00019911	1	58	37
0.00027917	154.2591951	TCTVA.4L5.B1	0	1.571	W	78.62850829	0.025	0.007374545	0	0.00019931	1	59	37
0.00019942	78.71095256	TCL.4R5.B1	0	0	CU	160.6300757	0.025	0.1992170722	0	0.00028488	1	66	999
0.00027083	145.1801517	TCL.5R5.B1	0	0	CU	129.37089	0.025	0.2705593781	0	0.00025566	1	67	999
0.00022369	99.03969465	TCL.6R5.B1	0	0	W	152.8209842	0.025	0.2234671115	0	0.00027787	1	68	999
0.00049415	483.3192232	TCDQA.A4R6.B	0	0	C	161.4041618	0.075	0.0044967828	0	0.00028556	3	71	9.1
0.0004997	494.2381007	TCDQA.B4R6.B	0	0	C	165.4785042	0.075	0.0045472935	0	0.00028914	3	72	9.1
0.00050528	505.3305122	TCDQA.C4R6.B	0	0	C	169.7578767	0.075	0.0045980388	0	0.00029286	3	73	9.1
0.00051145	517.7486109	TCSG.4R6.B1	0	0	CFC	174.7084856	0.025	0.0046541925	0	0.0002971	1	74	9.1
0.00028265	158.1305225	TCP.D6L7.B1	0	1.571	CFC	78.29233207	0.025	0.0010938702	0	0.00019889	0.6	10	5.5
0.00027514	149.8324289	TCP.C6L7.B1	0	0	CFC	82.79530864	0.025	0.0015132444	0	0.00020452	0.6	11	5.5
0.00026767	141.8099442	TCP.B6L7.B1	0	2.215	CFC	87.52356311	0.025	0.0012794036	0	0.00021028	0.6	12	5.5
0.00014189	39.84656309	TCSG.A6L7.B1	0	2.46266	CFC	227.0418916	0.025	0.0019171062	0	0.00033869	1	16	8
0.00028474	160.4724272	TCSG.B5L7.B1	0	2.50455	CFC	166.5975483	0.025	0.0022932245	0	0.00029012	1	18	8
0.00030695	186.4917891	TCSG.A5L7.B1	0	0.71035	CFC	146.0020073	0.025	0.0023395312	0	0.0002716	1	20	8
0.00041055	333.6182818	TCSG.D4L7.B1	0	1.5708	CFC	68.88567458	0.025	0.0014924436	0	0.00018656	1	22	8
