ID	name	angle[rad]	betax[m]	betay[m]	halfgap[m]	Material	Length[m]	sigx[m]	sigy[m]	tilt1[rad]	tilt2[rad]	nsig
63	TCL.4R1.B1	0	78.39668572	160.689548	0.1988189705	CU	1	0.00019902	0.00028493	0	0	999
64	TCL.5R1.B1	0	145.0484898	129.076075	0.270436667	CU	1	0.00027071	0.00025537	0	0	999
65	TCL.6R1.B1	0	105.884959	146.6458484	0.231060711	W	1	0.00023129	0.00027219	0	0	999
57	TCTH.4L2.B1	0	46.588625	48.26728193	0.0056765589	W	1	0.00015342	0.00015616	0	0	37
61	TCTVA.4L2.B1	1.571	47.91762178	46.41956568	0.0056662501	W	1	0.00015559	0.00015314	0	0	37
75	TDI.4L2.B1	1.571	108.4117954	44.16380684	0.1492252218	CU	4	0.00023404	0.00014937	0	0	999
69	TCLIA.4R2	1.571	51.94028542	128.0873685	0.2541336157	C	1	0.00016199	0.00025439	0	0	999
70	TCLIB.6R2.B1	1.571	256.6611994	38.70487194	0.1396985303	C	1	0.0003601	0.00013984	0	0	999
1	TCP.6L3.B1	0	131.3873514	144.6387127	0.003864662	C	0.6	0.00025764	0.00027032	0	0	15
2	TCSG.5L3.B1	0	54.52144614	298.5068782	0.0029874433	C	1	0.00016597	0.00038835	0	0	18
4	TCSG.4R3.B1	0	26.22184358	395.2927843	0.0020717989	C	1	0.0001151	0.00044689	0	0	18
6	TCSG.A5R3.B1	2.98102	35.84352366	344.2016363	0.0026753824	C	1	0.00013457	0.00041701	0	0	18
8	TCSG.B5R3.B1	0.1989675347	45.49067333	312.7627907	0.0030258569	C	1	0.0001516	0.00039751	0	0	18
46	TCLA.A5R3.B1	1.571	142.3124974	176.0722946	0.0059651173	W	1	0.00026814	0.00029826	0	0	20
47	TCLA.B5R3.B1	0	151.383904	168.7445806	0.0055311231	W	1	0.00027656	0.00029198	0	0	20
48	TCLA.6R3.B1	0	129.2824148	168.7259613	0.0051114393	W	1	0.00025557	0.00029197	0	0	20
49	TCLA.7R3.B1	0	67.48227349	89.37901736	0.0036929066	W	1	0.00018465	0.0002125	0	0	20
58	TCTH.4L5.B1	0	156.6954879	78.46806555	0.0104105446	W	1	0.00028137	0.00019911	0	0	37
59	TCTVA.4L5.B1	1.571	154.2591951	78.62850829	0.007374545	W	1	0.00027917	0.00019931	0	0	37
66	TCL.4R5.B1	0	78.71095256	160.6300757	0.1992170722	CU	1	0.00019942	0.00028488	0	0	999
67	TCL.5R5.B1	0	145.1801517	129.37089	0.2705593781	CU	1	0.00027083	0.00025566	0	0	999
68	TCL.6R5.B1	0	99.03969465	152.8209842	0.2234671115	W	1	0.00022369	0.00027787	0	0	999
71	TCDQA.A4R6.B	0	483.3192232	161.4041618	0.0044967828	C	3	0.00049415	0.00028556	0	0	9.1
72	TCDQA.B4R6.B	0	494.2381007	165.4785042	0.0045472935	C	3	0.0004997	0.00028914	0	0	9.1
73	TCDQA.C4R6.B	0	505.3305122	169.7578767	0.0045980388	C	3	0.00050528	0.00029286	0	0	9.1
74	TCSG.4R6.B1	0	517.7486109	174.7084856	0.0046541925	C	1	0.00051145	0.0002971	0	0	9.1
10	TCP.D6L7.B1	1.571	158.1305225	78.29233207	0.0010938702	C	0.6	0.00028265	0.00019889	0	0	5.5
11	TCP.C6L7.B1	0	149.8324289	82.79530864	0.0015132444	C	0.6	0.00027514	0.00020452	0	0	5.5
12	TCP.B6L7.B1	2.215	141.8099442	87.52356311	0.0012794036	C	0.6	0.00026767	0.00021028	0	0	5.5
