sigx[m]	Betax[m]	Name	tilt2[rad]	Angle[rad]	Material	Betay[m]	Thickness[m]	Halfgap[m]	tilt1[rad]	sigy[m]	Length[m]	ID	nsig
0.00058559   46.9891   TCTH.4L2.B1   0   0   W   48.3521   0.025   0.0076523   0   0.00059402   1   57   13   
0.00059391   48.3347   TCTVA.4L2.B1   0   1.571   W   46.536   0.025   0.025065   0   0.00058276   1   61   13   
0.00089192   109.0083   TDI.4L2.B1.1   0   1.571   Ti_in_TDI   44.5852   5e-06   0.055097   0   0.00057041   4   75   999   
0.00089192   109.0083   TDI.4L2.B1.1   0   1.571   HBN   44.5852   0.054   0.055097   0   0.00057041   4   75   999   
0.00089192   109.0083   TDI.4L2.B1.2   0   1.571   CU300K_in_TDI   44.5852   2e-06   0.055097   0   0.00057041   0.6   75   999   
0.00089192   109.0083   TDI.4L2.B1.2   0   1.571   Al   44.5852   0.054   0.055097   0   0.00057041   0.6   75   999   
0.00089192   109.0083   TDI.4L2.B1.3   0   1.571   Cu   44.5852   0.054   0.055097   0   0.00057041   0.7   75   999   
0.00061846   52.4131   TCLIA.4R2   0   1.571   C   128.4093   0.033   0.0068754   0   0.00096804   1   69   999   
0.0013795   260.7522   TCLIB.6R2.B1   0   1.571   CFC   37.3921   0.025   0.0048805   0   0.00052238   1   70   999   
0.00097971   131.524   TCP.6L3.B1   0   0   CFC   144.6957   0.025   0.0078572   0   0.0010276   0.6   1   8   
0.00063128   54.6075   TCSG.5L3.B1   0   0   CFC   298.6334   0.025   0.0058654   0   0.0014763   1   2   9.3   
0.00043736   26.2111   TCSG.4R3.B1   0   0   CFC   395.1679   0.025   0.00409   0   0.0016982   1   4   9.3   
0.00051162   35.868   TCSG.A5R3.B1   0   2.981   CFC   344.0831   0.025   0.0052844   0   0.0015846   1   6   9.3   
0.00057647   45.5376   TCSG.B5R3.B1   0   0.19897   CFC   312.6518   0.025   0.0059332   0   0.0015105   1   8   9.3   
0.0010199   142.524   TCLA.A5R3.B1   0   1.571   W   175.9987   0.025   0.013565   0   0.0011333   1   46   12   
0.0010519   151.609   TCLA.B5R3.B1   0   0   W   168.6734   0.025   0.01266   0   0.0011095   1   47   12   
0.00097186   129.4249   TCLA.6R3.B1   0   0   W   168.7028   0.025   0.011673   0   0.0011096   1   48   12   
0.00069586   66.3515   TCLA.7R3.B1   0   0   W   96.1016   0.025   0.0084366   0   0.00083745   1   49   12   
0.0010819   160.3971   TCTH.4L5.B1   0   0   W   79.4995   0.025   0.014611   0   0.00076169   1   58   13   
0.0010735   157.9151   TCTVA.4L5.B1   0   1.571   W   79.6756   0.025   0.010392   0   0.00076253   1   59   13   
0.00188   484.2939   TCDQA.A4R6.B   0   0   CU300K_in_TDI   161.3884   5e-06   0.0084375   0   0.0010853   3   71   8   
0.00188   484.2939   TCDQA.A4R6.B   0   0   C   161.3884   0.035   0.0084375   0   0.0010853   3   71   8   
0.00188   484.2939   TCDQA.A4R6.B   0   0   CFC   161.3884   0.04   0.0084375   0   0.0010853   3   71   8   
0.0019011   495.2541   TCDQA.B4R6.B   0   0   CU300K_in_TDI   165.4589   5e-06   0.0084375   0   0.0010989   3   72   8   
0.0019011   495.2541   TCDQA.B4R6.B   0   0   C   165.4589   0.035   0.0084375   0   0.0010989   3   72   8   
0.0019011   495.2541   TCDQA.B4R6.B   0   0   CFC   165.4589   0.04   0.0084375   0   0.0010989   3   72   8   
0.0019224   506.3884   TCDQA.C4R6.B   0   0   CU300K_in_TDI   169.7344   5e-06   0.0084375   0   0.001113   3   73   8   
0.0019224   506.3884   TCDQA.C4R6.B   0   0   C   169.7344   0.035   0.0084375   0   0.001113   3   73   8   
0.0019224   506.3884   TCDQA.C4R6.B   0   0   CFC   169.7344   0.04   0.0084375   0   0.001113   3   73   8   
0.0019459   518.8532   TCSG.4R6.B1   0   0   CFC   174.6806   0.025   0.015294   0   0.0011291   1   74   7   
0.0010768   158.8712   TCP.D6L7.B1   0   1.571   CFC   78.2634   0.025   0.0050734   0   0.00075574   0.6   10   5.7   
0.0010481   150.5287   TCP.C6L7.B1   0   0   CFC   82.7632   0.025   0.0070163   0   0.00077716   0.6   11   5.7   
0.0010196   142.463   TCP.B6L7.B1   0   2.215   CFC   87.4883   0.025   0.0059108   0   0.00079904   0.6   12   5.7   
0.00053942   39.8723   TCSG.A6L7.B1   0   2.4627   CFC   226.9256   0.025   0.0064359   0   0.0012869   1   16   6.7   
0.0010805   159.9837   TCSG.B5L7.B1   0   2.5046   CFC   166.5128   0.025   0.0083482   0   0.0011023   1   18   6.7   
0.0011649   185.9589   TCSG.A5L7.B1   0   0.71035   CFC   145.9288   0.025   0.0083163   0   0.001032   1   20   6.7   
0.0015587   332.918   TCSG.D4L7.B1   0   1.5708   CFC   68.8635   0.025   0.0052137   0   0.00070891   1   22   6.7   
0.0010099   139.7497   TCSG.B4L7.B1   0   0   CFC   130.9847   0.025   0.006981   0   0.0009777   1   26   6.7   
0.000969   128.6647   TCSG.A4L7.B1   0   2.3492   CFC   141.2833   0.025   0.0078638   0   0.0010154   1   28   6.7   
0.00092906   118.2764   TCSG.A4R7.B1   0   0.80809   CFC   152.2069   0.025   0.0072401   0   0.0010539   1   30   6.7   
0.00094299   121.8492   TCSG.B5R7.B1   0   2.4696   CFC   267.546   0.025   0.0082691   0   0.0013973   1   36   6.7   
0.0012493   213.8742   TCSG.D5R7.B1   0   0.8971   CFC   158.5319   0.025   0.0090123   0   0.0010756   1   40   6.7   
0.0013273   241.3956   TCSG.E5R7.B1   0   2.2776   CFC   136.0993   0.025   0.0083545   0   0.0009966   1   42   6.7   
0.0015653   335.7481   TCSG.6R7.B1   0   0.00873   CFC   47.3586   0.025   0.010289   0   0.00058789   1   44   6.7   
0.0014724   297.0578   TCLA.A6R7.B1   0   1.571   W   48.1576   0.025   0.0059984   0   0.00059282   1   50   10   
0.0010788   159.4899   TCLA.B6R7.B1   0   0   W   76.3909   0.025   0.010723   0   0.00074665   1   51   10   
0.00070759   68.6083   TCLA.C6R7.B1   0   1.571   W   151.8889   0.025   0.011037   0   0.0010528   1   52   10   
0.00068895   65.0408   TCLA.D6R7.B1   0   0   W   157.9175   0.025   0.0069622   0   0.0010735   1   53   10   
0.00068304   63.9299   TCLA.A7R7.B1   0   0   W   148.2534   0.025   0.0069365   0   0.0010402   1   54   10   
0.00058559   46.9891   TCTH.4L8.B1   0   0   W   48.3521   0.025   0.0072585   0   0.00059402   1   60   13   
0.00059546   48.5868   TCTVA.4L8.B1   0   1.571   W   46.2318   0.025   0.0079028   0   0.00058085   1   62   13   
0.0010819   160.3971   TCTH.4L1.B1   0   0   W   79.4995   0.025   0.013452   0   0.00076169   1   55   13   
0.0010735   157.9151   TCTVA.4L1.B1   0   1.571   W   79.6756   0.025   0.0099209   0   0.00076253   1   56   13   
