ID	name	angle[rad]	betax[m]	betay[m]	halfgap[m]	Material	Length[m]	sigx[m]	sigy[m]	tilt1[rad]	tilt2[rad]	nsig
57	TCTPH.4L2.B1	0	46.59203167	48.66507954	0.0075804167	W	1	0.00058311	0.00059594	0	0	13
61	TCTPV.4L2.B1	1.571	48.1548163	46.50401147	0.007573253	W	1	0.00059281	0.00058256	0	0	13
75	TDI.4L2.B1	1.571	108.8142276	44.48982771	0.5692326017	CU	4	0.00089112	0.0005698	0	0	999
69	TCLIA.4R2	1.571	52.30567744	128.3955088	0.9670174286	C	1	0.00061783	0.00096799	0	0	999
70	TCLIB.6R2.B1	1.571	257.406733	38.44175866	0.5291283923	C	1	0.0013706	0.00052966	0	0	999
1	TCP.6L3.B1	0	131.5192136	144.6429623	0.0078375169	C	0.6	0.00097969	0.0010274	0	0	8
2	TCSG.5L3.B1	0	54.53888896	298.5034306	0.0058671879	C	1	0.00063088	0.0014759	0	0	9.3
4	TCSG.4R3.B1	0	26.24594132	395.2521933	0.0040701267	C	1	0.00043765	0.0016984	0	0	9.3
6	TCSG.A5R3.B1	2.98102	35.88271894	344.1681018	0.0052557182	C	1	0.00051172	0.0015848	0	0	9.3
8	TCSG.B5R3.B1	0.1989675347	45.53589895	312.7333303	0.0059439267	C	1	0.00057646	0.0015107	0	0	9.3
46	TCLA.A5R3.B1	1.571	142.3642089	176.0604782	0.0136021038	W	1	0.0010193	0.0011335	0	0	12
47	TCLA.B5R3.B1	0	151.4345677	168.7337052	0.0126150118	W	1	0.0010513	0.0011097	0	0	12
48	TCLA.6R3.B1	0	129.227414	168.7473568	0.0116533952	W	1	0.00097112	0.0011097	0	0	12
49	TCLA.7R3.B1	0	67.4940878	89.38935127	0.0084218599	W	1	0.00070182	0.00080768	0	0	12
58	TCTPH.4L5.B1	0	157.7789551	78.76436053	0.0139496012	W	1	0.001073	0.00075816	0	0	13
59	TCTPV.4L5.B1	1.571	155.3293371	78.9297231	0.0098663735	W	1	0.0010647	0.00075895	0	0	13
71	TCDQA.A4R6.B	0	483.4921299	161.4093708	0.0150272183	C	3	0.0018784	0.0010853	0	0	8
73	TCDQA.C4R6.B	0	494.4210978	165.4845784	0.0151961085	C	3	0.0018995	0.0010989	0	0	8
72	TCDQA.B4R6.B	0	505.523762	169.7648307	0.0153657823	C	3	0.0019207	0.0011131	0	0	8
74	TCSP.A4R6.B1	0	517.9533409	174.7164254	0.0145814424	C	1	0.0019442	0.0011292	0	0	7.5
10	TCP.D6L7.B1	1.571	158.1662449	78.30080751	0.0043087559	C	0.6	0.0010744	0.00075592	0	0	5.7
11	TCP.C6L7.B1	0	149.8626103	82.80403705	0.005960949	C	0.6	0.0010458	0.00077736	0	0	5.7
12	TCP.B6L7.B1	2.215	141.8348245	87.53253457	0.0050396453	C	0.6	0.0010174	0.00079924	0	0	5.7
16	TCSG.A6L7.B1	2.46266	39.81587836	227.0536303	0.0061017546	C	1	0.00053904	0.0012872	0	0	6.7
18	TCSG.B5L7.B1	2.50455	160.5351631	166.5974591	0.007300219	C	1	0.0010824	0.0011026	0	0	6.7
20	TCSG.A5L7.B1	0.71035	186.5722322	146.0010224	0.0074477114	C	1	0.0011669	0.0010322	0	0	6.7
22	TCSG.D4L7.B1	1.5708	333.8078445	68.88169085	0.0047502953	C	1	0.0015608	0.000709	0	0	6.7
26	TCSG.B4L7.B1	0	139.7784523	130.9199919	0.0067668854	C	1	0.00101	0.00097746	0	0	6.7
28	TCSG.A4L7.B1	2.34921	128.65598	141.2132775	0.0066507635	C	1	0.00096897	0.0010152	0	0	6.7
30	TCSG.A4R7.B1	0.80809	118.2332383	152.1314384	0.006673603	C	1	0.00092889	0.0010537	0	0	6.7
36	TCSG.B5R7.B1	2.46964	121.7428277	267.452998	0.0076407111	C	1	0.00094257	0.0013971	0	0	6.7
40	TCSG.D5R7.B1	0.8971	213.8780706	158.4865434	0.0076799929	C	1	0.0012493	0.0010754	0	0	6.7
42	TCSG.E5R7.B1	2.27765	241.4383371	136.0634854	0.0076898397	C	1	0.0013274	0.00099647	0	0	6.7
44	TCSG.6R7.B1	0.00873	336.1184508	47.36441225	0.010493024	C	1	0.0015662	0.00058792	0	0	6.7
50	TCLA.A6R7.B1	1.571	297.4440612	48.17072787	0.005929056	W	1	0.0014733	0.00059291	0	0	10
51	TCLA.B6R7.B1	0	159.8850127	76.43224241	0.010801841	W	1	0.0010802	0.00074685	0	0	10
52	TCLA.C6R7.B1	1.571	68.90288651	151.9543524	0.0105305358	W	1	0.00070911	0.0010531	0	0	10
53	TCLA.D6R7.B1	0	65.32572003	157.9841622	0.00690456	W	1	0.00069046	0.0010737	0	0	10
54	TCLA.A7R7.B1	0	64.90791146	146.5037667	0.0068824445	W	1	0.00068824	0.001034	0	0	10
60	TCTPH.4L8.B1	0	46.86344413	48.31532845	0.0076024637	W	1	0.0005848	0.00059379	0	0	13
62	TCTPV.4L8.B1	1.571	48.44685423	46.18142755	0.0075469406	W	1	0.0005946	0.00058053	0	0	13
55	TCTPH.4L1.B1	0	158.442326	78.75227172	0.0139788955	W	1	0.0010753	0.0007581	0	0	13
56	TCTPV.4L1.B1	1.571	155.9816119	78.91770004	0.009865622	W	1	0.0010669	0.00075889	0	0	13
