sigx[m]	Betax[m]	Name	tilt2[rad]	Betay[m]	Material	Angle[rad]	Thickness[m]	Halfgap[m]	tilt1[rad]	sigy[m]	Length[m]	ID	nsig
0.00075929	79.00060981	TCL.4L1.B2	0	161.6032042	CU	0	0.025	0.758533232	0	0.001086	1	1	999
0.0010253	144.0540692	TCL.5L1.B2	0	131.9399319	CU	0	0.025	1.024288167	0	0.00098126	1	2	999
0.00086307	102.0719079	TCL.6L1.B2	0	157.0769063	W	0	0.025	0.8622089104	0	0.0010707	1	3	999
0.00058455	46.82260855	TCTPH.4R8.B2	0	48.31636739	W	0	0.025	0.0075991507	0	0.0005938	1	4	13
0.00059435	48.40652713	TCTPV.4R8.B2	0	46.18663087	W	1.57079632	0.025	0.0075473657	0	0.00058057	1	6	13
0.00089034	108.6240333	TDI.4L2.B1.1	0	44.47353869	Cu300K_in_TDI	1.57079632	2e-06	0.0057	0	0.0005697	2.826	5	999
0.00089034	108.6240333	TDI.4L2.B1.1	0	44.47353869	Ti	1.57079632	1e-07	0.0057	0	0.0005697	2.826	5	999
0.00089034	108.6240333	TDI.4L2.B1.1	0	44.47353869	graphite	1.57079632	0.054	0.0057	0	0.0005697	2.826	5	999
0.00089034	108.6240333	TDI.4L2.B1.2	0	44.47353869	Ti_in_TDI	1.57079632	1e-06	0.0057	0	0.0005697	0.6	5	999
0.00089034	108.6240333	TDI.4L2.B1.2	0	44.47353869	Al	1.57079632	0.054	0.0057	0	0.0005697	0.6	5	999
0.00089034	108.6240333	TDI.4L2.B1.3	0	44.47353869	CuCr1Zr	1.57079632	0.054	0.0057	0	0.0005697	0.7	5	999
0.00061719	52.19809315	TCLIA.4L8	0	128.388282	C	1.57079632	0.033	0.9669902255	0	0.00096796	1	7	999
0.0012722	221.7736907	TCLIB.6L8.B2	0	14.92553573	CFC	1.57079632	0.025	0.3297041053	0	0.00033003	1	8	999
0.0010765	158.7855279	TCP.D6R7.B2	0	78.30363057	CFC	1.57079632	0.025	0.0043088334	0	0.00075594	0.6	9	5.7
0.0010478	150.4438354	TCP.C6R7.B2	0	82.80686778	CFC	0	0.025	0.0059724972	0	0.00077737	0.6	10	5.7
0.0010193	142.3789697	TCP.B6R7.B2	0	87.53536548	CFC	2.22529479	0.025	0.0050570673	0	0.00079926	0.6	11	5.7
0.00053912	39.8281675	TCSG.A6R7.B2	0	227.054932	CFC	2.46615023	0.025	0.0060848121	0	0.0012872	1	15	6.7
0.0010812	160.1728625	TCSG.B5R7.B2	0	166.5946498	CFC	2.5062928	0.025	0.0072947017	0	0.0011026	1	17	6.7
0.0011656	186.1815125	TCSG.A5R7.B2	0	145.9981997	CFC	0.70860367	0.025	0.0074442707	0	0.0010322	1	19	6.7
