name	Material	Angle[rad]	halfgap[m]	Length[m]	betax[m]	betay[m]
TCL.5R1.B1	CU	0	0.0249932568073		1	72.09748804	354.7971293
TCTH.4L2.B1	W	0	0.00546397070052	1	47.33067244	47.76522185
TDI.4L2		HBN	1.5708	0.0200382758091		4.1	114.4309508	46.48298079
TCTVB.4L2	W	1.5708	0.00578051056391	1	128.3562635	52.28939167
TCLIA.4R2	C	1.5708	0.0249967781854		1	48.91230278	120.5073478
TCLIB.6R2.B1	CFC	1.5708	0.0249109753616		1	261.1773543	37.90931445
TCP.6L3.B1	CFC	0	0.0041991232495		0.6	131.5241046	144.6956928
TCSG.5L3.B1	CFC	0	0.00353618261239	1	54.31546675	299.4063206
TCSG.4R3.B1	CFC	0	0.00246933463787	1	26.35781682	393.6850365
TCSG.A5R3.B1	CFC	2.98	0.00315852766414	1	36.58805904	341.3431397
TCSG.B5R3.B1	CFC	0.199	0.00357268797709	1	46.50253325	310.056531
TCLA.A5R3.B1	W	1.5708	0.00714319719279	1	144.7744143	174.1627362
TCLA.B5R3.B1	W	0	0.00661594964951	1	153.9439073	166.8872651
TCLA.6R3.B1	W	0	0.00611571540386	1	126.7956095	170.6996236
TCLA.7R3.B1	W	0	0.00441004858398	1	68.32114205	88.2401966
TCTH.4L5.B1	W	0	0.0100829426257		1	582.1224078	228.8718459
TCTVA.4L5.B1	W	1.5708	0.00711682385684	1	583.51094	237.419975
TCL.5R5.B1	CU	0	0.0249950014726		1	72.22623354	355.884733
TCDQA.A4R6.B1	C	0	0.00647498810062	3	495.2539828	165.4590609
TCDQA.B4R6.B1	C	0	0.00647498810062	3	506.3882516	169.7345222
TCSG.4R6.B1	CFC	0	0.00651057924436	1	520.4623145	175.3311767
TCP.D6L7.B1	CFC	1.5708	0.00155780101766	0.6	158.8712382	78.26341077
TCP.C6L7.B1	CFC	0	0.00212107073659	0.6	150.5288044	82.76328618
TCP.B6L7.B1	CFC	2.22	0.00180147834848	0.6	142.4630846	87.48835131
TCSG.A6L7.B1	CFC	2.46	0.00276950875661	1	39.26522588	229.2537092
TCSG.B5L7.B1	CFC	2.5	0.00330279648361	1	163.1461153	163.8588202
TCSG.A5L7.B1	CFC	0.71	0.0033674608663		1	189.392774	143.4699773
TCSG.D4L7.B1	CFC	1.5708	0.00215719347882	1	334.9761627	67.96628766
TCSG.B4L7.B1	CFC	0	0.00308500043029	1	138.3340012	132.2487468
TCSG.A4L7.B1	CFC	2.35	0.00301406302529	1	127.3342958	142.6267806
TCSG.A4R7.B1	CFC	0.808	0.00301850012317	1	117.0313799	153.6298292
TCSG.B5R7.B1	CFC	2.47	0.003508127607		1	124.2954422	263.7084267
TCSG.D5R7.B1	CFC	0.897	0.00349912079654	1	217.2324312	155.6444833
TCSG.E5R7.B1	CFC	2.28	0.00350813605815	1	244.9822705	133.449858
TCSG.6R7.B1	CFC	0.00873	0.00476043829586	1	332.9465045	47.34300495
TCLA.A6R7.B1	W	1.5708	0.00373934242971	1	294.4447635	48.29115048
TCLA.B6R7.B1	W	0	0.00682809420305	1	157.7002739	77.17730103
TCLA.C6R7.B1	W	1.5708	0.00666712305474	1	67.70541641	153.3814188
TCLA.D6R7.B1	W	0	0.00438115893335	1	64.19121775	159.4525147
TCLA.A7R7.B1	W	0	0.00429962078249	1	65.43669755	144.4731849
TCTH.4L8.B1	W	0	0.00544689923212	1	243.7668886	301.9913324
TCTVB.4L8	W	1.5708	0.00575248639609	1	536.5623181	335.1804612
TCTH.4L1.B1	W	0	0.0100935585761		1	582.1222744	228.8714197
TCTVA.4L1.B1	W	1.5708	0.00709909948492	1	583.5108058	237.4195336
