name	Material	Angle[rad]	halfgap[m]	Length[m]	betax[m]	betay[m]
TCTVA.4R1.B2	W	1.5708	0.00622850657959	1	1441.42223	573.0272062
TCTH.4R1.B2	W	0	0.00977073527802	1	1435.741217	542.5102587
TCTVA.4R2.B2	W	1.5708	0.00525227158364	1	215.7788753	234.3416388
TCTH.4R2.B2	W	0	0.00494987704391	1	205.3158002	231.7260041
TCLA.7L3.B2	W	0	0.00407649028626	1	65.86620496	94.37770964
TCLA.6L3.B2	W	0	0.0057312878891		1	132.1132343	166.7368079
TCLA.B5L3.B2	W	0	0.00619381390604	1	149.3159092	170.5015836
TCLA.A5L3.B2	W	1.5708	0.00670132337431	1	140.3140849	177.8781365
TCSG.B5L3.B2	CFC	0.189	0.0032972367021		1	44.59702867	315.3121905
TCSG.A5L3.B2	CFC	2.98	0.00295074819408	1	35.17028982	346.8928555
TCSG.4L3.B2	CFC	0	0.00232016021001	1	26.08123311	396.7098525
TCSG.5R3.B2	CFC	0	0.0033039695039		1	54.90455925	297.8398155
TCP.6R3.B2	CFC	0	0.00393628970481	0.6	131.5238813	144.6934531
TCL.5L5.B2	CU	0	0.0035290420481		1	154.027973	874.3154857
TCTVA.4R5.B2	W	1.5708	0.00620103841002	1	1441.42126	573.0273161
TCTH.4R5.B2	W	0	0.0097517869854		1	1435.740258	542.5103632
TCSG.4L6.B2	CFC	0	0.00465001092079	1	521.7471581	173.0488637
TCDQA.A4L6.B2	C	0	0.00490284363814	3	499.5281301	165.4502127
TCDQA.B4L6.B2	C	0	0.00490284363814	3	510.7769902	169.2330726
TCLA.A7L7.B2	W	0	0.00192080800561	1	65.07886704	145.2899043
TCLA.D6L7.B2	W	0	0.00191895964248	1	65.92141723	156.395936
TCLA.C6L7.B2	W	1.5708	0.00291844980651	1	69.54312774	150.4093283
TCLA.B6L7.B2	W	0	0.00299298574786	1	161.3263942	75.61064729
TCLA.A6L7.B2	W	1.5708	0.00162844878721	1	299.7305521	48.02879577
TCSG.6L7.B2	CFC	0.00873	0.00328815432041	1	338.612135	47.37916487
TCSG.E5L7.B2	CFC	2.28	0.00242299432792	1	237.875462	138.8176236
TCSG.D5L7.B2	CFC	0.897	0.00239684344963	1	210.577186	161.4943754
TCSG.B5L7.B2	CFC	2.47	0.00240516146049	1	119.4464461	271.4868223
TCSG.A4L7.B2	CFC	0.735	0.00207324242841	1	100.6779397	174.3890968
TCSG.A4R7.B2	CFC	2.31	0.00208286882943	1	141.1928065	129.751914
TCSG.B4R7.B2	CFC	0	0.00221194790001	1	153.0634966	120.1551538
TCSG.D4R7.B2	CFC	1.5708	0.00149418489165	1	330.9508321	69.76927635
TCSG.A5R7.B2	CFC	0.71	0.00234399796108	1	182.6305558	148.4207405
TCSG.B5R7.B2	CFC	2.51	0.00228195226009	1	156.9186147	169.2003052
TCSG.A6R7.B2	CFC	2.47	0.00191000396504	1	40.49673886	224.6114687
TCP.B6R7.B2	CFC	2.23	0.00126621798912	0.6	142.4631298	87.48831735
TCP.C6R7.B2	CFC	0	0.00147160028029	0.6	150.5288526	82.76325108
TCP.D6R7.B2	CFC	1.5708	0.00107518095474	0.6	158.8712894	78.26337469
TCLIB.6L8.B2	CFC	1.5708	0.0249533398237		1	262.9365689	12.19293167
TCLIA.4L8	C	1.5708	0.0250077739591		1	333.5870631	522.4465712
TCTVB.4R8	W	1.5708	0.00628826265996	1	536.562823	335.1806214
TDI.4R8		HBN	1.5708	0.0374246269641		4.1	465.1702823	327.1039494
TCTH.4R8.B2	W	0	0.00533476628216	1	238.5609599	301.3990679
TCL.5L1.B2	CU	0	0.00351508411647	1	154.4461745	877.1476539
