name	Material	Angle[rad]	halfgap[m]	Length[m]	betax[m]	betay[m]
TCL.5R1.B1	CU	0	0.0249945608717		1	145.6773225	132.8083453
TCTH.4L2.B1	W	0	0.0249742270545		1	47.10074116	48.09563342
TDI.4L2		HBN	1.5708	0.00387600000000	4.1	114.4308902	46.48295119
TCTVA.4L2.B1	W	1.5708	0.0249830588877		1	48.71619714	45.98565162
TCLIA.4R2	C	1.5708	0.00690131551859	1	51.64710636	126.9061685
TCLIB.6R2.B1	CFC	1.5708	0.00488088326426	1	261.1771298	37.9093409
TCP.6L3.B1	CFC	0	0.00883488635506	0.6	131.5240158	144.6957348
TCSG.5L3.B1	CFC	0	0.00610959351582	1	54.31546591	299.4064894
TCSG.4R3.B1	CFC	0	0.00436125399349	1	26.3577946	393.6851717
TCSG.A5R3.B1	CFC	2.98	0.0070358521986		1	36.58803007	341.3432376
TCSG.B5R3.B1	CFC	0.199	0.00709364186786	1	46.50250294	310.0566095
TCLA.A5R3.B1	W	1.5708	0.0123637634133		1	144.7744053	174.1627362
TCLA.B5R3.B1	W	0	0.0119300544651		1	153.9439015	166.8872613
TCLA.6R3.B1	W	0	0.010421029142		1	126.7956779	170.6994624
TCLA.7R3.B1	W	0	0.00758949192762	1	68.3211169	88.24015826
TCTH.4L5.B1	W	0	0.0143590094929		1	159.334919	79.50102051
TCTVA.4L5.B1	W	1.5708	0.0105781518928		1	156.8732089	79.69743732
TCL.5R5.B1	CU	0	0.025002916182		1	145.2363619	133.1547414
TCDQA.A4R6.B1	C	0	0.014849663781		3	495.2538653	165.4589668
TCDQA.B4R6.B1	C	0	0.014849663781		3	506.3881265	169.7344188
TCSG.4R6.B1	CFC	0	0.0135554695927		1	520.4621798	175.3310617
TCP.D6L7.B1	CFC	1.5708	0.00429117200883	0.6	158.8711756	78.26334232
TCP.C6L7.B1	CFC	0	0.00593575984272	0.6	150.5287475	82.76321672
TCP.B6L7.B1	CFC	2.22	0.00502580614508	0.6	142.4630333	87.48828097
TCSG.A6L7.B1	CFC	2.46	0.00616146192937	1	39.26524273	229.2536498
TCSG.B5L7.B1	CFC	2.5	0.00712544655489	1	163.1461031	163.8588587
TCSG.A5L7.B1	CFC	0.71	0.00725243006423	1	189.3927535	143.4700191
TCSG.D4L7.B1	CFC	1.5708	0.00513373734715	1	334.9760869	67.96633724
TCSG.B4L7.B1	CFC	0	0.00685462258027	1	138.3339216	132.2488147
TCSG.A4L7.B1	CFC	2.35	0.0067889859122		1	127.334219	142.6268455
TCSG.A4R7.B1	CFC	0.808	0.00708846878988	1	117.0313062	153.6298906
TCSG.B5R7.B1	CFC	2.47	0.00842178131718	1	124.2955025	263.7083387
TCSG.D5R7.B1	CFC	0.897	0.00810291346233	1	217.2325582	155.6444061
TCSG.E5R7.B1	CFC	2.28	0.00779679051083	1	244.9824174	133.4497845
TCSG.6R7.B1	CFC	0.00873	0.0102800403641		1	332.9467298	47.34295226
TCLA.A6R7.B1	W	1.5708	0.00650215837215	1	294.4449665	48.29109899
TCLA.B6R7.B1	W	0	0.0107680003061		1	157.7003901	77.1772823
TCLA.C6R7.B1	W	1.5708	0.0117289816132		1	67.70545845	153.3814855
TCLA.D6R7.B1	W	0	0.00623931068531	1	64.19125598	159.4525883
TCLA.A7R7.B1	W	0	0.00647795687417	1	65.4367134	144.4732809
TCTH.4L8.B1	W	0	0.00809194945012	1	47.33066672	47.76527687
TCTVB.4L8	W	1.5708	0.00882895032855	1	128.3561737	52.28936051
TCTH.4L1.B1	W	0	0.0140257935237		1	159.3349161	79.50102372
TCTVA.4L1.B1	W	1.5708	0.0103650300488		1	156.8732054	79.69743978
