ID	name	angle[rad]	betax[m]	betay[m]	halfgap[m]	Material	Length[m]	sigx[m]	sigy[m]	tilt1[rad]	tilt2[rad]	nsig
1	TCL.4R1.B1	0	6241.1	4569.7	0.020533	CU	1	0.0017111	0.0014642	0	0	12
2	TCL.5R1.B1	0	760.14	1861.7	0.007166	CU	1	0.00059717	0.00093455	0	0	12
3	TCL.6R1.B1	0	104.97	1038.4	0.002663	CU	1	0.00022192	0.00069797	0	0	12
5	TCTH.4L2.B1	0	84.461	103.35	0.0059717	W	1	0.00019906	0.00022019	0	0	30
6	TCTVA.4L2.B1	1.571	86.252	102.39	0.006575	W	1	0.00020116	0.00021917	0	0	30
7	TDI.4L2.B1	1.571	143.85	96.231	0.21226	CU	4	0.00025978	0.00021247	0	0	999
8	TCLIA.4R2	1.571	98.19	159.82	0.27355	C	1	0.00021463	0.00027382	0	0	999
9	TCLIB.6R2.B1	1.571	153.31	62.415	0.17095	C	1	0.00026819	0.00017112	0	0	999
10	TCP.6L3.B1	0	131.52	144.69	0.003726	C	0.6	0.0002484	0.00026054	0	0	15
11	TCSG.5L3.B1	0	54.605	298.62	0.002881	C	1	0.00016005	0.00037429	0	0	18
12	TCSG.4R3.B1	0	26.21	395.2	0.001996	C	1	0.00011089	0.00043058	0	0	18
13	TCSG.A5R3.B1	2.981	35.868	344.11	0.0025787	C	1	0.00012972	0.00040179	0	0	18
14	TCSG.B5R3.B1	0.19897	45.538	312.68	0.0029169	C	1	0.00014616	0.000383	0	0	18
15	TCLA.A5R3.B1	1.571	142.53	176.01	0.0057472	W	1	0.00025858	0.00028736	0	0	20
16	TCLA.B5R3.B1	0	151.61	168.69	0.005334	W	1	0.0002667	0.00028131	0	0	20
17	TCLA.6R3.B1	0	129.44	168.71	0.0049284	W	1	0.00024642	0.00028133	0	0	20
18	TCLA.7R3.B1	0	67.422	89.198	0.003557	W	1	0.00017785	0.00020456	0	0	20
19	TCTH.4L5.B1	0	4634.4	6453	0.015482	W	1	0.0014745	0.0017399	0	0	10.5
20	TCTV.4L5.B1	1.571	4703.8	6681.6	0.01859	W	1	0.0014855	0.0017705	0	0	10.5
21	TCL.4R5.B1	0	6241.1	4569.7	0.020533	CU	1	0.0017111	0.0014642	0	0	12
22	TCL.5R5.B1	0	760.14	1861.7	0.007166	CU	1	0.00059717	0.00093455	0	0	12
23	TCL.6R5.B1	0	114.65	1054.4	0.002783	CU	1	0.00023192	0.00070333	0	0	12
25	TCDQA.A4R6.B	0	794.3	130.81	0.005494	C	3	0.00061044	0.00024773	0	0	9
26	TCDQA.B4R6.B	0	811.7	133.57	0.0055538	C	3	0.00061709	0.00025032	0	0	9
27	TCDQA.C4R6.B	0	829.32	136.54	0.0056138	C	3	0.00062375	0.0002531	0	0	9
28	TCSG.4R6.B1	0	848.99	140.07	0.0053644	C	1	0.00063111	0.00025635	0	0	8.5
29	TCP.D6L7.B1	1.571	158.87	78.263	0.0010922	C	0.6	0.000273	0.00019161	0	0	5.7
30	TCP.C6L7.B1	0	150.52	82.762	0.0015147	C	0.6	0.00026574	0.00019705	0	0	5.7
31	TCP.B6L7.B1	2.215	142.46	87.487	0.001279	C	0.6	0.00025852	0.00020259	0	0	5.7
32	TCSG.A6L7.B1	2.4627	39.872	226.92	0.0017778	C	1	0.00013677	0.00032628	0	0	7.7
33	TCSG.B5L7.B1	2.5046	160.01	166.51	0.0021248	C	1	0.00027399	0.0002795	0	0	7.7
34	TCSG.A5L7.B1	0.71035	185.99	145.93	0.0021679	C	1	0.00029539	0.00026165	0	0	7.7
35	TCSG.D4L7.B1	1.5708	332.96	68.861	0.001384	C	1	0.00039523	0.00017974	0	0	7.7
