ID	name	angle[rad]	betax[m]	betay[m]	halfgap[m]	Material	Length[m]	sigx[m]	sigy[m]	tilt1[rad]	tilt2[rad]	nsig
63	TCL.4R1.B1	0.	473.3693246615384	1325.8290066153847	0.005868468565003003	CU	1.	0.0004890376724201867	0.0008184417625820798	0.	0.	12.
64	TCL.5R1.B1	0.	145.7839195153846	764.464762176923	0.0032567133774421813	CU	1.	0.00027139732689574126	0.0006214708108189796	0.	0.	12.
65	TCL.6R1.B1	0.	14.637322513846154	255.4786179	0.01719904360244439	W	1.	0.00008599553246848618	0.0003592721460333164	0.	0.	200.
57	TCTH.4L2.B1	0.	77.61284027	90.58225135	0.002970308297	W	1.	0.00019802	0.00021393	0.	0.	15.
61	TCTVA.4L2.B1	1.571	79.69353993	89.59345662	0.0031913386	W	1.	0.00020066	0.00021276	0.	0.	15.
75	TDI.4L2.B1	1.571	138.5803166	87.79821985	0.0549346438511	CU	4.	0.0002646	0.00021061	0.	0.	999.
69	TCLIA.4R2	1.571	91.01236777	155.1657146	0.0279664271829	C	1.	0.00021443	0.00027999	0.	0.	999.
70	TCLIB.6R2.B1	1.571	176.5893858	74.45345601	0.0249205916696	CFC	1.	0.00029869	0.00019395	0.	0.	999.
1	TCP.6L3.B1	0.	131.5240293	144.6956981	0.003866671635	CFC	0.6	0.00025778	0.00027038	0.	0.	15.
2	TCSG.5L3.B1	0.	54.60750177	298.6333492	0.002989800019	CFC	1.	0.0001661	0.00038843	0.	0.	18.
4	TCSG.4R3.B1	0.	26.21106878	395.1679915	0.002071373191	CFC	1.	0.00011508	0.00044682	0.	0.	18.
6	TCSG.A5R3.B1	2.98102	35.8680159	344.0831665	0.002676019834	CFC	1.	0.00013462	0.00041694	0.	0.	18.
8	TCSG.B5R3.B1	0.1989675347	45.53759486	312.6518492	0.003026959081	CFC	1.	0.00015168	0.00039744	0.	0.	18.
46	TCLA.A5R3.B1	1.571	142.5240132	175.9987727	0.005963871735	W	1.	0.00026834	0.00029819	0.	0.	20.
47	TCLA.B5R3.B1	0.	151.6089869	168.6733963	0.005535233543	W	1.	0.00027676	0.00029192	0.	0.	20.
48	TCLA.6R3.B1	0.	129.4249051	168.702796	0.005114255303	W	1.	0.00025571	0.00029195	0.	0.	20.
49	TCLA.7R3.B1	0.	66.23357033	96.90131497	0.003658580032	W	1.	0.00018293	0.00022126	0.	0.	20.
58	TCTH.4L5.B1	0.	1332.605472	509.5883391076923	0.00951814389777894	W	1.	0.0008205298588810676	0.0005074074006540125	0.	0.	11.6
59	TCTVA.4L5.B1	1.571	1337.7826685384616	538.0153265384615	0.006047819310238866	W	1.	0.000822121227426111	0.0005213617710750009	0.	0.	11.6
66	TCL.4R5.B1	0.	473.36932483076924	1325.829003230769	0.005868468565922868	CU	1.	0.0004890376724201867	0.0008184417625820798	0.	0.	12.
