Rl Ql fl Rxd Qxd fxd Ryd Qyd fyd
2.98e+07 6.66e+09 4.0048e+08 5.98e+12 6.66e+09 4.0048e+08 5.98e+12 6.66e+09 4.0048e+08
1.7e+05 4640 5.7385e+08 0 4640 5.7385e+08 0 4640 5.7385e+08
19.606 1090 5.868e+08 920 1090 5.868e+08 920 1090 5.868e+08
366 1060 5.8769e+08 1230 1060 5.8769e+08 1230 1060 5.8769e+08
25800 1270 5.9491e+08 36 1270 5.9491e+08 36 1270 5.9491e+08
0.00435 1880 6.8518e+08 4.67e+05 1880 6.8518e+08 4.67e+05 1880 6.8518e+08
4260 683 7.0121e+08 0 683 7.0121e+08 0 683 7.0121e+08
73.4 3840 7.3039e+08 18300 3840 7.3039e+08 18300 3840 7.3039e+08
0.000972 14.8 7.3085e+08 8.91 14.8 7.3085e+08 8.91 14.8 7.3085e+08
1.98 14.5 7.3166e+08 1.64 14.5 7.3166e+08 1.64 14.5 7.3166e+08
0.99454 14.4 7.4723e+08 2150 14.4 7.4723e+08 2150 14.4 7.4723e+08
0.00394 19300 8.547e+08 9590 19300 8.547e+08 9590 19300 8.547e+08
0.108 8600 9.2695e+08 1.38e+06 8600 9.2695e+08 1.38e+06 8600 9.2695e+08
70100 7200 9.5908e+08 5300 7200 9.5908e+08 5300 7200 9.5908e+08
180 14200 1.0391e+09 3210 14200 1.0391e+09 3210 14200 1.0391e+09
16.1 134 1.0494e+09 645 134 1.0494e+09 645 134 1.0494e+09
0.116 89.2 1.0607e+09 288 89.2 1.0607e+09 288 89.2 1.0607e+09
19.2 93 1.0638e+09 46.5 93 1.0638e+09 46.5 93 1.0638e+09
0.967 270 1.0864e+09 733 270 1.0864e+09 733 270 1.0864e+09
0.000173 1640 1.1423e+09 277 1640 1.1423e+09 277 1640 1.1423e+09
235 8150 1.1725e+09 6600 8150 1.1725e+09 6600 8150 1.1725e+09
0.542 15600 1.2163e+09 84300 15600 1.2163e+09 84300 15600 1.2163e+09
52700 4060 1.2608e+09 46600 4060 1.2608e+09 46600 4060 1.2608e+09
20100 6540 1.2956e+09 3.73e+05 6540 1.2956e+09 3.73e+05 6540 1.2956e+09
0.00178 2250 1.3844e+09 1230 2250 1.3844e+09 1230 2250 1.3844e+09
241 944 1.4379e+09 37400 944 1.4379e+09 37400 944 1.4379e+09
7.3e-06 4800 1.4547e+09 539 4800 1.4547e+09 539 4800 1.4547e+09
1.35 10800 1.4999e+09 2.67e+05 10800 1.4999e+09 2.67e+05 10800 1.4999e+09
0.0987 1.23 1.5024e+09 11.7 1.23 1.5024e+09 11.7 1.23 1.5024e+09
75 120 1.5127e+09 213 120 1.5127e+09 213 120 1.5127e+09
0.632 112 1.5159e+09 265 112 1.5159e+09 265 112 1.5159e+09
18.3 287 1.5528e+09 10500 287 1.5528e+09 10500 287 1.5528e+09
21200 2730 1.5852e+09 13100 2730 1.5852e+09 13100 2730 1.5852e+09
1440 1640 1.6186e+09 759 1640 1.6186e+09 759 1640 1.6186e+09
0.766 2260 1.6206e+09 14400 2260 1.6206e+09 14400 2260 1.6206e+09
6650 36900 1.6405e+09 69800 36900 1.6405e+09 69800 36900 1.6405e+09
0.454 24200 1.66e+09 3.14e+05 24200 1.66e+09 3.14e+05 24200 1.66e+09
413 3.12e+05 1.6646e+09 31300 3.12e+05 1.6646e+09 31300 3.12e+05 1.6646e+09
19.6 35500 1.6648e+09 17300 35500 1.6648e+09 17300 35500 1.6648e+09
3310 6.41e+05 1.6649e+09 18200 6.41e+05 1.6649e+09 18200 6.41e+05 1.6649e+09
2.63 2820 1.6663e+09 4500 2820 1.6663e+09 4500 2820 1.6663e+09
21600 6070 1.6665e+09 6350 6070 1.6665e+09 6350 6070 1.6665e+09
922 1650 1.6851e+09 352 1650 1.6851e+09 352 1650 1.6851e+09
0.155 4940 1.7425e+09 42500 4940 1.7425e+09 42500 4940 1.7425e+09
424 5800 1.7462e+09 2.57e+05 5800 1.7462e+09 2.57e+05 5800 1.7462e+09
0.591 27900 1.7498e+09 70500 27900 1.7498e+09 70500 27900 1.7498e+09
59800 15100 1.7893e+09 97900 15100 1.7893e+09 97900 15100 1.7893e+09
126 67500 1.8326e+09 25700 67500 1.8326e+09 25700 67500 1.8326e+09
776 9990 1.8409e+09 3.34e+05 9990 1.8409e+09 3.34e+05 9990 1.8409e+09
2.39 26400 1.8561e+09 4.17e+05 26400 1.8561e+09 4.17e+05 26400 1.8561e+09
14600 88200 1.8567e+09 1.56e+06 88200 1.8567e+09 1.56e+06 88200 1.8567e+09
16000 5890 1.8952e+09 21100 5890 1.8952e+09 21100 5890 1.8952e+09
1.15 1.02e+05 1.9215e+09 1.85e+06 1.02e+05 1.9215e+09 1.85e+06 1.02e+05 1.9215e+09
0.0399 4530 1.9492e+09 85900 4530 1.9492e+09 85900 4530 1.9492e+09
31700 7890 1.9548e+09 34800 7890 1.9548e+09 34800 7890 1.9548e+09
3.43 54400 1.9623e+09 1.15e+05 54400 1.9623e+09 1.15e+05 54400 1.9623e+09
