Rl	Ql	fl	Rxd	Qxd	fxd	Ryd	Qyd	fyd
9.65E+07	2.15E+10	400437896.77518	5.01E+08	2.15E+10	400437896.77518	3.83E+13	2.15E+10	400437896.77518
4.43E+04	2.38E+03	567067119.74646	1.30E+02	2.38E+03	567067119.74646	2454.06	2.38E+03	567067119.74646
5.44E-02	1.27E+03	573777365.69098	3.84E+03	1.27E+03	573777365.69098	0.18	1.27E+03	573777365.69098
7.8701608182	1262.19	573980777.12824	7.33E+00	1262.19	573980777.12824	5.08E+01	1262.19	573980777.12824
8.99E+04	2323.67	588181066.28069	1.51E+02	2323.67	588181066.28069	1.91E+02	2323.67	588181066.28069
2.098579897	1064.20	675927006.65783	3.16E+04	1064.20	675927006.65783	1.45E+00	1064.20	675927006.65783
2.2859709356	19.70	676323560.2355	1.22E+01	19.70	676323560.2355	5.85E-01	19.70	676323560.2355
0.2356879169	19.72	676636056.38605	8.12E-01	19.72	676636056.38605	5.43E+00	19.72	676636056.38605
9.97E-05	19.43	685740341.3513	9.07E+03	19.43	685740341.3513	9.81E-02	19.43	685740341.3513
5828.3886202314	928.83	701861475.75621	1.66E+03	928.83	701861475.75621	1.45E+03	928.83	701861475.75621
522.7055031752	7267.28	746621549.41102	3.04E+01	7267.28	746621549.41102	2.23E+06	7267.28	746621549.41102
2709.7704582515	28890.17	794967785.46638	3.99E+05	28890.17	794967785.46638	5.77E+03	28890.17	794967785.46638
2.75E-06	0.79	854554732.37897	7.62E-01	0.79	854554732.37897	8.60E-03	0.79	854554732.37897
0.2009580028	11662.21	926750308.31008	3.71E+06	11662.21	926750308.31008	9.53E+00	11662.21	926750308.31008
9.08E+04	9338.18	958779604.28171	2.78E+02	9338.18	958779604.28171	1.55E+04	9338.18	958779604.28171
1253.224449495	14582.14	1024336236.6101	1.43E+02	14582.14	1024336236.6101	5.27E+04	14582.14	1024336236.6101
0.060232363	160.88	1027849240.827	8.86E+02	160.88	1027849240.827	4.91E-01	160.88	1027849240.827
21.1343943387	116.33	1029013250.4328	2.41E+00	116.33	1029013250.4328	5.25E+01	116.33	1029013250.4328
0.7336179694	111.12	1038115892.2633	1.15E-01	111.12	1038115892.2633	1.46E+01	111.12	1038115892.2633
