Rl	Ql	fl	Rxd	Qxd	fxd	Ryd	Qyd	fyd
3.44E+08	7.91E+10	400470110.17895	1.88E+08	7.91E+10	400470110.17895	1.42E+14	7.91E+10	400470110.17895
7.62E+04	3.07E+03	570233736.50831	129.4060778329	3.07E+03	570233736.50831	2810.0306964542	3.07E+03	570233736.50831
71.3147541729	1.30E+03	578370458.81206	1971.871885812	1.30E+03	578370458.81206	12.1351405799	1.30E+03	578370458.81206
356.3274017369	1.28E+03	579313995.88803	2178.4101702551	1.28E+03	579313995.88803	32.5337226556	1.28E+03	579313995.88803
6.30E+04	1.96E+03	589985657.13763	29.8204258371	1.96E+03	589985657.13763	40.2914767072	1.96E+03	589985657.13763
5.8865016877	1.09E+03	681003391.28663	1.27E+05	1.09E+03	681003391.28663	0.8533438513	1.09E+03	681003391.28663
2.0945959111	2.11E+01	681277615.25963	35.8359122884	2.11E+01	681277615.25963	5.3261065274	2.11E+01	681277615.25963
1.6535463233	2.11E+01	682165012.87907	88.8393487422	2.11E+01	682165012.87907	3.01E+00	2.11E+01	682165012.87907
0.0029761244	2.12E+01	686523743.6343	8010.7241730717	2.12E+01	686523743.6343	6.45E-03	2.12E+01	686523743.6343
4150.4559934674	6.67E+02	702036602.74708	942.0618779304	6.67E+02	702036602.74708	1136.9277430154	6.67E+02	702036602.74708
472.269168188	6.52E+03	746669914.80019	29.8433135251	6.52E+03	746669914.80019	2.01E+06	6.52E+03	746669914.80019
0.0229937554	3.00E+04	854629077.42403	3.16E+04	3.00E+04	854629077.42403	94.1359712088	3.00E+04	854629077.42403
0.1609255326	1.29E+04	926806700.28946	4.12E+06	1.29E+04	926806700.28946	14.3881703013	1.29E+04	926806700.28946
1.01E+05	1.05E+04	958880157.68076	317.632627232	1.05E+04	958880157.68076	1.47E+04	1.05E+04	958880157.68076
1401.0920471812	1.67E+04	1027104569.4486	441.9519276806	1.67E+04	1027104569.4486	6.34E+04	1.67E+04	1027104569.4486
1.9572776585	1.80E+02	1030871985.0351	875.7749370806	1.80E+02	1030871985.0351	10.0842766505	1.80E+02	1030871985.0351
19.8508994339	1.24E+02	1031979336.1755	40.258239997	1.24E+02	1031979336.1755	52.2849844831	1.24E+02	1031979336.1755
0.740301288	1.19E+02	1039605894.4378	0.0549299394	1.19E+02	1039605894.4378	15.225182352	1.19E+02	1039605894.4378
15.3528367928	3.50E+02	1072943383.2089	0.7534156328	3.50E+02	1072943383.2089	3975.5239514386	3.50E+02	1072943383.2089
1.2687497371	2.11E+03	1102635578.338	4466.6011673784	2.11E+03	1102635578.338	5.5289520486	2.11E+03	1102635578.338
772.3247087366	1.03E+04	1105651908.1825	156.6311545108	1.03E+04	1105651908.1825	4636.1397427111	1.03E+04	1105651908.1825
330.2389984482	1.95E+04	1109146556.0002	46.8501847719	1.95E+04	1109146556.0002	6686.4088255932	1.95E+04	1109146556.0002
0.0118118891	4.84E+03	1143351941.1952	859.3366654085	4.84E+03	1143351941.1952	4.9085202235	4.84E+03	1143351941.1952
216.6617557105	7.93E+03	1172596268.4042	13.1117960738	7.93E+03	1172596268.4042	1.28E+04	7.93E+03	1172596268.4042
4.96E-05	1.67E+00	1216269618.6822	18.088438722	1.67E+00	1216269618.6822	0.0005701336	1.67E+00	1216269618.6822
21.5892457699	1.68E+00	1260586821.0262	0.500265804	1.68E+00	1260586821.0262	37.7169911617	1.68E+00	1260586821.0262
5.2671868749	1.68E+00	1295419837.0951	0.0667596247	1.68E+00	1295419837.0951	190.3979653003	1.68E+00	1295419837.0951
0.0061488815	2.61E+03	1383758265.5684	3053.2997901844	2.61E+03	1383758265.5684	4.6089415814	2.61E+03	1383758265.5684
297.4562484827	1.03E+03	1436297269.5486	7.8081549737	1.03E+03	1436297269.5486	8.00E+04	1.03E+03	1436297269.5486
0.0080193316	5.09E+03	1454416024.0633	1255.9825601164	5.09E+03	1454416024.0633	6.1299518375	5.09E+03	1454416024.0633
19.9084836889	2.24E+02	1496783566.9947	4.6933267351	2.24E+02	1496783566.9947	3692.1573434704	2.24E+02	1496783566.9947
0.5978601202	4.87E+03	1499752948.1203	2.39E+05	4.87E+03	1499752948.1203	6.4395778168	4.87E+03	1499752948.1203
109.2204649417	1.90E+02	1506370454.2325	8.1493448542	1.90E+02	1506370454.2325	860.9467159004	1.90E+02	1506370454.2325
0.7235899751	1.83E+02	1509512728.6064	965.9035231515	1.83E+02	1509512728.6064	4.57E+00	1.83E+02	1509512728.6064
37.3918697256	5.52E+02	1551915268.4199	5.5049715097	5.52E+02	1551915268.4199	4.27E+04	5.52E+02	1551915268.4199
3.90E+04	5.01E+03	1585253920.3767	2328.7833577137	5.01E+03	1585253920.3767	4.52E+04	5.01E+03	1585253920.3767
2244.0128348732	2.70E+03	1618747887.7335	227.0382343309	2.70E+03	1618747887.7335	2.19E+03	2.70E+03	1618747887.7335
21.7196927218	3.61E+03	1620720809.3831	4.27E+04	3.61E+03	1620720809.3831	14.684890667	3.61E+03	1620720809.3831
2.83E+04	1.61E+05	1638443667.2573	2363.2751652964	1.61E+05	1638443667.2573	5.88E+05	1.61E+05	1638443667.2573
2.5476388954	3.16E+04	1659783624.7646	8.73E+05	3.16E+04	1659783624.7646	2.05E+01	3.16E+04	1659783624.7646
864.149118357	2.33E+06	1662005162.1498	1.25E+05	2.33E+06	1662005162.1498	3228.0096130007	2.33E+06	1662005162.1498
1995.3096074716	9.85E+05	1662340524.0386	4.11E+04	9.85E+05	1662340524.0386	1699.8887899044	9.85E+05	1662340524.0386
2.0447441123	9.70E+04	1663084969.0564	1.04E+05	9.70E+04	1663084969.0564	1.42E+01	9.70E+04	1663084969.0564
101.5760107916	5.42E+03	1665360861.7242	1.35E+04	5.42E+03	1665360861.7242	37.9743572012	5.42E+03	1665360861.7242
3.77E+04	1.06E+04	1666131424.2796	320.4045493295	1.06E+04	1666131424.2796	1.94E+04	1.06E+04	1666131424.2796
1746.0522603789	2.99E+03	1684374705.8068	185.692414783	2.99E+03	1684374705.8068	1.55E+03	2.99E+03	1684374705.8068
0.2361140241	8.55E+03	1742536313.3161	1.49E+05	8.55E+03	1742536313.3161	25.0898503155	8.55E+03	1742536313.3161
