Rl Ql fl Rxd Qxd fxd Ryd Qyd fyd
0 1 4.00E+08 906.8730638667 1 4.00E+08 906.8730638667 1 4.00E+08
0 1.18469E+03 6.3287444E+08 296131.132432158 1.18469E+03 6.3287444E+08 296131.132432158 1.18469E+03 6.3287444E+08
9633.5467239198 6.18586E+02 7.1414405E+08 0 6.18586E+02 7.1414405E+08 0 6.18586E+02 7.1414405E+08
56176.4689944683 5.53482E+02 7.5708231E+08 0 5.53482E+02 7.5708231E+08 0 5.53482E+02 7.5708231E+08
0 4.39377E+03 7.7763292E+08 61568.7033986138 4.39377E+03 7.7763292E+08 61568.7033986138 4.39377E+03 7.7763292E+08
3895.8170968159 2.69295E+02 8.7136717E+08 0 2.69295E+02 8.7136717E+08 0 2.69295E+02 8.7136717E+08
0 6.70219E+02 9.0514683E+08 35722.6611246597 6.70219E+02 9.0514683E+08 35722.6611246597 6.70219E+02 9.0514683E+08
0 3.83182E+02 9.4379992E+08 25276.8324124192 3.83182E+02 9.4379992E+08 25276.8324124192 3.83182E+02 9.4379992E+08
59.3678706986 6.62629E+01 9.8852704E+08 0 6.62629E+01 9.8852704E+08 0 6.62629E+01 9.8852704E+08
115.6793518802 1.04595E+02 1.0277460E+09 0 1.04595E+02 1.0277460E+09 0 1.04595E+02 1.0277460E+09
0 6.21372E+01 1.1006611E+09 4091.3623947981 6.21372E+01 1.1006611E+09 4091.3623947981 6.21372E+01 1.1006611E+09
0 3.79072E+02 1.2285175E+09 31301.2728161821 3.79072E+02 1.2285175E+09 31301.2728161821 3.79072E+02 1.2285175E+09
59.26334916 4.50859E+01 1.2440926E+09 0 4.50859E+01 1.2440926E+09 0 4.50859E+01 1.2440926E+09
0 1.38501E+02 1.2519221E+09 12699.4960523235 1.38501E+02 1.2519221E+09 12699.4960523235 1.38501E+02 1.2519221E+09
0 2.61092E+03 1.2658215E+09 264054.618533264 2.61092E+03 1.2658215E+09 264054.618533264 2.61092E+03 1.2658215E+09
0 4.48135E+02 1.2773514E+09 34053.178187549 4.48135E+02 1.2773514E+09 34053.178187549 4.48135E+02 1.2773514E+09
0 8.89797E+01 1.3592556E+09 1206.3271344228 8.89797E+01 1.3592556E+09 1206.3271344228 8.89797E+01 1.3592556E+09
0 3.78827E+03 1.3663020E+09 19332.2387057832 3.78827E+03 1.3663020E+09 19332.2387057832 3.78827E+03 1.3663020E+09
0 1.25320E+06 1.3715416E+09 0 1.25320E+06 1.3715416E+09 0 1.25320E+06 1.3715416E+09
0 3.56591E+01 1.3997308E+09 410.9174113743 3.56591E+01 1.3997308E+09 410.9174113743 3.56591E+01 1.3997308E+09
71.1943754862 4.49258E+01 1.4592073E+09 0 4.49258E+01 1.4592073E+09 0 4.49258E+01 1.4592073E+09
0 1.18925E+03 1.4648394E+09 25000.8207019205 1.18925E+03 1.4648394E+09 25000.8207019205 1.18925E+03 1.4648394E+09
0 2.65003E+03 1.4738057E+09 32220.3413307647 2.65003E+03 1.4738057E+09 32220.3413307647 2.65003E+03 1.4738057E+09
0 1.04444E+03 1.4793741E+09 113741.8622317 1.04444E+03 1.4793741E+09 113741.8622317 1.04444E+03 1.4793741E+09
0 2.01598E+04 1.6158894E+09 803639.556333086 2.01598E+04 1.6158894E+09 803639.556333086 2.01598E+04 1.6158894E+09
0 1.63936E+02 1.6201565E+09 1944.3659401331 1.63936E+02 1.6201565E+09 1944.3659401331 1.63936E+02 1.6201565E+09
0 1.89129E+02 1.7060977E+09 2176.4120572235 1.89129E+02 1.7060977E+09 2176.4120572235 1.89129E+02 1.7060977E+09
173.0933804691 8.63505E+01 1.7188498E+09 0 8.63505E+01 1.7188498E+09 0 8.63505E+01 1.7188498E+09
0 4.05503E+03 1.7230791E+09 28296.3336844503 4.05503E+03 1.7230791E+09 28296.3336844503 4.05503E+03 1.7230791E+09
0 4.46145E+03 1.7275805E+09 50749.0268400526 4.46145E+03 1.7275805E+09 50749.0268400526 4.46145E+03 1.7275805E+09
0 2.14934E+02 1.7643016E+09 5999.7493541867 2.14934E+02 1.7643016E+09 5999.7493541867 2.14934E+02 1.7643016E+09
0 6.60328E+02 1.7680333E+09 22178.9678603645 6.60328E+02 1.7680333E+09 22178.9678603645 6.60328E+02 1.7680333E+09
0 5.91652E+01 1.7822440E+09 1609.2095547153 5.91652E+01 1.7822440E+09 1609.2095547153 5.91652E+01 1.7822440E+09
185.8981065329 1.95863E+02 1.8142925E+09 0 1.95863E+02 1.8142925E+09 0 1.95863E+02 1.8142925E+09
0 7.91614E+01 1.8211978E+09 170.840999436 7.91614E+01 1.8211978E+09 170.840999436 7.91614E+01 1.8211978E+09
0 1.20502E+04 1.8386793E+09 31630.2468903729 1.20502E+04 1.8386793E+09 31630.2468903729 1.20502E+04 1.8386793E+09
693.0324130424 8.70032E+02 1.8417085E+09 0 8.70032E+02 1.8417085E+09 0 8.70032E+02 1.8417085E+09
30.8623736156 1.86519E+02 1.8497052E+09 0 1.86519E+02 1.8497052E+09 0 1.86519E+02 1.8497052E+09
25.9670043934 8.94529E+02 1.8528841E+09 0 8.94529E+02 1.8528841E+09 0 8.94529E+02 1.8528841E+09
0 3.06914E+03 1.8753510E+09 3250.3113248452 3.06914E+03 1.8753510E+09 3250.3113248452 3.06914E+03 1.8753510E+09
299.5146444239 3.97398E+03 1.8953508E+09 0 3.97398E+03 1.8953508E+09 0 3.97398E+03 1.8953508E+09
0 7.26858E+02 1.9129467E+09 1560.2913422825 7.26858E+02 1.9129467E+09 1560.2913422825 7.26858E+02 1.9129467E+09
0 1.67330E+03 1.9222633E+09 4915.6169609732 1.67330E+03 1.9222633E+09 4915.6169609732 1.67330E+03 1.9222633E+09
0 6.83546E+02 1.9275422E+09 4663.9894556794 6.83546E+02 1.9275422E+09 4663.9894556794 6.83546E+02 1.9275422E+09
1175.1208189609 5.51328E+03 1.9468279E+09 0 5.51328E+03 1.9468279E+09 0 5.51328E+03 1.9468279E+09
