Rl	Ql	fl	Rxd	Qxd	fxd	Ryd	Qyd	fyd
0	1	400000000	906.8730638667	1	400000000	906.8730638667	1	400000000
0	0	633803210	167015	1392.32	633803210	167015	1392.32	633803210
0	0	783077260	4996.0125	1609.31	783077260	4996.0125	1609.31	783077260
0	0	909343350	9701.8875	291.847	909343350	9701.8875	291.847	909343350
0	0	945741160	15684.875	877.146	945741160	15684.875	877.146	945741160
0	0	1103323900	5791.425	151.382	1103323900	5791.425	151.382	1103323900
0	0	1139287200	1664.2375	989.486	1139287200	1664.2375	989.486	1139287200
0	0	1218154600	462.3275	83.6359	1218154600	462.3275	83.6359	1218154600
0	0	1237361600	5077	174.656	1237361600	5077	174.656	1237361600
0	0	1266896100	7873.175	233.68	1266896100	7873.175	233.68	1266896100
0	0	1267906500	147318.75	2608.99	1267906500	147318.75	2608.99	1267906500
0	0	1287501000	2286.275	157.361	1287501000	2286.275	157.361	1287501000
0	0	1366252600	27.28875	42.7492	1366252600	27.28875	42.7492	1366252600
0	0	1373579900	4483.825	5702.55	1373579900	4483.825	5702.55	1373579900
0	0	1375088300	13362.5	101001	1375088300	13362.5	101001	1375088300
0	0	1377255300	26.505625	22.2407	1377255300	26.505625	22.2407	1377255300
0	0	1474682500	108862.5	7608.37	1474682500	108862.5	7608.37	1474682500
0	0	1480980500	76469.25	1556.9	1480980500	76469.25	1556.9	1480980500
0	0	1494472100	299.8175	358.922	1494472100	299.8175	358.922	1494472100
0	0	1614245100	1750.725	162.429	1614245100	1750.725	162.429	1614245100
0	0	1620180000	9624.8625	582.658	1620180000	9624.8625	582.658	1620180000
0	0	1622338000	652.51375	112.274	1622338000	652.51375	112.274	1622338000
0	0	1724448900	16349.875	7445.79	1724448900	16349.875	7445.79	1724448900
0	0	1729477000	146716.25	40183	1729477000	146716.25	40183	1729477000
1694.67	1020.56	1762344300	888.115	1020.56	1762344300	888.115	1020.56	1762344300
0	0	1769830400	209973.75	11173.9	1769830400	209973.75	11173.9	1769830400
3.452625	111.831	1833617800	259.33	111.831	1833617800	259.33	111.831	1833617800
0	0	1842409200	10195.3375	21623.6	1842409200	10195.3375	21623.6	1842409200
0	0	1877521200	74477.25	133333	1877521200	74477.25	133333	1877521200
0	0	1908593600	9214.1125	2761.56	1908593600	9214.1125	2761.56	1908593600
0	0	1929385700	15809.5	3601.71	1929385700	15809.5	3601.71	1929385700
0	0	1959659700	1052737.5	236921	1959659700	1052737.5	236921	1959659700
0	0	1959852800	192665	55611.5	1959852800	192665	55611.5	1959852800
0	0	1972449100	28989.75	18311.8	1972449100	28989.75	18311.8	1972449100
0	0	1990338400	822576.25	65458.6	1990338400	822576.25	65458.6	1990338400
0	0	1990617900	45678.875	12324.2	1990617900	45678.875	12324.2	1990617900
0	0	2002792600	1042465	109541	2002792600	1042465	109541	2002792600
0	0	2016987800	14664.25	4275.18	2016987800	14664.25	4275.18	2016987800
0	0	2024577700	4183.0875	801.037	2024577700	4183.0875	801.037	2024577700
0	0	2031908900	176.39375	242.526	2031908900	176.39375	242.526	2031908900
0	0	2041960200	212967.5	204220	2041960200	212967.5	204220	2041960200
0	0	2103813600	13855.25	110105	2103813600	13855.25	110105	2103813600
