Rl	Ql	fl	Rxd	Qxd	fxd	Ryd	Qyd	fyd
0	1	400000000	906.8730638667	1	400000000	906.8730638667	1	400000000
0	0	633803210	668060	1392.32	633803210	0	0	633803210
2988.285	174.082	715830620	0	0	715830620	0	0	715830620
28763.45	293.283	760938720	0	0	760938720	0	0	760938720
0	0	783077260	0	0	783077260	19984.05	1609.31	783077260
2263.32	154.843	875116150	0	0	875116150	0	0	875116150
0	0	909343350	0	0	909343350	38807.55	291.847	909343350
0	0	945741160	62739.5	877.146	945741160	0	0	945741160
31.2862	36.9803	1000452700	0	0	1000452700	0	0	1000452700
0.568535	4.21634	1057758900	0	0	1057758900	0	0	1057758900
108.7735	133.344	1084939000	0	0	1084939000	0	0	1084939000
0	0	1103323900	0	0	1103323900	23165.7	151.382	1103323900
0	0	1139287200	6656.95	989.486	1139287200	0	0	1139287200
0.568535	4.21634	1057758900	0	0	1057758900	0	0	1057758900
0	0	1218154600	1849.31	83.6359	1218154600	0	0	1218154600
36.71845	37.6601	1233615300	0	0	1233615300	0	0	1233615300
0	0	1237361600	20308	174.656	1237361600	0	0	1237361600
0	0	1266896100	31492.7	233.68	1266896100	0	0	1266896100
0	0	1267906500	0	0	1267906500	589275	2608.99	1267906500
0	0	1287501000	9145.1	157.361	1287501000	0	0	1287501000
0	0	1366252600	0	0	1366252600	109.155	42.7492	1366252600
0	0	1373579900	17935.3	5702.55	1373579900	0	0	1373579900
0	0	1375088300	53450	101001	1375088300	0	0	1375088300
0	0	1377255300	0	0	1377255300	106.0225	22.2407	1377255300
79.5685	45.3007	1452168600	0	0	1452168600	0	0	1452168600
0	0	1474682500	435450	7608.37	1474682500	0	0	1474682500
0	0	1480980500	0	0	1480980500	305877	1556.9	1480980500
0	0	1494472100	1199.27	358.922	1494472100	0	0	1494472100
0	0	1614245100	7002.9	162.429	1614245100	0	0	1614245100
0	0	1620180000	38499.45	582.658	1620180000	0	0	1620180000
0	0	1622338000	0	0	1622338000	2610.055	112.274	1622338000
6427.55	8663.79	1640782300	0	0	1640782300	0	0	1640782300
46.0246	41.8391	1719332200	0	0	1719332200	0	0	1719332200
0	0	1724448900	65399.5	7445.79	1724448900	0	0	1724448900
0	0	1729477000	0	0	1729477000	586865	40183	1729477000
1694.67	1020.56	1762344300	0	0	1762344300	3552.46	1020.56	1762344300
0	0	1769830400	839895	11173.9	1769830400	0	0	1769830400
9.158	62.2443	1779120600	0	0	1779120600	0	0	1779120600
8833.3	5708.64	1815667000	0	0	1815667000	0	0	1815667000
3.52153	66.8523	1826477500	0	0	1826477500	0	0	1826477500
3.452625	111.831	1833617800	0	0	1833617800	1037.32	111.831	1833617800
0	0	1842409200	40781.35	21623.6	1842409200	0	0	1842409200
10280.55	13804.4	1845400200	0	0	1845400200	0	0	1845400200
23.6575	158.609	1853733400	0	0	1853733400	0	0	1853733400
169.013	4390.2	1857365700	0	0	1857365700	0	0	1857365700
0	0	1877521200	297909	133333	1877521200	0	0	1877521200
101.071	2676.29	1901906400	0	0	1901906400	0	0	1901906400
0	0	1908593600	0	0	1908593600	36856.45	2761.56	1908593600
0	0	1929385700	0	0	1929385700	63238	3601.71	1929385700
6616.7	43199.8	1950376000	0	0	1950376000	0	0	1950376000
0	0	1959659700	4210950	236921	1959659700	0	0	1959659700
0	0	1959852800	770660	55611.5	1959852800	0	0	1959852800
0	0	1972449100	0	0	1972449100	115959	18311.8	1972449100
1072.24	212.344	1981214000	0	0	1981214000	0	0	1981214000
0	0	1990338400	3290305	65458.6	1990338400	0	0	1990338400
0	0	1990617900	182715.5	12324.2	1990617900	0	0	1990617900
0	0	2002792600	4169860	109541	2002792600	0	0	2002792600
0	0	2016987800	0	0	2016987800	58657	4275.18	2016987800
0	0	2024577700	0	0	2024577700	16732.35	801.037	2024577700
0	0	2031908900	0	0	2031908900	705.575	242.526	2031908900
0	0	2041960200	851870	204220	2041960200	0	0	2041960200
14.77135	42.9851	2052084100	0	0	2052084100	0	0	2052084100
92.8805	398.918	2057728600	0	0	2057728600	0	0	2057728600
0	0	2103813600	55421	110105	2103813600	0	0	2103813600
