Rl	Ql	fl	Rxd	Qxd	fxd	Ryd	Qyd	fyd
0	1	0.4	906.8730638667	1	0.4	906.8730638667	1	0.4
0	0	0.63380321	668060	1392.32	0.63380321	0	0	0.63380321
2988.285	174.082	0.71583062	0	0	0.71583062	0	0	0.71583062
28763.45	293.283	0.76093872	0	0	0.76093872	0	0	0.76093872
0	0	0.78307726	0	0	0.78307726	19984.05	1609.31	0.78307726
2263.32	154.843	0.87511615	0	0	0.87511615	0	0	0.87511615
0	0	0.90934335	0	0	0.90934335	38807.55	291.847	0.90934335
0	0	0.94574116	62739.5	877.146	0.94574116	0	0	0.94574116
31.2862	36.9803	1.0004527	0	0	1.0004527	0	0	1.0004527
0.568535	4.21634	1.0577589	0	0	1.0577589	0	0	1.0577589
108.7735	133.344	1.084939	0	0	1.084939	0	0	1.084939
0	0	1.1033239	0	0	1.1033239	23165.7	151.382	1.1033239
0	0	1.1392872	6656.95	989.486	1.1392872	0	0	1.1392872
0.568535	4.21634	1.0577589	0	0	1.0577589	0	0	1.0577589
0	0	1.2181546	1849.31	83.6359	1.2181546	0	0	1.2181546
36.71845	37.6601	1.2336153	0	0	1.2336153	0	0	1.2336153
0	0	1.2373616	20308	174.656	1.2373616	0	0	1.2373616
0	0	1.2668961	31492.7	233.68	1.2668961	0	0	1.2668961
0	0	1.2679065	0	0	1.2679065	589275	2608.99	1.2679065
0	0	1.287501	9145.1	157.361	1.287501	0	0	1.287501
0	0	1.3662526	0	0	1.3662526	109.155	42.7492	1.3662526
0	0	1.3735799	17935.3	5702.55	1.3735799	0	0	1.3735799
0	0	1.3750883	53450	101001	1.3750883	0	0	1.3750883
0	0	1.3772553	0	0	1.3772553	106.0225	22.2407	1.3772553
79.5685	45.3007	1.4521686	0	0	1.4521686	0	0	1.4521686
0	0	1.4746825	435450	7608.37	1.4746825	0	0	1.4746825
0	0	1.4809805	0	0	1.4809805	305877	1556.9	1.4809805
0	0	1.4944721	1199.27	358.922	1.4944721	0	0	1.4944721
0	0	1.6142451	7002.9	162.429	1.6142451	0	0	1.6142451
0	0	1.62018	38499.45	582.658	1.62018	0	0	1.62018
0	0	1.622338	0	0	1.622338	2610.055	112.274	1.622338
6427.55	8663.79	1.6407823	0	0	1.6407823	0	0	1.6407823
46.0246	41.8391	1.7193322	0	0	1.7193322	0	0	1.7193322
0	0	1.7244489	65399.5	7445.79	1.7244489	0	0	1.7244489
0	0	1.729477	0	0	1.729477	586865	40183	1.729477
1694.67	1020.56	1.7623443	0	0	1.7623443	3552.46	1020.56	1.7623443
0	0	1.7698304	839895	11173.9	1.7698304	0	0	1.7698304
9.158	62.2443	1.7791206	0	0	1.7791206	0	0	1.7791206
8833.3	5708.64	1.815667	0	0	1.815667	0	0	1.815667
3.52153	66.8523	1.8264775	0	0	1.8264775	0	0	1.8264775
3.452625	111.831	1.8336178	0	0	1.8336178	1037.32	111.831	1.8336178
0	0	1.8424092	40781.35	21623.6	1.8424092	0	0	1.8424092
10280.55	13804.4	1.8454002	0	0	1.8454002	0	0	1.8454002
23.6575	158.609	1.8537334	0	0	1.8537334	0	0	1.8537334
169.013	4390.2	1.8573657	0	0	1.8573657	0	0	1.8573657
0	0	1.8775212	297909	133333	1.8775212	0	0	1.8775212
101.071	2676.29	1.9019064	0	0	1.9019064	0	0	1.9019064
0	0	1.9085936	0	0	1.9085936	36856.45	2761.56	1.9085936
0	0	1.9293857	0	0	1.9293857	63238	3601.71	1.9293857
6616.7	43199.8	1.950376	0	0	1.950376	0	0	1.950376
0	0	1.9596597	4210950	236921	1.9596597	0	0	1.9596597
0	0	1.9598528	770660	55611.5	1.9598528	0	0	1.9598528
0	0	1.9724491	0	0	1.9724491	115959	18311.8	1.9724491
1072.24	212.344	1.981214	0	0	1.981214	0	0	1.981214
0	0	1.9903384	3290305	65458.6	1.9903384	0	0	1.9903384
0	0	1.9906179	182715.5	12324.2	1.9906179	0	0	1.9906179
0	0	2.0027926	4169860	109541	2.0027926	0	0	2.0027926
0	0	2.0169878	0	0	2.0169878	58657	4275.18	2.0169878
0	0	2.0245777	0	0	2.0245777	16732.35	801.037	2.0245777
0	0	2.0319089	0	0	2.0319089	705.575	242.526	2.0319089
0	0	2.0419602	851870	204220	2.0419602	0	0	2.0419602
14.77135	42.9851	2.0520841	0	0	2.0520841	0	0	2.0520841
92.8805	398.918	2.0577286	0	0	2.0577286	0	0	2.0577286
0	0	2.1038136	55421	110105	2.1038136	0	0	2.1038136
