VMZAW	R	52-80	145.1
VMGDA	R	63-80	150.99
VMARC260	R	63-66	151.91
VMACC300	R	63-80	173.343
VMACB	R	63-80	174.538
VMACB	R	63-80	175.123
VMAND290	R	100-80	191.707
VMAOC260	R	100-63	192.052
VMACC300	R	63-80	200.956
VMAND290	R	100-80	223.607
VMAOC260	R	100-63	223.952
VMACC300	R	63-80	232.856
VMACD	R	63-80	255.754
VMACC300	R	63-80	3075.8954
VMAND290	R	100-80	3083.8204
VMAOC260	R	100-63	3084.1654
VMAOD260	R	100-63	3096.4744
VMANC290	R	100-80	3096.8494
VMZAE	R	57-80	3117.5624
VMZAF	R	57-80	3139.8124
VMAND290	R	100-80	3154.8574
VMAOC260	R	100-63	3155.2024
VMAOD260	R	100-63	3168.4664
VMANC290	R	100-80	3168.8414
VMACF	R	63-80	3170.2824
VMADF	R	63-80	3186.0384
VMAND290	R	100-80	3187.4694
VMAOC260	R	100-63	3187.8144
VMARD260	R	63-66	3212.2074
VMTQD	R	63-80	3448.1534
VMTBB	R	63-80	3451.8534
VMARD260	R	63-66	3452.7734
VMACB	R	63-80	3478.1264
VMACC	R	63-80	3493.2964
VMACD290	R	63-80	3507.2804
VMACC	R	63-80	3567.5494
VMACD290	R	63-80	3580.5784
VMACC300	R	63-80	3588.6254
VMACD	R	63-80	6406.3918
VMACC	R	63-80	6457.2208
VMACD290	R	63-80	6470.2498
VMHSB	R	44-80	6471.2198
VMJSB299	R	44-80	6483.9243
VMJSB	R	44-80	6497.8478
VMHSA	R	44-80	6510.4528
VMHTB	R	30-80	6512.3628
VMANC	R	100-80	6549.0358
VMAND	R	100-80	6549.4208
VMANB	R	100-80	6586.8158
VMANB	R	100-80	6587.2008
VMJNC280	R	100-80	6614.2058
VMJOD280	R	100-63	6614.5508
VMANC	R	100-80	6662.1908
VMAND	R	100-80	6662.5758
VMJOC280	R	100-63	6715.1708
VMJND280	R	100-80	6715.5158
VMANC	R	100-80	6780.3208
VMAND	R	100-80	6780.7058
VMZBB	R	44-63	6819.0368
VMJSB	R	44-80	6831.7418
VMJSB299	R	44-80	6845.6648
VMZAY	R	63-59	6858.2698
VMACD290	R	63-80	6871.8498
VMACC300	R	63-80	6922.8498
VMACD	R	63-80	9736.9662
VMANC	R	100-80	9765.8662
VMAND260	R	100-80	9766.2112
VMANC280	R	100-80	9794.7012
VMAND280	R	100-80	9795.0662
VMACC	R	63-80	9823.9192
VMACD290	R	63-80	9831.8932
VMACC	R	63-80	9860.9192
VMAWC260	R	100-66	9879.6472
VMAND290	R	100-80	9880.0222
VMAND	R	100-80	9915.2052
VMAND	R	100-80	9915.5902
VMANC	R	100-80	9938.7502
VMAWD260	R	100-66	9939.0952
VMAWC260	R	100-66	9952.6422
VMAND	R	100-80	9953.0172
VMADF	R	63-80	9964.0292
VMAOA	R	100-63	9964.5142
VMAOA	R	100-63	9972.9142
VMADE	R	63-80	9973.4992
VMANA	R	100-80	9980.3312
VMANA	R	100-80	9980.6162
VMAXA	R	80-66	9981.3947
VMAOA	R	100-63	9988.2447
VMAOA	R	100-63	10005.4927
VMAOB	R	100-63	10012.4432
VMANB	R	100-80	10012.8282
VMADF	R	63-80	10020.9632
VMAOA	R	100-63	10021.4482
VMAOA	R	100-63	10029.8482
VMADE	R	63-80	10030.4332
VMANC	R	100-80	10041.4352
VMAWD260	R	100-66	10041.7702
VMAWC260	R	100-66	10055.3272
VMAND	R	100-80	10055.7122
VMANC	R	100-80	10078.2472
VMAND260	R	100-80	10078.5522
VMANC290	R	100-80	10114.4302
VMAWD260	R	100-66	10114.7752
VMACD290	R	63-80	10133.5332
VMACC	R	63-80	10163.1592
VMACD290	R	63-80	10171.1332
VMACC300	R	63-80	10256.9962
VMACD	R	63-80	13073.4876
VMACC300	R	63-80	13096.8856
VMACD290	R	63-80	13106.1246
VMACC300	R	63-80	13128.7856
VMACD290	R	63-80	13138.0246
VMACC300	R	63-80	13156.3986
VMARC260	R	63-66	13177.7916
VMZAX	R	52-100	13474.3416
VMPNB	R	80-100	13474.5416
VMACA	R	63-80	13480.4316
VMARC260	R	63-66	13481.3516
VMACC300	R	63-80	13502.7846
VMACB	R	63-80	13503.9796
VMACB	R	63-80	13504.5646
VMACD	R	63-80	13521.7656
VMAOD260	R	100-63	13530.6296
VMANC290	R	100-80	13531.0046
VMACD	R	63-80	13553.6656
VMAOD260	R	100-63	13562.5296
VMANC290	R	100-80	13562.9046
VMACD	R	63-80	13585.1956
VMACC300	R	63-80	16405.737
VMAND290	R	100-80	16450.06
VMAOC260	R	100-63	16450.405
VMAOD260	R	100-63	16457.704
VMANC290	R	100-80	16458.079
VMAND290	R	100-80	16486.46
VMAOC260	R	100-63	16486.805
VMAOD260	R	100-63	16494.059
VMANC290	R	100-80	16494.434
VMTAC	R	52-110	16509.812
VMTAC	R	52-110	16520.712
VMAND290	R	100-80	16830.06
VMAOC260	R	100-63	16830.405
VMADA	R	63-80	16865.722
VMACD290	R	63-80	16866.46
VMAOD260	R	100-63	16874.059
VMANC290	R	100-80	16874.434
VMACD	R	63-80	16928.187
VMACC300	R	63-80	19735.8334
VMAND290	R	100-80	19759.5184
VMAOC260	R	100-63	19759.8634
VMAOD260	R	100-63	19772.1724
VMAOC290	R	100-63	19772.5474
VMHSA	R	44-80	19777.7144
VMJSB	R	44-80	19786.1844
VMJSB	R	44-80	19817.2389
VMHSB	R	44-80	19821.4739
VMJSO	R	44-80	19822.1739
VMHSB	R	44-80	19826.4089
VMJND280	R	100-80	19841.7754
VMJNC280	R	100-80	19842.1404
VMJND280	R	100-80	19878.2814
VMJNC280	R	100-80	19878.6464
VMJOD280	R	100-63	19907.8064
VMJNC280	R	100-80	19908.1514
VMAND	R	100-80	19952.6774
VMANC	R	100-80	19953.0624
VMAND	R	100-80	20035.5624
VMANC	R	100-80	20035.9474
VMJOD280	R	100-63	20080.7134
VMJNC280	R	100-80	20081.0784
VMJNC280	R	100-80	20110.2384
VMJND280	R	100-80	20110.6034
VMJND280	R	100-80	20146.4644
VMJNC280	R	100-80	20146.8294
VMHSB	R	44-80	20162.2159
VMJSB	R	44-80	20171.3859
VMJSB	R	44-80	20202.4404
VMHSA	R	44-80	20210.8104
VMAND290	R	100-80	20216.7274
VMAOC260	R	100-63	20217.0674
VMAOD260	R	100-63	20229.3814
VMANC290	R	100-80	20229.7564
VMACD	R	63-80	20252.2914
VMACC300	R	63-80	23070.0578
VMAND290	R	100-80	23078.3458
VMAOC260	R	100-63	23078.6908
VMAOD260	R	100-63	23090.9998
VMANC290	R	100-80	23091.3748
VMAND290	R	100-80	23137.8078
VMAOC260	R	100-63	23138.1528
VMAOD260	R	100-63	23151.4168
VMANC290	R	100-80	23151.7918
VMAND290	R	100-80	23170.4118
VMAOC260	R	100-63	23170.7568
VMARD260	R	63-66	23195.1498
VMGDA200	R	63-80	23198.2098
VMGDB	R	63-80	23200.9948
VMANC295	R	100-80	23435.3758
VMARD260	R	63-66	23435.7208
VMACD290	R	63-80	23460.4838
VMACE	R	63-80	23461.2838
VMACF	R	63-80	23477.6808
VMACC	R	63-80	23479.1188
VMACD290	R	63-80	23493.1028
VMANE	R	100-80	23500.4028
VMACC	R	63-80	23552.3468
VMACD290	R	63-80	23565.3758
VMACC300	R	63-80	23582.7878
VMACD	R	63-80	26402.9292
VMACC	R	63-80	26425.7102
VMACD	R	63-80	26434.9592
VMACC	R	63-80	26457.6102
VMACD	R	63-80	26466.8592
VMACC300	R	63-80	26485.8402
VMARC260	R	63-66	26507.2332
