ID	MTF PART ID	DCUM RING START	START FROM IP	DCUM RING END	END FROM IP	S START SECOND LOCATION	S END SECOND LOCATION	TYPE	FUNCTIONAL POSITION NAME	NAME SECOND LOCATION	EXPERT NAME	OPTIC NAME	AT/VAC NAME	AT/ACR NAME	CIVIL WORK	LINE	HALF CELL	SIDE	IP	U START	U END	V START	V END	A	B	C	BEAM	FAMILY	FAMILY SECOND LOCATION	PHASE START	PHASE END	REFERENCE PLANE	CONNECTION SIDE	RADIATION ZONING TAG	VERSION	NOTE
807725		21.225	21.225	21.443	21.443			VMTBD	VMTBD.1R1.X		VMTBD.213.1R1.X		VMTBD.213.1R1.X		UX15	LHC				0	0	0	0	0	0	0	IE	X		1	2	START		RED	STUDY	LS1
1966146		21.8	21.8	21.916	21.916			VMDQB116	VMDQB.A1R1.X		VMDQB.219.1R1.X		VMDQB.219.1R1.X		UX15	LHC				0	0	0	0	0	0	180	IE	X		1	2	START		RED	STUDY	
1053523		58.457	58.457	58.717	58.717			VMAND260	VMAND.4R1.X		VMAND.6.4R1.X		VMAND.6.4R1.X		UJ17	LHC				0	0	0	0	0	0	180	IE	X		1	2	START		RED	STUDY	
1053515		58.802	58.802	59.102	59.102			VMANC	VMANC.4R1.X		VMANC.10.4R1.X		VMANC.10.4R1.X		UJ17	LHC				0	0	0	0	0	0	0	IE	X		1	2	START		RED	STUDY	
383538		63.218	63.218	63.568	63.568			VMCKB	VMCKB.A4R1.X		VMCKB.54.4R1.X		VMCKB.54.4R1.X		UJ17	LHC				0	0	0	0	0	0	180	IE	X		1	2	START		RED	STUDY	(RF transition with NEG)
1066762		67.484	67.484	67.834	67.834			VMCKG	VMCKG.A4R1.X		VMCKG.97.4R1.X		VMCKG.97.4R1.X		UJ17	LHC				0	0	0	0	0	0	180	IE	X		1	2	START		RED	STUDY	
383540		71.75	71.75	72.1	72.1			VMCKB	VMCKB.B4R1.X		VMCKB.140.4R1.X		VMCKB.140.4R1.X		UJ17	LHC				0	0	0	0	0	0	180	IE	X		1	2	START		RED	STUDY	(RF transition with NEG)
1066764		76.016	76.016	76.366	76.366			VMCKG	VMCKG.B4R1.X		VMCKG.182.4R1.X		VMCKG.182.4R1.X		UJ17	LHC				0	0	0	0	0	0	180	IE	X		1	2	START		RED	STUDY	
383542		80.282	80.282	80.632	80.632			VMCKB	VMCKB.C4R1.X		VMCKB.225.4R1.X		VMCKB.225.4R1.X		UJ17	LHC				0	0	0	0	0	0	180	IE	X		1	2	START		RED	STUDY	(RF transition with NEG)
279365		84.548	84.548	84.898	84.898			VMCKB	VMCKB.D4R1.X		VMCKB.268.4R1.X		VMCKB.268.4R1.X		RI171	LHC				0	0	0	0	0	0	180	IE	X		1	2	START		RED	STUDY	(RF transition with NEG)
279367		89	89	89.4	89.4			VMBGA	VMBGA.A4R1.X		VMBGA.312.4R1.X		VMBGA.312.4R1.X		RI171	LHC				0	0	0	0	0	0	180	IE	X		1	2	START		RED	STUDY	(RF transition with NEG)
1318227		95.3	95.3	95.7	95.7			VMBGG	VMBGG.A4R1.X		VMBGG.375.4R1.X		VMBGG.375.4R1.X		RI171	LHC				0	0	0	0	0	0	180	IE	X		1	2	START		RED	STUDY	
279371		101.6	101.6	102	102			VMBGA	VMBGA.B4R1.X		VMBGA.438.4R1.X		VMBGA.438.4R1.X		RI171	LHC				0	0	0	0	0	0	180	IE	X		1	2	START		RED	STUDY	(RF transition with NEG)
1956375		107.9	107.9	108.3	108.3			VMBGG	VMBGG.D4R1.X		VMBGG.501.4R1.X		VMBGG.501.4R1.X		RI171	LHC				0	0	0	0	0	180	180	IE	X		1	2	START		RED	STUDY	
279375		114.2	114.2	114.6	114.6			VMBGA	VMBGA.C4R1.X		VMBGA.564.4R1.X		VMBGA.564.4R1.X		RI171	LHC				0	0	0	0	0	0	180	IE	X		1	2	START		RED	STUDY	(RF transition with NEG)
964360		120.5	120.5	120.9	120.9			VMBGG	VMBGG.C4R1.X		VMBGG.627.4R1.X		VMBGG.627.4R1.X		RI171	LHC				0	0	0	0	0	0	180	IE	X		1	2	START		RED	STUDY	
279379		126.8	126.8	127.2	127.2			VMBGA	VMBGA.D4R1.X		VMBGA.690.4R1.X		VMBGA.690.4R1.X		RI171	LHC				0	0	0	0	0	0	180	IE	X		1	2	START		RED	STUDY	(RF transition with NEG)
1956403		133.1	133.1	133.5	133.5			VMBGG	VMBGG.E4R1.X		VMBGG.753.4R1.X		VMBGG.753.4R1.X		RI171	LHC				0	0	0	0	0	180	180	IE	X		1	2	START		RED	STUDY	
279384		139.4	139.4	139.825	139.825			VMEGB	VMEGB.4R1.X		VMEGB.816.4R1.X		VMEGB.816.4R1.X		RI171	LHC				0	0	0	0	0	0	180	IE	X		1	2	START		RED	STUDY	(RF transition with NEG)
1526781		144.72	144.72	145.1	145.1			VMZAW	VMZAW.4R1.R		VMZAW.869.4R1.R		VMZAW.869.4R1.R		RI171	LHC				0.082	0.082	0	0	0	0	-0.065	I	R		1	2	START		RED	STUDY	
