        Frequency / GHz                Y140mm/imaginary
----------------------------------------------------------------------
                       0                      -11.574627
           0.00051195721                      -11.450188
            0.0010239144                      -11.080677
            0.0015358716                      -10.477376
            0.0020478289                      -9.6586571
            0.0025597861                      -8.6493525
            0.0030717433                      -7.4799054
            0.0035837005                       -6.185331
            0.0040956577                      -4.8040286
            0.0046076149                      -3.3764845
            0.0051195721                      -1.9439161
            0.0056315293                     -0.54690362
            0.0061434866                      0.77594129
            0.0066554438                       1.9892213
             0.007167401                       3.0618715
            0.0076793582                         3.96811
            0.0081913154                       4.6881902
            0.0087032726                        5.208928
            0.0092152298                       5.5239915
            0.0097271871                       5.6339426
             0.010239144                       5.5460353
             0.010751101                       5.2737822
             0.011263059                       4.8363069
             0.011775016                       4.2575119
             0.012286973                       3.5650959
              0.01279893                       2.7894576
             0.013310888                       1.9625315
             0.013822845                       1.1165982
             0.014334802                      0.28311468
             0.014846759                     -0.50839274
             0.015358716                      -1.2313318
             0.015870674                      -1.8629104
             0.016382631                      -2.3848346
             0.016894588                      -2.7838174
             0.017406545                      -3.0518834
             0.017918502                      -3.1864624
              0.01843046                       -3.190275
             0.018942417                      -3.0710188
             0.019454374                      -2.8408739
             0.019966331                      -2.5158509
             0.020478289                      -2.1150116
             0.020990246                      -1.6595955
             0.021502203                      -1.1720909
              0.02201416                     -0.67528607
             0.022526117                     -0.19134092
             0.023038075                      0.25908556
             0.023550032                      0.65761907
             0.024061989                      0.98883561
             0.024573946                       1.2407859
             0.025085903                       1.4053612
             0.025597861                       1.4784906
             0.026109818                       1.4601662
             0.026621775                       1.3543005
             0.027133732                       1.1684257
              0.02764569                      0.91325281
             0.028157647                      0.60211192
             0.028669604                      0.25030043
             0.029181561                     -0.12563146
             0.029693518                     -0.50862638
             0.030205476                     -0.88186461
             0.030717433                       -1.229477
              0.03122939                       -1.537197
             0.031741347                       -1.792926
             0.032253304                        -1.98719
             0.032765262                      -2.1134727
             0.033277219                      -2.1684114
             0.033789176                       -2.151854
             0.034301133                      -2.0667758
             0.034813091                      -1.9190646
             0.035325048                      -1.7171857
             0.035837005                       -1.471745
             0.036348962                      -1.1949701
