 sc Dstrippipe Lconnect Lpipe Lstrip M Rbeam Rbpm Rconn Riso1 Rpipe Rstrip Strip WStrip Xcurved Xstraight alfa angle beam_charge beam_sigma modes tap transStrip xbeam ybeam  Freq[GHz] Imp_Real[Ohm] Imp_Imag[Ohm]
 1 2.9 6.38 200 120 1 1.1 4 0.55 3.5 34.4 29.02 4.38 1 3.09 6.2 11.6 15 1.7e-008 50 1 21.021491482805 12.25 0 10 0 0 -7.9514337134529
 1 2.9 6.38 200 120 1 1.1 4 0.55 3.5 34.4 29.02 4.38 1 3.09 6.2 11.6 15 1.7e-008 50 1 21.021491482805 12.25 0 10 0.002047828853979 -0.097472809548879 -7.9290955508608
 1 2.9 6.38 200 120 1 1.1 4 0.55 3.5 34.4 29.02 4.38 1 3.09 6.2 11.6 15 1.7e-008 50 1 21.021491482805 12.25 0 10 0.0040956577079579 -0.16713343684099 -7.8724116641248
 1 2.9 6.38 200 120 1 1.1 4 0.55 3.5 34.4 29.02 4.38 1 3.09 6.2 11.6 15 1.7e-008 50 1 21.021491482805 12.25 0 10 0.0061434865619369 -0.19489493983646 -7.8069975146515
 1 2.9 6.38 200 120 1 1.1 4 0.55 3.5 34.4 29.02 4.38 1 3.09 6.2 11.6 15 1.7e-008 50 1 21.021491482805 12.25 0 10 0.0081913154159158 -0.18675127696537 -7.7606024147165
 1 2.9 6.38 200 120 1 1.1 4 0.55 3.5 34.4 29.02 4.38 1 3.09 6.2 11.6 15 1.7e-008 50 1 21.021491482805 12.25 0 10 0.010239144269895 -0.16455438632773 -7.7494018031506
 1 2.9 6.38 200 120 1 1.1 4 0.55 3.5 34.4 29.02 4.38 1 3.09 6.2 11.6 15 1.7e-008 50 1 21.021491482805 12.25 0 10 0.012286973123874 -0.15389637222244 -7.7710587394403
 1 2.9 6.38 200 120 1 1.1 4 0.55 3.5 34.4 29.02 4.38 1 3.09 6.2 11.6 15 1.7e-008 50 1 21.021491482805 12.25 0 10 0.014334801977853 -0.17099986283789 -7.8078755945036
 1 2.9 6.38 200 120 1 1.1 4 0.55 3.5 34.4 29.02 4.38 1 3.09 6.2 11.6 15 1.7e-008 50 1 21.021491482805 12.25 0 10 0.016382630831832 -0.21570317067996 -7.8376460045715
 1 2.9 6.38 200 120 1 1.1 4 0.55 3.5 34.4 29.02 4.38 1 3.09 6.2 11.6 15 1.7e-008 50 1 21.021491482805 12.25 0 10 0.018430459685811 -0.27382186577777 -7.8457277592137
