name 	 betax 	 betay 	 length
BS_50A	8.64625e+01	9.12011e+01	2.19920348e+04
BS_50L	1.84068e+02	2.09185e+02	1.67234600e+02
BS_53V	6.97511e+02	6.97511e+02	3.15260000e+01
BS_53H	6.97548e+02	6.97547e+02	3.15260000e+01
BS_63V	7.10455e+02	7.13738e+02	2.84219500e+02
BS_63H	1.49278e+03	1.49278e+03	9.49760000e+01
BS_69	4.47634e+02	4.72642e+02	1.30644500e+02
BS_74	8.37356e+02	8.37355e+02	6.46100000e+01
MBW	1.38964e+02	1.36304e+02	7.06000000e+01
MQW_V	1.92239e+02	2.10153e+02	7.45920000e+01
MQW_H	1.92239e+02	2.10153e+02	7.45920000e+01
Warm_Pipe	3.38039e+02	3.53340e+02	3.59225980e+03
taperBS53_BS63	1.58194e+03	1.58194e+03	1.20000000e-01
taperBS63_BS74	2.63716e+03	2.63717e+03	3.08000000e-01
taperBS74_warm	2.56944e+03	2.56944e+03	1.40000000e-01
BPM61CW	7.69205e+02	7.69204e+02	1.20000000e+00
BPM61strip	1.88259e+03	1.83644e+03	1.00000000e+00
BPM80strip	2.27557e+03	2.27090e+03	1.00000000e+00
RF	1.64166e+02	2.68082e+02	8.76000000e+00
CMS	3.70317e+02	3.70317e+02	1.86000000e+01
ALICE	1.01554e+02	1.01554e+02	8.60000000e+00
LHCb	1.01555e+02	1.01554e+02	8.60000000e+00
