NAME 	 BETAX 	 BETAY
TCTVA.4R1.B2 	 1441.42223 	 573.0272062
TCTH.4R1.B2 	 1435.741217 	 542.5102587
TCTVA.4R2.B2 	 215.7788753 	 234.3416388
TCTH.4R2.B2 	 205.3158002 	 231.7260041
TCLA.7L3.B2 	 65.86620496 	 94.37770964
TCLA.6L3.B2 	 132.1132343 	 166.7368079
TCLA.B5L3.B2 	 149.3159092 	 170.5015836
TCLA.A5L3.B2 	 140.3140849 	 177.8781365
TCSG.B5L3.B2 	 44.59702867 	 315.3121905
TCSG.A5L3.B2 	 35.17028982 	 346.8928555
TCSG.4L3.B2 	 26.08123311 	 396.7098525
TCSG.5R3.B2 	 54.90455925 	 297.8398155
TCP.6R3.B2 	 131.5238813 	 144.6934531
TCL.5L5.B2 	 154.027973 	 874.3154857
TCTVA.4R5.B2 	 1441.42126 	 573.0273161
TCTH.4R5.B2 	 1435.740258 	 542.5103632
TCSG.4L6.B2 	 521.7471581 	 173.0488637
TCDQA.B4L6.B2 	 510.7769902 	 169.2330726
TCDQA.A4L6.B2 	 499.5281301 	 165.4502127
TCLA.A7L7.B2 	 65.07886704 	 145.2899043
TCLA.D6L7.B2 	 65.92141723 	 156.395936
TCLA.C6L7.B2 	 69.54312774 	 150.4093283
TCLA.B6L7.B2 	 161.3263942 	 75.61064729
TCLA.A6L7.B2 	 299.7305521 	 48.02879577
TCSG.6L7.B2 	 338.612135 	 47.37916487
TCSG.E5L7.B2 	 237.875462 	 138.8176236
TCSG.D5L7.B2 	 210.577186 	 161.4943754
TCSG.B5L7.B2 	 119.4464461 	 271.4868223
TCSG.A4L7.B2 	 100.6779397 	 174.3890968
TCSG.A4R7.B2 	 141.1928065 	 129.751914
TCSG.B4R7.B2 	 153.0634966 	 120.1551538
TCSG.D4R7.B2 	 330.9508321 	 69.76927635
TCSG.A5R7.B2 	 182.6305558 	 148.4207405
TCSG.B5R7.B2 	 156.9186147 	 169.2003052
TCSG.A6R7.B2 	 40.49673886 	 224.6114687
TCP.B6R7.B2 	 142.4631298 	 87.48831735
TCP.C6R7.B2 	 150.5288526 	 82.76325108
TCP.D6R7.B2 	 158.8712894 	 78.26337469
TCLIB.6L8.B2 	 262.9365689 	 12.19293167
TCLIA.4L8 	 333.5870631 	 522.4465712
TCTVB.4R8 	 536.562823 	 335.1806214
TDI.4R8.B2 	 465.1702823 	 327.1039494
TCTH.4R8.B2 	 238.5609599 	 301.3990679
TCL.5L1.B2 	 154.4461745 	 877.1476539
