NAME 	 BETAX 	 BETAY
TCL.5R1.B1 	 145.6773225 	 132.8083453
TCTH.4L2.B1 	 47.10074116 	 48.09563342
TCTVA.4L2.B1 	 48.71619714 	 45.98565162
TDI.4L2.B1 	 114.4308902 	 46.48295119
TCLIA.4R2 	 51.64710636 	 126.9061685
TCLIB.6R2.B1 	 261.1771298 	 37.9093409
TCP.6L3.B1 	 131.5240158 	 144.6957348
TCSG.5L3.B1 	 54.31546591 	 299.4064894
TCSG.4R3.B1 	 26.3577946 	 393.6851717
TCSG.A5R3.B1 	 36.58803007 	 341.3432376
TCSG.B5R3.B1 	 46.50250294 	 310.0566095
TCLA.A5R3.B1 	 144.7744053 	 174.1627362
TCLA.B5R3.B1 	 153.9439015 	 166.8872613
TCLA.6R3.B1 	 126.7956779 	 170.6994624
TCLA.7R3.B1 	 68.3211169 	 88.24015826
TCTH.4L5.B1 	 159.334919 	 79.50102051
TCTVA.4L5.B1 	 156.8732089 	 79.69743732
TCL.5R5.B1 	 145.2363619 	 133.1547414
TCDQA.A4R6.B1 	 495.2538653 	 165.4589668
TCDQA.B4R6.B1 	 506.3881265 	 169.7344188
TCSG.4R6.B1 	 520.4621798 	 175.3310617
TCP.D6L7.B1 	 158.8711756 	 78.26334232
TCP.C6L7.B1 	 150.5287475 	 82.76321672
TCP.B6L7.B1 	 142.4630333 	 87.48828097
TCSG.A6L7.B1 	 39.26524273 	 229.2536498
TCSG.B5L7.B1 	 163.1461031 	 163.8588587
TCSG.A5L7.B1 	 189.3927535 	 143.4700191
TCSG.D4L7.B1 	 334.9760869 	 67.96633724
TCSG.B4L7.B1 	 138.3339216 	 132.2488147
TCSG.A4L7.B1 	 127.334219 	 142.6268455
TCSG.A4R7.B1 	 117.0313062 	 153.6298906
TCSG.B5R7.B1 	 124.2955025 	 263.7083387
TCSG.D5R7.B1 	 217.2325582 	 155.6444061
TCSG.E5R7.B1 	 244.9824174 	 133.4497845
TCSG.6R7.B1 	 332.9467298 	 47.34295226
TCLA.A6R7.B1 	 294.4449665 	 48.29109899
TCLA.B6R7.B1 	 157.7003901 	 77.1772823
TCLA.C6R7.B1 	 67.70545845 	 153.3814855
TCLA.D6R7.B1 	 64.19125598 	 159.4525883
TCLA.A7R7.B1 	 65.4367134 	 144.4732809
TCTH.4L8.B1 	 47.33066672 	 47.76527687
TCTVB.4L8 	 128.3561737 	 52.28936051
TCTH.4L1.B1 	 159.3349161 	 79.50102372
TCTVA.4L1.B1 	 156.8732054 	 79.69743978
