NAME 	 BETAX 	 BETAY
TCTVA.4R1.B2 	 1571.933418 	 624.7417554
TCTH.4R1.B2 	 1565.710947 	 591.4348395
TCTVA.4R2.B2 	 79.10937155 	 89.60106981
TCTH.4R2.B2 	 77.0617095 	 90.61071627
TCLA.7L3.B2 	 65.86619515 	 94.37771219
TCLA.6L3.B2 	 132.113243 	 166.7368208
TCLA.B5L3.B2 	 149.3159541 	 170.5015862
TCLA.A5L3.B2 	 140.3141281 	 177.8781388
TCSG.B5L3.B2 	 44.59704621 	 315.3121879
TCSG.A5L3.B2 	 35.1703026 	 346.8928516
TCSG.4L3.B2 	 26.08123701 	 396.709846
TCSG.5R3.B2 	 54.90457575 	 297.839798
TCP.6R3.B2 	 131.523933 	 144.6934476
TCL.5L5.B2 	 171.1576994 	 929.1484315
TCTVA.4R5.B2 	 1571.931908 	 624.7418061
TCTH.4R5.B2 	 1565.709451 	 591.4348883
TCSG.4L6.B2 	 521.7473463 	 173.0488729
TCDQA.B4L6.B2 	 510.7771763 	 169.2330817
TCDQA.A4L6.B2 	 499.5283139 	 165.4502218
TCLA.A7L7.B2 	 65.07889393 	 145.2899063
TCLA.D6L7.B2 	 65.92143366 	 156.3959361
TCLA.C6L7.B2 	 69.54314354 	 150.4093281
TCLA.B6L7.B2 	 161.3263869 	 75.61064446
TCLA.A6L7.B2 	 299.7305023 	 48.02879284
TCSG.6L7.B2 	 338.6120726 	 47.37916223
TCSG.E5L7.B2 	 237.8753989 	 138.8176227
TCSG.D5L7.B2 	 210.5771275 	 161.4943749
TCSG.B5L7.B2 	 119.4464052 	 271.4868242
TCSG.A4L7.B2 	 100.6779583 	 174.3891036
TCSG.A4R7.B2 	 141.1928469 	 129.7519203
TCSG.B4R7.B2 	 153.0635431 	 120.1551599
TCSG.D4R7.B2 	 330.9509726 	 69.76927755
TCSG.A5R7.B2 	 182.6306362 	 148.4207391
TCSG.B5R7.B2 	 156.9186842 	 169.2003031
TCSG.A6R7.B2 	 40.49672364 	 224.6114603
TCP.B6R7.B2 	 142.4630748 	 87.48831228
TCP.C6R7.B2 	 150.5287954 	 82.76324621
TCP.D6R7.B2 	 158.87123 	 78.26337002
TCLIB.6L8.B2 	 186.1547591 	 14.3651186
TCLIA.4L8 	 111.602487 	 164.6588352
TCTVB.4R8 	 168.4564827 	 111.5339447
TDI.4R8.B2 	 149.5447642 	 112.497499
TCTH.4R8.B2 	 96.67904879 	 130.7010655
TCL.5L1.B2 	 171.5957475 	 932.3527916
