name 	 betax 	 betay 	 length
BS_50A	8.80241e+01	8.95165e+01	2.19920348e+04
BS_50L	1.64221e+02	1.59361e+02	1.67234600e+02
BS_53V	2.34749e+02	2.34728e+02	1.57630000e+01
BS_53H	7.96715e+01	7.95670e+01	1.57630000e+01
BS_63V	3.80645e+02	3.87288e+02	2.36731500e+02
BS_63H	1.55412e+02	1.55071e+02	4.74880000e+01
BS_69	7.17803e+02	7.30549e+02	1.30644500e+02
BS_74	3.17697e+02	3.17551e+02	5.38240000e+01
MBW	1.38654e+02	1.35255e+02	7.06000001e+01
MQW_V	1.92177e+02	2.10012e+02	7.45920000e+01
MQW_H	1.92177e+02	2.10012e+02	7.45920000e+01
Warm_Pipe	3.77055e+02	3.87326e+02	3.47731580e+03
BS_101	1.88436e+03	1.89200e+03	3.80000000e+01
taperBS101_BS121	2.66612e+03	2.67695e+03	1.48000000e-01
BS_121	4.74305e+03	4.76230e+03	2.08652000e+02
BPMCW	1.15413e+03	1.15877e+03	1.20000000e+00
BPMs	4.54649e+03	4.55782e+03	6.00000000e+00
RF	1.74091e+02	2.31913e+02	8.76000000e+00
CMS	5.55458e+02	5.57756e+02	1.86000000e+01
ATLAS	6.84723e+02	6.87425e+02	8.00000000e+00
ALICE	3.95650e+01	3.95426e+01	8.60000000e+00
LHCb	1.01480e+02	1.01454e+02	8.60000000e+00
BBC_H	1.63314e+03	1.65577e+03	2.00000000e+00
BBC_V	1.63260e+03	1.65493e+03	2.00000000e+00
Crab	1.35939e+03	1.38187e+03	2.60000000e+01
