names            s            l            betx         bety         dx           dy          
MO.22R1.B1          1.023e+03  320.000e-03   39.578      513.413        1.080        0.       
MO.24R1.B1          1.130e+03  320.000e-03   67.030       62.952        1.080        0.       
MO.25R1.B1          1.184e+03  320.000e-03   66.316       56.056        2.178        0.       
MO.26R1.B1          1.237e+03  320.000e-03   39.578      513.413        1.080        0.       
MO.28R1.B1          1.344e+03  320.000e-03   67.030       62.952        1.080        0.       
MO.29R1.B1          1.397e+03  320.000e-03   66.316       56.056        2.178        0.       
MO.30R1.B1          1.451e+03  320.000e-03   39.578      513.413        1.080        0.       
MO.31R1.B1          1.504e+03  320.000e-03  510.003       50.553        2.178        0.       
MO.32R1.B1          1.558e+03  320.000e-03   67.030       62.952        1.080        0.       
MO.33R1.B1          1.611e+03  320.000e-03   66.316       56.056        2.178        0.       
MO.34R1.B1          1.665e+03  320.000e-03   39.578      513.413        1.080        0.       
MO.33L2.B1          1.718e+03  320.000e-03  510.003       50.553        2.178        0.       
MO.32L2.B1          1.771e+03  320.000e-03   67.030       62.952        1.080        0.       
MO.31L2.B1          1.825e+03  320.000e-03   66.316       56.056        2.178        0.       
MO.30L2.B1          1.878e+03  320.000e-03   39.578      513.413        1.080        0.       
MO.29L2.B1          1.932e+03  320.000e-03  510.003       50.553        2.178        0.       
MO.28L2.B1          1.985e+03  320.000e-03   67.030       62.952        1.080        0.       
MO.26L2.B1          2.092e+03  320.000e-03   39.578      513.413        1.080        0.       
MO.25L2.B1          2.146e+03  320.000e-03  510.003       50.553        2.178        0.       
MO.24L2.B1          2.199e+03  320.000e-03   67.030       62.952        1.080        0.       
MO.22L2.B1          2.306e+03  320.000e-03   39.578      513.413        1.080        0.       
MO.22R2.B1          4.355e+03  320.000e-03  176.136       32.399        2.125        0.       
MO.24R2.B1          4.462e+03  320.000e-03  176.136       32.399        2.125        0.       
MO.25R2.B1          4.515e+03  320.000e-03   31.727      176.810        1.048        0.       
MO.26R2.B1          4.569e+03  320.000e-03  176.136       32.399        2.125        0.       
