name 	 betax 	 betay 	 length
BS_50A	1.16575e+02	1.17811e+02	2.19920348e+04
BS_50L	1.94407e+02	1.87728e+02	1.38895800e+02
BS_53V	2.34908e+02	2.34908e+02	1.57630000e+01
BS_53H	7.96699e+01	7.96699e+01	1.57630000e+01
BS_63V	5.79731e+02	5.89234e+02	2.36731500e+02
BS_63H	1.55402e+02	1.55402e+02	4.74880000e+01
BS_69	1.72184e+03	1.73185e+03	1.30644500e+02
BS_74	3.17867e+02	3.17867e+02	5.38240000e+01
MBW	1.38630e+02	1.35212e+02	7.06000001e+01
MQW_V	1.92196e+02	2.10125e+02	7.45920000e+01
MQW_H	1.92196e+02	2.10125e+02	7.45920000e+01
Warm_Pipe	8.13264e+02	8.19649e+02	3.50565460e+03
BS_101	5.02042e+03	5.02042e+03	3.80000000e+01
taperBS101_BS121	7.10285e+03	7.10284e+03	1.48000000e-01
BS_121	1.26684e+04	1.26684e+04	2.08652000e+02
BPMCW	3.07457e+03	3.07456e+03	1.20000000e+00
BPMs	1.21455e+04	1.21275e+04	6.00000000e+00
RF	1.74204e+02	2.30869e+02	8.76000000e+00
CMS	1.47902e+03	1.47902e+03	1.86000000e+01
ATLAS	1.82404e+03	1.82404e+03	8.00000000e+00
ALICE	3.95653e+01	3.95651e+01	8.60000000e+00
LHCb	1.01548e+02	1.01548e+02	8.60000000e+00
BBC_H	4.41519e+03	4.45694e+03	2.00000000e+00
BBC_V	4.41519e+03	4.45694e+03	2.00000000e+00
Crab	3.58387e+03	3.46885e+03	3.46666667e+01
