names            s            l            betx         bety         dx           dy          
MO.22R1.B1          1.023e+03  320.000e-03   30.064      178.789      991.535e-03 -141.139e-03
MO.24R1.B1          1.130e+03  320.000e-03   30.064      178.789      965.626e-03   15.534e-03
MO.25R1.B1          1.184e+03  320.000e-03  175.459       33.583        1.957       45.521e-03
MO.26R1.B1          1.237e+03  320.000e-03   30.064      178.789      966.180e-03  142.490e-03
MO.28R1.B1          1.344e+03  320.000e-03   30.064      178.789      991.995e-03   -3.138e-03
MO.29R1.B1          1.397e+03  320.000e-03  175.459       33.583        2.041      -41.705e-03
MO.30R1.B1          1.451e+03  320.000e-03   30.064      178.789      987.070e-03 -142.763e-03
MO.31R1.B1          1.504e+03  320.000e-03  175.459       33.583        1.986      -47.496e-03
MO.32R1.B1          1.558e+03  320.000e-03   30.064      178.789      962.089e-03   -9.282e-03
MO.33R1.B1          1.611e+03  320.000e-03  175.459       33.583        1.961       37.573e-03
MO.34R1.B1          1.665e+03  320.000e-03   30.064      178.789      971.244e-03  141.956e-03
MO.33L2.B1          1.718e+03  320.000e-03  175.459       33.583        2.020       50.765e-03
MO.32L2.B1          1.771e+03  320.000e-03   30.064      178.789      994.674e-03   21.632e-03
MO.31L2.B1          1.825e+03  320.000e-03  175.459       33.583        2.035      -33.156e-03
MO.30L2.B1          1.878e+03  320.000e-03   30.064      178.789      981.552e-03 -140.074e-03
MO.29L2.B1          1.932e+03  320.000e-03  175.459       33.583        1.973      -53.650e-03
MO.28L2.B1          1.985e+03  320.000e-03   30.064      178.789      960.344e-03  -33.819e-03
MO.26L2.B1          2.092e+03  320.000e-03   30.064      178.789      977.057e-03  137.131e-03
MO.25L2.B1          2.146e+03  320.000e-03  175.459       33.583        2.031       56.128e-03
MO.24L2.B1          2.199e+03  320.000e-03   30.064      178.789      995.436e-03   45.749e-03
MO.22L2.B1          2.306e+03  320.000e-03   30.064      178.789      975.610e-03 -133.151e-03
