name 	 betax 	 betay 	 length
BS_50A	8.64287e+01	9.12467e+01	2.19920348e+04
BS_50L	1.47159e+02	1.46457e+02	1.67234600e+02
BS_53V	7.70653e+01	7.70653e+01	3.15260000e+01
BS_53H	7.70658e+01	7.70652e+01	3.15260000e+01
BS_63V	1.59490e+02	1.61821e+02	2.84219500e+02
BS_63H	1.48514e+02	1.48514e+02	9.49760000e+01
BS_69	1.55423e+02	1.61890e+02	1.30644500e+02
BS_74	1.24306e+02	1.24306e+02	6.46100000e+01
MBW	1.38224e+02	1.35564e+02	7.06000000e+01
MQW_V	1.92193e+02	2.10123e+02	7.45920000e+01
MQW_H	1.92193e+02	2.10123e+02	7.45920000e+01
Warm_Pipe	1.47782e+02	1.52718e+02	3.59225980e+03
taperBS53_BS63	9.78057e+01	9.78057e+01	1.20000000e-01
taperBS63_BS74	1.49829e+02	1.49829e+02	3.08000000e-01
taperBS74_warm	1.46121e+02	1.46121e+02	1.40000000e-01
BPM61CW	5.29238e+01	5.29240e+01	1.20000000e+00
BPM61strip	1.14930e+02	1.12172e+02	1.00000000e+00
BPM80strip	1.31398e+02	1.31147e+02	1.00000000e+00
RF	2.34880e+02	2.52549e+02	8.76000000e+00
CMS	3.11663e+01	3.11663e+01	1.86000000e+01
ALICE	3.95648e+01	3.95651e+01	8.60000000e+00
LHCb	3.95639e+01	3.95638e+01	8.60000000e+00
