name 	 betax 	 betay 	 length
BS_50A	8.64454e+01	9.12466e+01	2.19920348e+04
BS_50L	1.47047e+02	1.46490e+02	1.67234600e+02
BS_53V	7.70278e+01	7.70388e+01	3.15260000e+01
BS_53H	7.71267e+01	7.70590e+01	3.15260000e+01
BS_63V	1.59462e+02	1.61800e+02	2.84219500e+02
BS_63H	1.48679e+02	1.48497e+02	9.49760000e+01
BS_69	1.55568e+02	1.61941e+02	1.30644500e+02
BS_74	1.24297e+02	1.24310e+02	6.46100000e+01
MBW	1.38106e+02	1.35563e+02	7.06000000e+01
MQW_V	1.92233e+02	2.10129e+02	7.45920000e+01
MQW_H	1.92233e+02	2.10129e+02	7.45920000e+01
Warm_Pipe	1.47783e+02	1.52733e+02	3.59225980e+03
taperBS53_BS63	9.79270e+01	9.77366e+01	1.20000000e-01
taperBS63_BS74	1.49927e+02	1.49713e+02	3.08000000e-01
taperBS74_warm	1.46219e+02	1.46006e+02	1.40000000e-01
BPM61CW	5.29306e+01	5.29087e+01	1.20000000e+00
BPM61strip	1.15109e+02	1.12087e+02	1.00000000e+00
BPM80strip	1.31492e+02	1.31041e+02	1.00000000e+00
RF	2.35382e+02	2.52666e+02	8.76000000e+00
CMS	3.11759e+01	3.11535e+01	1.86000000e+01
ALICE	3.96078e+01	3.95696e+01	8.60000000e+00
LHCb	3.95162e+01	3.95688e+01	8.60000000e+00
