name 	 betax 	 betay 	 length
BS_50A	8.64073e+01	9.13635e+01	2.19920348e+04
BS_50L	1.45640e+02	1.56890e+02	1.67234600e+02
BS_53V	5.52557e+02	5.52558e+02	3.15260000e+01
BS_53H	4.75013e+02	4.75013e+02	3.15260000e+01
BS_63V	5.76042e+02	5.75642e+02	2.84219500e+02
BS_63H	1.00927e+03	1.00927e+03	9.49760000e+01
BS_69	3.66716e+02	3.73179e+02	1.30644500e+02
BS_74	5.80837e+02	5.80837e+02	6.46100000e+01
MBW	1.38224e+02	1.35564e+02	7.06000000e+01
MQW_V	1.92195e+02	2.10125e+02	7.45920000e+01
MQW_H	1.92195e+02	2.10125e+02	7.45920000e+01
Warm_Pipe	2.84240e+02	2.89704e+02	3.59225980e+03
taperBS53_BS63	1.18678e+03	1.18678e+03	1.20000000e-01
taperBS63_BS74	1.97793e+03	1.97793e+03	3.08000000e-01
taperBS74_warm	1.92713e+03	1.92713e+03	1.40000000e-01
BPM61CW	5.77170e+02	5.77351e+02	1.20000000e+00
BPM61strip	1.41223e+03	1.37789e+03	1.00000000e+00
BPM80strip	1.70668e+03	1.70318e+03	1.00000000e+00
RF	2.34880e+02	2.52548e+02	8.76000000e+00
CMS	2.78061e+02	2.78062e+02	1.86000000e+01
ALICE	3.95648e+01	3.95651e+01	8.60000000e+00
LHCb	1.01548e+02	1.01548e+02	8.60000000e+00
