name 	 betax 	 betay 	 length
BS_50A	8.88772e+01	9.27552e+01	2.19920348e+04
BS_50L	2.52671e+02	2.71925e+02	1.67234600e+02
BS_53V	1.10611e+03	1.34469e+03	3.15260000e+01
BS_53H	1.22303e+03	1.40607e+03	3.15260000e+01
BS_63V	4.89299e+02	5.76442e+02	2.84219500e+02
BS_63H	1.16760e+03	1.34198e+03	9.49760000e+01
BS_69	1.94712e+02	2.34477e+02	1.30644500e+02
BS_74	3.70202e+02	4.17263e+02	6.46100000e+01
MBW	1.61650e+02	1.35718e+02	7.06000000e+01
MQW_V	2.06314e+02	2.10605e+02	7.45920000e+01
MQW_H	2.06314e+02	2.10605e+02	7.45920000e+01
Warm_Pipe	2.74391e+02	3.08866e+02	3.59225980e+03
taperBS53_BS63	2.27080e+03	2.70146e+03	1.20000000e-01
taperBS63_BS74	1.63350e+03	1.93781e+03	3.08000000e-01
taperBS74_warm	1.54823e+03	1.83704e+03	1.40000000e-01
BPM61CW	2.24074e+03	2.66286e+03	1.20000000e+00
BPM61strip	2.31816e+03	2.72564e+03	1.00000000e+00
BPM80strip	1.19126e+03	1.41347e+03	1.00000000e+00
RF	2.25517e+02	2.99448e+02	8.76000000e+00
CMS	2.11627e+03	2.59951e+03	1.86000000e+01
ALICE	3.86171e+01	3.96269e+01	8.60000000e+00
LHCb	4.30494e+01	4.11689e+01	8.60000000e+00
