names            s            l            betx         bety         dx           dy          
MO.22R1.B1          1.023e+03  320.000e-03   30.064      178.789      974.249e-03 -114.488e-03
MO.24R1.B1          1.130e+03  320.000e-03   30.064      178.789        1.068     -272.431e-03
MO.25R1.B1          1.184e+03  320.000e-03  175.459       33.583        2.131      -59.689e-03
MO.26R1.B1          1.237e+03  320.000e-03   30.064      178.789      966.104e-03   90.787e-03
MO.28R1.B1          1.344e+03  320.000e-03   30.064      178.789      889.478e-03  280.329e-03
MO.29R1.B1          1.397e+03  320.000e-03  175.459       33.583        1.900       69.127e-03
MO.30R1.B1          1.451e+03  320.000e-03   30.064      178.789        1.005      -66.399e-03
MO.31R1.B1          1.504e+03  320.000e-03  175.459       33.583        2.202     -102.463e-03
MO.32R1.B1          1.558e+03  320.000e-03   30.064      178.789        1.062     -286.106e-03
MO.33R1.B1          1.611e+03  320.000e-03  175.459       33.583        2.066      -78.041e-03
MO.34R1.B1          1.665e+03  320.000e-03   30.064      178.789      936.950e-03   41.508e-03
MO.33L2.B1          1.718e+03  320.000e-03  175.459       33.583        1.787       95.673e-03
MO.32L2.B1          1.771e+03  320.000e-03   30.064      178.789      900.917e-03  289.717e-03
MO.31L2.B1          1.825e+03  320.000e-03  175.459       33.583        1.970       86.364e-03
MO.30L2.B1          1.878e+03  320.000e-03   30.064      178.789        1.032      -16.303e-03
MO.29L2.B1          1.932e+03  320.000e-03  175.459       33.583        2.218      -88.160e-03
MO.28L2.B1          1.985e+03  320.000e-03   30.064      178.789        1.046     -291.136e-03
MO.26L2.B1          2.092e+03  320.000e-03   30.064      178.789      912.450e-03   -9.025e-03
MO.25L2.B1          2.146e+03  320.000e-03  175.459       33.583        1.783       79.979e-03
MO.24L2.B1          2.199e+03  320.000e-03   30.064      178.789      921.112e-03  290.350e-03
MO.22L2.B1          2.306e+03  320.000e-03   30.064      178.789        1.053       34.286e-03
MO.22R2.B1          4.355e+03  320.000e-03  175.443       33.586        1.997       82.740e-03
MO.24R2.B1          4.462e+03  320.000e-03  175.443       33.586        1.776     -119.639e-03
MO.25R2.B1          4.515e+03  320.000e-03   30.067      178.776      918.087e-03 -337.455e-03
MO.26R2.B1          4.569e+03  320.000e-03  175.443       33.586        2.040      -93.175e-03
MO.28R2.B1          4.676e+03  320.000e-03  175.443       33.586        2.216      111.512e-03
MO.29R2.B1          4.729e+03  320.000e-03   30.067      178.776        1.025      341.381e-03
MO.30R2.B1          4.783e+03  320.000e-03  175.443       33.586        1.923      102.901e-03
MO.31R2.B1          4.836e+03  320.000e-03   30.066      178.776      894.045e-03  -15.235e-03
MO.32R2.B1          4.890e+03  320.000e-03  175.443       33.586        1.796     -102.537e-03
MO.33R2.B1          4.943e+03  320.000e-03   30.067      178.776      945.105e-03 -342.710e-03
MO.34R2.B1          4.997e+03  320.000e-03  175.443       33.586        2.111     -111.845e-03
MO.33L3.B1          5.050e+03  320.000e-03   30.066      178.776        1.067      -14.657e-03
MO.32L3.B1          5.103e+03  320.000e-03  175.443       33.586        2.185       92.781e-03
MO.31L3.B1          5.157e+03  320.000e-03   30.067      178.776      995.595e-03  341.431e-03
MO.30L3.B1          5.210e+03  320.000e-03  175.443       33.586        1.857      119.937e-03
MO.29L3.B1          5.264e+03  320.000e-03   30.066      178.776      885.508e-03   44.438e-03
MO.28L3.B1          5.317e+03  320.000e-03  175.443       33.586        1.839      -82.320e-03
MO.26L3.B1          5.424e+03  320.000e-03  175.443       33.586        2.170     -127.118e-03
MO.25L3.B1          5.478e+03  320.000e-03   30.066      178.776        1.071      -73.880e-03
MO.24L3.B1          5.531e+03  320.000e-03  175.443       33.586        2.132       71.232e-03
MO.22L3.B1          5.638e+03  320.000e-03  175.443       33.586        1.808      133.331e-03
MO.22R3.B1          7.688e+03  320.000e-03   30.066      178.776        1.070      193.291e-03
MO.24R3.B1          7.795e+03  320.000e-03   30.066      178.776      960.115e-03 -274.300e-03
MO.25R3.B1          7.848e+03  320.000e-03  175.443       33.586        1.803     -148.129e-03
MO.26R3.B1          7.902e+03  320.000e-03   30.066      178.776      888.529e-03 -217.217e-03
MO.28R3.B1          8.009e+03  320.000e-03   30.066      178.776        1.011      255.354e-03
MO.29R3.B1          8.062e+03  320.000e-03  175.443       33.586        2.212      148.530e-03
MO.30R3.B1          8.115e+03  320.000e-03   30.067      178.776        1.062      239.489e-03
MO.31R3.B1          8.169e+03  320.000e-03  175.443       33.586        2.054        8.361e-03
MO.32R3.B1          8.222e+03  320.000e-03   30.066      178.775      930.830e-03 -234.465e-03
MO.33R3.B1          8.276e+03  320.000e-03  175.443       33.586        1.778     -147.801e-03
MO.34R3.B1          8.329e+03  320.000e-03   30.067      178.776      902.053e-03 -259.940e-03
MO.33L4.B1          8.383e+03  320.000e-03  175.443       33.586        1.983      -21.252e-03
MO.32L4.B1          8.436e+03  320.000e-03   30.066      178.775        1.038      211.792e-03
MO.31L4.B1          8.490e+03  320.000e-03  175.443       33.586        2.224      145.947e-03
MO.30L4.B1          8.543e+03  320.000e-03   30.067      178.776        1.044      278.413e-03
MO.29L4.B1          8.596e+03  320.000e-03  175.443       33.586        1.979       33.982e-03
MO.28L4.B1          8.650e+03  320.000e-03   30.066      178.775      906.890e-03 -187.508e-03
MO.26L4.B1          8.757e+03  320.000e-03   30.067      178.776      924.192e-03 -294.768e-03
MO.25L4.B1          8.810e+03  320.000e-03  175.443       33.586        2.058      -46.454e-03
MO.24L4.B1          8.864e+03  320.000e-03   30.066      178.775        1.058      161.798e-03
MO.22L4.B1          8.971e+03  320.000e-03   30.067      178.776        1.018      308.881e-03
MO.22R4.B1         11.020e+03  320.000e-03  175.443       33.586        1.805       67.744e-03
MO.24R4.B1         11.127e+03  320.000e-03  175.443       33.586        2.128     -129.115e-03
MO.25R4.B1         11.180e+03  320.000e-03   30.066      178.776        1.069     -328.147e-03
MO.26R4.B1         11.233e+03  320.000e-03  175.443       33.586        2.173      -79.005e-03
MO.28R4.B1         11.340e+03  320.000e-03  175.443       33.586        1.842      122.224e-03
